"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1913655032836194578""","‘I’m the only one who can beat President Ruto in 2027,’ MP Babu Owino declares https://t.co/YEl8gQSvaf","Tweet","Citizen TV Kenya","citizentvkenya","4/19/2025, 9:04:48 PM","98","398","16","2908","106747","82","en","No","Twitter for iPhone","","https://x.com/citizentvkenya/status/1913655032836194578","video","https://video.twimg.com/amplify_video/1913654664249090049/vid/avc1/720x576/oo3cl_zZj9AKw4Kk.mp4?tag=16",""
"=""1914190175061581893""","BREAKING NEWS: Babu Owino issues an ultimatum to Raila Odinga. ""If you don't need me anymore, I will go,"" he warned. https://t.co/0q217392AX","Tweet","Kavuli M. Bernard","BernardKavuli","4/21/2025, 8:31:16 AM","13","147","0","1026","15216","4","en","No","Twitter for Android","","https://x.com/BernardKavuli/status/1914190175061581893","photo","https://pbs.twimg.com/media/GpCR0bsbsAAU-w6.jpg",""
"=""1907500327256911892""","Classes  launched by Babu Owino vs class launched by Ruto. https://t.co/QOGm70y6Hg","Tweet","Yoko","Kibet_bull","4/2/2025, 9:28:12 PM","105","1057","14","3746","79544","21","en","No","Twitter for Android","","https://x.com/Kibet_bull/status/1907500327256911892","photo","https://pbs.twimg.com/media/GnjNcBCW4AA40I-.jpg, https://pbs.twimg.com/media/GnjNcDLWIAAQ3Eq.jpg",""
"=""1912820338062234099""","In case you missed Babu Owino roasting Sakaja like nobody's business at Citizen TV. Amesema akili ya Sakajaree imejaa takataka! https://t.co/F11mhegAbq","Tweet","Cornelius K. Ronoh","itskipronoh","4/17/2025, 1:48:01 PM","53","902","16","3807","129032","452","et","No","Twitter for iPhone","","https://x.com/itskipronoh/status/1912820338062234099","video","https://video.twimg.com/amplify_video/1912818734311358464/vid/avc1/1920x1080/h3LnLKGWppcLceN7.mp4?tag=16",""
"=""1914278359271428394""","Babu Owino: I am overqualified to become the President of Kenya. As things stand, there are vacancies in the offices of Nairobi Governor and President. Ruto is a one term president. https://t.co/Mr54PQmSmN","Tweet","Cornelius K. Ronoh","itskipronoh","4/21/2025, 2:21:41 PM","5","28","1","160","3346","0","en","No","Twitter for iPhone","","https://x.com/itskipronoh/status/1914278359271428394","video","https://video.twimg.com/amplify_video/1914278166400491520/vid/avc1/720x960/5gmCLixZQXabzk0q.mp4?tag=16",""
"=""1914254446567068101""","Babu Owino hints at Ndindi Nyoro as his Deputy President in 2027.

What do you think? https://t.co/NrvRSr7mOE","Tweet","Akbas TIBIM✊️","Ammar_Kassim8","4/21/2025, 12:46:39 PM","0","9","0","33","810","1","en","No","Twitter for Android","","https://x.com/Ammar_Kassim8/status/1914254446567068101","video","https://video.twimg.com/ext_tw_video/1914254276836167680/pu/vid/avc1/720x720/_DcIP36vaT678T4_.mp4?tag=12",""
"=""1913648928441987129""","NEWS UPDATE 

Embakasi East Mp Babu Owino : I will wait for the Decision of the People, I'm spoilt for Choice https://t.co/OshqPNzhXS","Tweet","Goddie","Goddie_Ke","4/19/2025, 8:40:33 PM","26","167","5","1471","25032","5","en","No","Twitter for Android","","https://x.com/Goddie_Ke/status/1913648928441987129","photo","https://pbs.twimg.com/media/Go6ljkgWwAAYNua.jpg",""
"=""1913525480013041724""","Babu Owino urges Gen Zs to seek elective seats in 2027 https://t.co/Up3dLbZi2c","Tweet","K24 TV","K24Tv","4/19/2025, 12:30:00 PM","17","316","9","1400","62094","30","en","No","Twitter Media Studio","","https://x.com/K24Tv/status/1913525480013041724","video","https://video.twimg.com/amplify_video/1913518279223582720/vid/avc1/1280x720/9ihbQ1zlWN-GksDW.mp4?tag=14",""
"=""1914207900760756420""","Babu Owino hints on 2027 Presidential bid with Ndindi Nyoro as deputy https://t.co/e9CsSflvBc","Tweet","Citizen TV Kenya","citizentvkenya","4/21/2025, 9:41:42 AM","113","198","28","1479","49357","11","tl","No","Echobox-X","","https://x.com/citizentvkenya/status/1914207900760756420","","","https://www.citizen.digital/news/babu-owino-hints-on-2027-presidential-bid-with-ndindi-nyoro-n361383?utm_medium=Social&utm_source=Twitter#Echobox=1745217701"
"=""1913466091734442441""","Raila wachana na Orengo,Babu Owino na Sifuna!!Angry Githurai Man Roars!! https://t.co/P6PMbpbBIb","Tweet","Mutembei TV","MutembeiTV","4/19/2025, 8:34:01 AM","2","75","0","208","14485","10","tl","No","Twitter Web App","","https://x.com/MutembeiTV/status/1913466091734442441","video","https://video.twimg.com/amplify_video/1913462357742788609/vid/avc1/1920x1080/3C9mVuv69xefE-V3.mp4?tag=16",""
