"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1913532491228696930""","Baba wa taifa. Junet is lethal when he is in opposition.😂😂😂😂 https://t.co/k8dd2utmOr","Tweet","Erick Laizer","laizer_mollel","4/19/2025, 12:57:52 PM","1","5","0","9","370","4","en","No","Twitter for Android","","https://x.com/laizer_mollel/status/1913532491228696930","video","https://video.twimg.com/ext_tw_video/1913532072838545408/pu/vid/avc1/356x308/WKD1twLc-5FERAIf.mp4?tag=12",""
"=""1913223551953272973""","There is a connection between Junet and Ruto, but Sifuna can't tolerate them. https://t.co/oAQ7wAI6us","Tweet","𝗩𝗶𝗴𝗶𝗹𝗮𝗻𝘁𝗲 𝗩𝗮𝗻𝗴𝘂𝗮𝗿𝗱","vinguard254","4/18/2025, 4:30:15 PM","0","2","0","2","457","2","en","No","Twitter for Android","","https://x.com/vinguard254/status/1913223551953272973","video","https://video.twimg.com/ext_tw_video/1913223302476103681/pu/vid/avc1/1024x576/D3CMbahVmDirL99H.mp4?tag=12",""
"=""1913467387506045121""","There's something between Junet and Ruto who can't let Sifuna lecture him. https://t.co/CaziayyjCH","Tweet","𝗩𝗶𝗴𝗶𝗹𝗮𝗻𝘁𝗲 𝗩𝗮𝗻𝗴𝘂𝗮𝗿𝗱","vinguard254","4/19/2025, 8:39:10 AM","0","4","0","10","1365","3","en","No","Twitter for Android","","https://x.com/vinguard254/status/1913467387506045121","video","https://video.twimg.com/ext_tw_video/1913466703691894784/pu/vid/avc1/1024x576/0mpP3OlEwTiaUzz8.mp4?tag=12",""
"=""1911118911426502867""","Listen to Sifuna’s speech then compare it with What Junet Said. Sifuna clearly cares about matters that touch on Kenyans, while Junet is still insanely obsessed with Gachagua. One is a leader, the other is a clown. https://t.co/3FrJRqGtef","Tweet","jim Njue","jimNjue_","4/12/2025, 9:07:10 PM","21","82","0","258","24786","14","en","No","Twitter for iPhone","","https://x.com/jimNjue_/status/1911118911426502867","video","https://video.twimg.com/ext_tw_video/1911118889104162816/pu/vid/avc1/640x360/l0hp8PpedluhrKsa.mp4?tag=12",""
"=""1911253374197981695""","MP Junet Mohamed: ""One of my biggest achievements was to impeach Rigathi Gachagua because he was a dangerous man. Whenever I see him crying on TV, I sip another cup of tea in joy."" https://t.co/8xDfEOqOAo","Tweet","Kulan Post","kulanpost","4/13/2025, 6:01:28 AM","5","12","6","69","8966","5","en","No","Twitter for Android","","https://x.com/kulanpost/status/1911253374197981695","video","https://video.twimg.com/ext_tw_video/1911252606434807808/pu/vid/avc1/720x720/ZO4ak99Fvbvv6G5M.mp4?tag=12",""
"=""1911042836864127045""","When I see Gachagua crying on TV, I am very happy - Junet Mohamed https://t.co/yGYNoetI5C","Tweet","Kenyans.co.ke","Kenyans","4/12/2025, 4:04:52 PM","210","153","16","1827","83243","15","en","No","TweetDeck Web App","","https://x.com/Kenyans/status/1911042836864127045","photo","https://pbs.twimg.com/media/GoVjRKpXkAA75Ch.jpg",""
"=""1912412521761321378""","The minister for gender should be a man and not a woman. I think a man might serve the interests of women better than women themselves - Junet Mohamed https://t.co/R3LKvAplHc","Tweet","Kenyans.co.ke","Kenyans","4/16/2025, 10:47:30 AM","215","292","56","3274","160303","58","en","No","Twitter Web App","","https://x.com/Kenyans/status/1912412521761321378","photo","https://pbs.twimg.com/media/GopBAGMXkAAPOSS.jpg",""
"=""1913804531638448403""","Junet Mohamed ladies and gentlemen https://t.co/zXW7CLtesl","Tweet","TL Elder","mwabilimwagodi","4/20/2025, 6:58:51 AM","2","4","1","12","1048","3","en","No","Twitter for Android","","https://x.com/mwabilimwagodi/status/1913804531638448403","video","https://video.twimg.com/ext_tw_video/1913804500466384896/pu/vid/avc1/1080x584/AACiliZXqCD8APIL.mp4?tag=12",""
"=""1912428544090595707""","Gender CS Nominee Hanna Cheptumo must apologise to Kenyan Women - Junet Mohamed https://t.co/Rx6Pt1YRm2","Tweet","Kenyans.co.ke","Kenyans","4/16/2025, 11:51:10 AM","45","76","21","568","82193","40","en","No","Twitter Web App","","https://x.com/Kenyans/status/1912428544090595707","video","https://video.twimg.com/amplify_video/1912427787090001920/vid/avc1/1080x1080/4BMqU8syJZCURdpO.mp4?tag=16",""
"=""1911021588637495719""","Junet says his biggest achievement in life is voting to Impeach Gachagua. https://t.co/yKhDrTL2OH","Tweet","jim Njue","jimNjue_","4/12/2025, 2:40:26 PM","30","7","1","76","5310","2","en","No","Twitter for iPhone","","https://x.com/jimNjue_/status/1911021588637495719","photo","https://pbs.twimg.com/media/GoVP_2FWkAA4Ler.jpg",""
"=""1911021518185804070""","Leader of Minority Junet Mohamed, speaking in Rarieda at the burial of George Oduor, Raila Odinga's aide:   

""One of my biggest achievements was to impeach Rigathi Gachagua.""

""Gachagua was a dangerous man. Whenever I see him crying on TV, I sip another cup of tea in joy."" https://t.co/h7fauetAja","Tweet","Gabriel Oguda","gabrieloguda","4/12/2025, 2:40:09 PM","131","172","5","978","102738","70","en","No","Twitter Web App","","https://x.com/gabrieloguda/status/1911021518185804070","video","https://video.twimg.com/amplify_video/1911021138420899840/vid/avc1/640x360/NjhBJqBQb1jNQQGZ.mp4?tag=14",""
"=""1911024102732673408""","Junet Mohamed is still celebrating, but deep down, he knows that Kaongo Ruto is a one-term president. https://t.co/sJ06LXbCN7","Tweet","Cornelius K. Ronoh","itskipronoh","4/12/2025, 2:50:25 PM","13","27","0","148","10410","2","en","No","Twitter for iPhone","","https://x.com/itskipronoh/status/1911024102732673408","photo","https://pbs.twimg.com/media/GoVSSnYXkAAT0Od.jpg",""
"=""1912931697185771946""","Today kimani ichungwa and junet mohamed verbally attacked wamuchomba 

Simply coz wamuchomba was pointing them out 

Wamuchomba is amongst the few sensible ladies in parliament

She voted against bill , sha etc 

u will never find her behave like Karen nyamu etc
Lets stand by her https://t.co/YZFXb1cDVF","Tweet","Sholla Ard 🇰🇪","sholard_mancity","4/17/2025, 9:10:31 PM","3","92","0","397","3734","1","en","No","Twitter Web App","","https://x.com/sholard_mancity/status/1912931697185771946","photo","https://pbs.twimg.com/media/GowYCtHXIAAFVp2.jpg",""
"=""1911053142491369590""","''Mheshimiwa Rais, mimi ndiyo Edwin Sifuna. Wewe Junet Mohammed niheshimu hata kama mimi ni mdogo kwako,'' Senator Sifuna starts his speech on high note in Siaya. https://t.co/8ajZLx9iZ0","Tweet","WAMOLA OGUTU","ogutuharun","4/12/2025, 4:45:49 PM","0","1","0","2","419","0","tl","No","Twitter for Android","","https://x.com/ogutuharun/status/1911053142491369590","video","https://video.twimg.com/ext_tw_video/1911052984047243264/pu/vid/avc1/1268x718/uRfWM9SeCMrcwsNY.mp4?tag=12",""
"=""1912175692227182746""","Junet Take on Gachagua: Someone Used To Come To Office at 5 A.M &amp; Tell Us About Share Holding That is Past, ODM Will Continue To Donate Experts To Gov't https://t.co/kuovWlC9zu","Tweet","Uzalendo News","UzalendoNews_KE","4/15/2025, 7:06:26 PM","0","1","0","3","120","0","en","No","Twitter Web App","","https://x.com/UzalendoNews_KE/status/1912175692227182746","video","https://video.twimg.com/amplify_video/1912175400232378368/vid/avc1/1920x1080/kBwyIYufEANmgZQX.mp4?tag=16",""
"=""1911383669568131302""","But Junet biggest achievement for Migori people is collecting signatures overnight to impeach Riggy G.","Tweet","𝐀𝐥𝐯𝐢ṋ 𝐊𝐚ṋ𝐢ṋ𝐝𝐨","Alvin_Kanindo","4/13/2025, 2:39:13 PM","16","781","4","2827","29294","9","en","No","Twitter for Android","","https://x.com/Alvin_Kanindo/status/1911383669568131302","","",""
