"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1829594486789558274""","Opiyo Wandayi is not even a month old in office na ameanua stima. https://t.co/kTH4HIIZXt","Tweet","Ole Teya","TeyaKevin","8/30/2024, 9:58:12 PM","29","845","2","4675","127956","16","en","No","Twitter for Android","","https://x.com/TeyaKevin/status/1829594486789558274","photo","https://pbs.twimg.com/media/GWQGfAZXMAAJr4a.jpg",""
"=""1866009211999592488""","“Opiyo Wandayi you should stop inciting us against Kikuyus. We are not as foolish as you think” https://t.co/hlvc9duIVE","Tweet","jim Njue","jimNjue_","12/9/2024, 9:37:19 AM","99","1074","29","2553","86857","143","en","No","Twitter for iPhone","","https://x.com/jimNjue_/status/1866009211999592488","video","https://video.twimg.com/amplify_video/1866009104222679040/vid/avc1/576x1024/l5Bh97HcnQtXEXBV.mp4?tag=16",""
"=""1826229561954287694""","Sloooooooowly, Opiyo Wandayi has begun to realise that the only opinion required from him is ""sign here"". 😂 https://t.co/mVnnI9gGGP","Tweet","Wamutahi","Son_of_Laikipia","8/21/2024, 3:07:11 PM","24","544","19","1063","28565","10","en","No","Twitter for Android","","https://x.com/Son_of_Laikipia/status/1826229561954287694","photo","https://pbs.twimg.com/media/GVgSG5vW8AAVnIt.jpg",""
"=""1911449751746195492""",""" You took more than 20 mins praising Raila instead of telling us what you've done""- A kenyan Man Lectures the ODM Expert Opiyo Wandayi! https://t.co/k5pNBBnu7T","Tweet","The Kenyan Vigilante","KenyanSays","4/13/2025, 7:01:48 PM","13","503","8","1412","33147","54","en","No","Twitter for Android","","https://x.com/KenyanSays/status/1911449751746195492","video","https://video.twimg.com/ext_tw_video/1911449550394470400/pu/vid/avc1/576x1024/ODIUAb1zADRFUJiX.mp4?tag=12",""
"=""1831951184271454641""","Opiyo Wandayi's first month as Energy CS. https://t.co/thZLd1lXme","Tweet","Ole Teya","TeyaKevin","9/6/2024, 10:02:52 AM","17","111","5","353","13790","7","en","No","Twitter for Android","","https://x.com/TeyaKevin/status/1831951184271454641","video","https://video.twimg.com/ext_tw_video/1831951167053598720/pu/vid/avc1/358x516/ocAh4j7cobjX6kiw.mp4?tag=12",""
"=""1914318072732647795""","Gearing up for a deep dive meeting on Kenya's Energy Compact during the 2025 Workd Bank/IMF Spring meetings in Washington DC. @JohnMbadiN @Kiptoock @KeEquityBank @nyamita1 @ckirigua https://t.co/O72o98aVk1","Tweet","CS Opiyo Wandayi, EGH","OpiyoWandayi","4/21/2025, 4:59:29 PM","0","0","0","7","341","0","en","No","Twitter for Android","","https://x.com/OpiyoWandayi/status/1914318072732647795","photo","https://pbs.twimg.com/media/GpEEu31XMAAfvpu.jpg",""
"=""1912628004779389238""","Your Favourite CS For Energy Opiyo Wandayi being Petty in Parliament when Uhuru Kenyatta was to address the House,He is Later Whisked Out of the chamber like a Burukenge 😂😂 https://t.co/21d05sLvgj","Tweet","Edward Muchoki","edward_wanjama","4/17/2025, 1:03:45 AM","0","0","0","1","34","0","en","No","Twitter for Android","","https://x.com/edward_wanjama/status/1912628004779389238","video","https://video.twimg.com/ext_tw_video/1912627937242644480/pu/vid/avc1/576x1024/6NEpI1aT00arzXO5.mp4?tag=12",""
"=""1831985027728466168""","ODM expert Opiyo Wandayi has overseen 2 Nationwide blackouts in less than a month . He makes Murkomen look like Thomas Sankara🤣🤣

Oguda will tell you it's Gachagua's mountain that has tripped the cables. https://t.co/vKTSVVze4F","Tweet","Sun Tzu","ItsChanzu","9/6/2024, 12:17:21 PM","5","237","3","314","12256","11","en","No","Twitter Web App","","https://x.com/ItsChanzu/status/1831985027728466168","video","https://video.twimg.com/ext_tw_video/1831984098803400704/pu/vid/avc1/352x288/N8NmPF7JQALkUgTD.mp4?tag=12",""
"=""1695334182744981507""","Kenyans are currently paying the highest tariffs ever for electricity consumption, including being charged for power they have not consumed.

Frequent nationwide power outtages not only exposes KPLC incompetence, but also compromises national security while denting economic","Quoted tweet","CS Opiyo Wandayi, EGH","OpiyoWandayi","8/26/2023, 10:15:41 AM","174","934","174","1307","238160","50","en","No","Twitter for Android","","https://x.com/OpiyoWandayi/status/1695334182744981507","","",""
"=""1865967334524924306""","Where was Opiyo Wandayi when Denzel Omondi was abducted and strangled to death?

Where was Wandayi when Charles Owino was shot at point blank?

Where was Wandayi when 12yo Kennedy Onyango was receiving 8 bullets?

Since they Joined government, have they ever spoken for these https://t.co/HI8fSXpxvq","Tweet","I am Chege","_James041","12/9/2024, 6:50:55 AM","113","1099","14","2428","70084","28","en","No","Twitter for Android","","https://x.com/_James041/status/1865967334524924306","photo","https://pbs.twimg.com/media/GeU_ZELbEAATkta.jpg, https://pbs.twimg.com/media/GeU_ZELbAAAcsps.jpg, https://pbs.twimg.com/media/GeU_ZNDaAAEoeNp.jpg",""
"=""1825139264469832053""","@gabrieloguda Since Opiyo Wandayi reluctantly joined government, you have not been there no matter what https://t.co/HMX2Oxy4KX","Reply","Eng. Nyasikera","Arap_Nyasikera","8/18/2024, 2:54:44 PM","17","43","0","511","21709","5","en","No","Twitter for Android","","https://x.com/Arap_Nyasikera/status/1825139264469832053","photo","https://pbs.twimg.com/media/GVQyfPCWwAAHZvg.jpg",""
"=""1857409651635081304""","CS Opiyo Wandayi urges church leaders to be fair to Ruto regime, says broad-based government is working https://t.co/MNf2d0BmL0","Tweet","NTV Kenya","ntvkenya","11/15/2024, 4:05:44 PM","897","210","165","1297","198275","44","en","No","Hootsuite Inc.","","https://x.com/ntvkenya/status/1857409651635081304","video","https://video.twimg.com/ext_tw_video/1857409570169069569/pu/vid/avc1/720x720/bVc89MsyzR-2NLIT.mp4?tag=12",""
"=""1912188121317278031""","@edwinsifuna @KenyaPower_Care @OpiyoWandayi @KenyaPower @OpiyoWandayi  you replied to me twice this year that our transformer is faulty https://t.co/NkwmTmJsUZ","Reply","henrymwangi","henrymw33173349","4/15/2025, 7:55:49 PM","1","0","0","2","216","0","en","No","Twitter for Android","","https://x.com/henrymw33173349/status/1912188121317278031","photo","https://pbs.twimg.com/media/Gol09F-XoAADRK_.jpg, https://pbs.twimg.com/media/Gol09QDXUAAK0qr.jpg",""
"=""1829532093983924495""","It takes noble leaders like Opiyo Wandayi to shelve their own political interests and agree to work with us. In our unity is the prospect to unlock Kenya’s huge potential. 

In Sidindi, Ugunja, joined the people of Siaya County for the thanksgiving service of the Energy and https://t.co/KUCOMjaYCQ","Tweet","William Samoei Ruto, PhD","WilliamsRuto","8/30/2024, 5:50:16 PM","254","132","16","1001","101349","10","en","No","Twitter for iPhone","","https://x.com/WilliamsRuto/status/1829532093983924495","photo","https://pbs.twimg.com/media/GWPNu16WIAEtGqM.jpg, https://pbs.twimg.com/media/GWPNu2AWYAAAM6Y.jpg, https://pbs.twimg.com/media/GWPNu14XQAA5VqS.jpg, https://pbs.twimg.com/media/GWPNu18WkAAhe2p.jpg",""
"=""1912580406655824285""","Paid a courtesy call at the Office of the Governor of Migori County. Warmly received by Governor @OAyacko https://t.co/RUJEagu09w","Tweet","CS Opiyo Wandayi, EGH","OpiyoWandayi","4/16/2025, 9:54:37 PM","1","1","0","6","952","1","en","No","Twitter for Android","","https://x.com/OpiyoWandayi/status/1912580406655824285","photo","https://pbs.twimg.com/media/GorZviwW0AAtPW9.jpg, https://pbs.twimg.com/media/GorZvj5W0AABYHC.jpg, https://pbs.twimg.com/media/GorZvk-WMAMyMES.jpg, https://pbs.twimg.com/media/GorZvjyWAAA27Gg.jpg",""
"=""1684567917378297856""","MP Opiyo Wandayi: You may be happy or gloat that the injustice being meted are against your opponents but tomorrow, the same injustice will be meted against you. https://t.co/HTtjykD8FM","Tweet","Citizen TV Kenya","citizentvkenya","7/27/2023, 5:14:23 PM","60","394","14","2232","80566","8","en","No","Twitter Web App","","https://x.com/citizentvkenya/status/1684567917378297856","video","https://video.twimg.com/ext_tw_video/1684567062709149697/pu/vid/1280x720/Yawa95DhVHOC3hxS.mp4?tag=12",""
"=""1859662629981376987""","Just like Kindiki, Opiyo Wandayi is a very dangerous YES MAN https://t.co/RLWyAGnwvJ","Tweet","The Government Critic 🇰🇪","magwaz3","11/21/2024, 9:18:16 PM","24","99","0","406","6720","1","ht","No","Twitter for Android","","https://x.com/magwaz3/status/1859662629981376987","photo","https://pbs.twimg.com/media/Gc7ZRLFXoAAOZCG.jpg",""
"=""1913941873502175618""","Education CS Julius Migos &amp; Energy CS Opiyo Wandayi grace Inuka Program launch. KPC is breaking barriers for Kenya’s youth! #TransformingKPC https://t.co/iE16bL0yiA","Tweet","Kamu™","Poison_king_1","4/20/2025, 4:04:36 PM","1","5","0","1","71","0","en","No","Twitter for Android","#TransformingKPC","https://x.com/Poison_king_1/status/1913941873502175618","photo","https://pbs.twimg.com/media/Go-v_ajWUAAUbN1.jpg",""
"=""1637721816675352577""","BREAKING NEWS: Opiyo Wandayi has been arrested https://t.co/d3QNffagHI","Tweet","OTWOMA THE BRAND🇰🇪","Isaac_Otwoma","3/20/2023, 10:44:43 AM","22","29","3","305","9527","0","en","No","Twitter Web App","","https://x.com/Isaac_Otwoma/status/1637721816675352577","photo","https://pbs.twimg.com/media/FrpbTRyXgAIhCmL.png",""
"=""1861072268073263256""","Sisi wote tuliagree ni Okiya Omtata, sasa ni masala ya kuingia ground na Kumtafutia Kura, na wewe Okiya KAZI isikue nikukaa Nairobi na Busia, go around tutatoa pesa ya mafuta https://t.co/uQQJMYLhcg","Tweet","MkenyaDaima | Bongani🇿🇦 | Mamba 🇹🇿 | ₿ ⚡","MkenyaMzi","11/25/2024, 6:39:40 PM","11","334","1","847","14562","4","tl","No","Twitter for Android","","https://x.com/MkenyaMzi/status/1861072268073263256","photo","https://pbs.twimg.com/media/GdPbXU0XUAAFuX9.jpg",""
"=""1821821252962500651""","CS Opiyo Wandayi hits the ground running after welcoming President Ruto in launching the last mile project in Kirungu Village Muranga county. Gabriel Oguda taking notes and smiling all over, They are now believing. https://t.co/EFOXq5MrvA","Tweet","Amakanji Thomas","AmakanjiThomas","8/9/2024, 11:10:09 AM","42","153","14","996","150208","38","en","No","Twitter for iPhone","","https://x.com/AmakanjiThomas/status/1821821252962500651","video","https://video.twimg.com/amplify_video/1821821126927872000/vid/avc1/828x376/81SR5gT74hmgUW7N.mp4?tag=16",""
"=""1803353075802939833""","Minority Leader Opiyo Wandayi: Who advises this government economically, regarding finance management? It has been making mistakes after mistakes. I thought this government would be wiser this time after the outcries https://t.co/kwANcusSl2","Tweet","The Eastleigh Voice","Eastleighvoice","6/19/2024, 12:04:12 PM","2","99","0","227","12362","4","en","No","Twitter Web App","","https://x.com/Eastleighvoice/status/1803353075802939833","video","https://video.twimg.com/ext_tw_video/1803351673437380608/pu/vid/avc1/1280x720/D2nNP-QUieCegk0s.mp4?tag=12",""
"=""1821213380444930316""","Opiyo Wandayi: I thank President Ruto for granting me this historic opportunity to serve Kenya as Energy CS https://t.co/TwaSbqjt0H","Tweet","NTV Kenya","ntvkenya","8/7/2024, 6:54:41 PM","60","121","15","785","76165","10","en","No","Twitter Web App","","https://x.com/ntvkenya/status/1821213380444930316","video","https://video.twimg.com/ext_tw_video/1821212683523305472/pu/vid/avc1/1280x720/ZTLQ3sDceq9U59QL.mp4?tag=12",""
