"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1841813490077405206""","A founder &amp; funder of gang-rape gangsters: Mombasa Governor Abdulswamad Nassir records a statement with police on his involvement of Gang-rape of Mombasa blogger Bruce John. https://t.co/qLwNAtBgSK","Tweet","Pepe Danson 🇺🇲🇰🇪","PepeDanson","10/3/2024, 3:12:09 PM","2","10","0","22","5251","1","en","No","Twitter for Android","","https://x.com/PepeDanson/status/1841813490077405206","photo","https://pbs.twimg.com/media/GY9vmFKXQAA3wmU.jpg",""
"=""1846500529322811562""","Executive Director Peter of Haki Yetu, a human rights organization based in Mombasa, lawyer Ali Munira, alongside Julius Wanyama and four others arrested as they attempted to present their petition to Governor Abdulswamad Sheriff Nassir. The arrest followed a confrontation with https://t.co/PKTvBNd2lT","Tweet","Cyprian, Is Nyakundi","C_NyaKundiH","10/16/2024, 1:36:47 PM","51","377","12","698","125691","24","en","No","Twitter Web App","","https://x.com/C_NyaKundiH/status/1846500529322811562","video","https://video.twimg.com/ext_tw_video/1846500127667535872/pu/vid/avc1/1280x720/zNwkmIcWNNObQ3nb.mp4?tag=12",""
"=""1841925125756879322""","Amekutana Ruto akitoka kwa Rigathi Gachagua 
Morara City Mortuary Gloria Orwoba Stabex Outspan Hotel Moses Kuria Abdulswamad Nassir Lake Kivu Moi University https://t.co/Um5MxnrtQd","Tweet","Udaku girl","kanyaa_diana","10/3/2024, 10:35:45 PM","101","342","11","1274","136010","106","in","No","Twitter for Android","","https://x.com/kanyaa_diana/status/1841925125756879322","video","https://video.twimg.com/ext_tw_video/1841924918419595264/pu/vid/avc1/720x968/PiZrcLnkmpb7J01c.mp4?tag=12",""
"=""1858207477302432056""","Shanzu Court grants bail to Omar Ali Mohamed alias ""Nyanya"" - one of the suspects accused of abducting and gang-raping Mombasa-based blogger Bruce John popularly known as ""Chawa 001"" after a viral TikTok video criticizing Governor Abdulswamad Nassir. 

Mohamed was released on a https://t.co/BIb67AOlem","Tweet","Cyprian, Is Nyakundi","C_NyaKundiH","11/17/2024, 8:56:01 PM","62","117","6","272","37007","9","en","No","Twitter Web App","","https://x.com/C_NyaKundiH/status/1858207477302432056","photo","https://pbs.twimg.com/media/GcmtyMVWIAA98WL.png",""
"=""1843574767141695787""","This swahili woman mp who is going hard at Riggy G, did she say anything about Bruce and AbdulSwamad? Hang these hypocrites","Tweet","Son Of Anarchy","__QlintDwayne","10/8/2024, 11:50:51 AM","6","320","3","538","9184","3","en","No","Twitter for iPhone","","https://x.com/__QlintDwayne/status/1843574767141695787","","",""
"=""1844794562608279787""","Hatujasahau kesi ya Abdulswamad ya Sodomy na gang rape ya Bruce.
#JusticeForBruce","Tweet","Shoba Gatimu","shobanes","10/11/2024, 8:37:53 PM","35","1799","5","3402","53745","7","in","No","Twitter for Android","#JusticeForBruce","https://x.com/shobanes/status/1844794562608279787","","",""
"=""1844738806278172834""","Tumewasili Mombasa https://t.co/PspQCZsJ02","Quoted tweet","Philip Etale","EtalePhilip","10/11/2024, 4:56:19 PM","222","59","40","702","187207","1","tl","No","Twitter for iPhone","","https://x.com/EtalePhilip/status/1844738806278172834","photo","https://pbs.twimg.com/media/GZnUKURWcAE3GDL.jpg",""
"=""1847144850128273662""","Impeachment ya Gachagua imefanya msahau Abdulswamad, SHIF na Adani🥲 https://t.co/AN8B2pvg3e","Tweet","Mjomba☣️🐥","Mjomba_Maina","10/18/2024, 8:17:05 AM","2","2","0","5","159","0","in","No","Twitter for Android","","https://x.com/Mjomba_Maina/status/1847144850128273662","photo","https://pbs.twimg.com/media/GaJgc62W4AAau9c.jpg",""
"=""1841881686583255159""","Mombasa Governor Abdulswamad Nassir records a statement in a case involving blogger Bruce John who was allegedly abducted, assaulted, and gang-raped after he allegedly insulted the Governor and his mother. The Governor has also called for anyone with any information believed to https://t.co/qjHji4E8Fg","Tweet","The Eastleigh Voice","Eastleighvoice","10/3/2024, 7:43:09 PM","2","6","1","19","8663","2","en","No","Twitter Web App","","https://x.com/Eastleighvoice/status/1841881686583255159","video","https://video.twimg.com/ext_tw_video/1841872243808169984/pu/vid/avc1/1280x720/lVoVjBfwyLq_Q3Eo.mp4?tag=12",""
"=""1847635614428254498""","Why the Mombasa Gang Rape Case is a Nightmare for Governor Abdulswamad Nassir

When Mombasa Governor Abdulswamad Nassir recorded a statement regarding the case of a blogger who was abducted, assaulted, and gang-raped over a social media post that besmirched the Governor and his https://t.co/1tXQtNxCAG","Tweet","Cyprian, Is Nyakundi","C_NyaKundiH","10/19/2024, 4:47:12 PM","45","106","0","324","44480","25","en","No","Twitter Web App","","https://x.com/C_NyaKundiH/status/1847635614428254498","photo","https://pbs.twimg.com/media/GaQeydVWEAACDa-.png",""
