"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1898754738352492736""","This video never gets old! The day  Didmus Barasa was put in his place by Kisii Governor Simba Arati. https://t.co/KEVRkYq9cD","Tweet","Henry Kabogo 💧 ❄ 🇰🇪","Kabogo_Henry","3/9/2025, 6:16:21 PM","157","937","35","3993","240561","605","en","No","Twitter for Android","","https://x.com/Kabogo_Henry/status/1898754738352492736","video","https://video.twimg.com/ext_tw_video/1804435721123512320/pu/vid/avc1/888x490/q9iTPweuO6hUdj-a.mp4?tag=12",""
"=""1910571407785816509""","Didmus Barasa has no morality to teach anyone about morals.

A serial fraudster and a murderer who should be rotting in jail.

How is he even a lawmaker?

This is a sick country with no respect for the constitution.

#RutoMustGoNow #DrainTheSwamp https://t.co/8JetKGckhJ","Tweet","I am Chege","_James041","4/11/2025, 8:51:34 AM","17","309","2","553","6200","8","en","No","Twitter for Android","#RutoMustGoNow, #DrainTheSwamp","https://x.com/_James041/status/1910571407785816509","photo","https://pbs.twimg.com/media/GoO2kBsWUAAIxO9.jpg, https://pbs.twimg.com/media/GoO2kGbXwAAwgOl.jpg, https://pbs.twimg.com/media/GoO2kLyW4AAhw3u.jpg, https://pbs.twimg.com/media/GoO2kL9XcAAOyxO.jpg",""
"=""1810247158810964450""","In 2009, Didmus Barasa was discharged from the army for Fraud and conning... https://t.co/whO1YOaFcU","Reply","Author Sakwah Ongoma","CSakwah","7/8/2024, 12:38:50 PM","14","422","16","377","25628","15","en","No","Twitter for Android","","https://x.com/CSakwah/status/1810247158810964450","photo","https://pbs.twimg.com/media/GR9KMnaWMAAJISG.jpg",""
"=""1840640982355706088""","To those trailing this CRIMINAL called Didmus Barasa, KINDLY complete the MISSION. https://t.co/JI1szJ7RIq","Tweet","Kavuli M. Bernard","BernardKavuli","9/30/2024, 9:33:02 AM","308","2428","47","9378","189738","51","en","No","Twitter for Android","","https://x.com/BernardKavuli/status/1840640982355706088","photo","https://pbs.twimg.com/media/GYtFN5aXgAASgim.jpg",""
"=""1914213754067194354""","FROM THE ARCHIVES: DIDMUS BARASA ASSAULT A MAN FOR NO REASON https://t.co/FxzHzYkHDK","Tweet","Channel 7 News","channel7news_tv","4/21/2025, 10:04:57 AM","0","0","0","1","10","0","en","No","Twitter Web App","","https://x.com/channel7news_tv/status/1914213754067194354","video","https://video.twimg.com/amplify_video/1914213718767886337/vid/avc1/1280x720/FX2e-zkQyW5PZ4fL.mp4?tag=14",""
"=""1914027294378668094""","Tuombe sana majamaa.
#DidmusBarasaGov27 https://t.co/FxgcgRhZR9","Tweet","Didmus Wekesa Barasa Mutua","DidmusWaBarasa","4/20/2025, 9:44:02 PM","23","18","3","181","21194","4","hi","No","Twitter for Android","#DidmusBarasaGov27","https://x.com/DidmusWaBarasa/status/1914027294378668094","video","https://video.twimg.com/ext_tw_video/1914027213038432256/pu/vid/avc1/480x768/snIdgtLIp6cjpfri.mp4?tag=12",""
"=""1913949059989098619""","Kimilili Member of Parliament Didmus Barasa continues to eye the Bungoma county gubernatorial race in the upcoming 2027 elections.

The second term lawmaker will face former Governor Wycliffe Wangamati,  Zacharia Barasa and renowned businessman Allan Malilo Sudi all who are https://t.co/YQLsbEpaSr","Tweet","City Mirror","citymirrorKE","4/20/2025, 4:33:10 PM","0","3","0","3","116","0","en","No","Twitter for Android","","https://x.com/citymirrorKE/status/1913949059989098619","photo","https://pbs.twimg.com/media/Go-2g8xWoAAHYXQ.jpg",""
"=""1914222469373632680""","FROM THE ARCHIVES: DIDMUS BARASA ASSAULT A MAN FOR NO REASON https://t.co/oCllZHvLXK","Tweet","Prime Media News","primemediakenya","4/21/2025, 10:39:35 AM","0","1","0","0","105","0","en","No","Twitter Web App","","https://x.com/primemediakenya/status/1914222469373632680","video","https://video.twimg.com/amplify_video/1914222349001412608/vid/avc1/1280x720/vRy6CXRYMJH4eLgd.mp4?tag=16",""
"=""1827665565474779459""","Kimilili MP Didmus Barasa summoned by EACC over allegations of extorting Ksh 2 million from a businesswoman in exchange for influencing tenders. https://t.co/sCOyccXo0u","Tweet","Cyprian, Is Nyakundi","C_NyaKundiH","8/25/2024, 2:13:21 PM","168","739","23","2097","82350","9","en","No","Twitter Web App","","https://x.com/C_NyaKundiH/status/1827665565474779459","photo","https://pbs.twimg.com/media/GV0sHUKXIAA8WVq.jpg",""
"=""1807130597640274195""","Didmus Barasa today after the rally, he had to line up the boys. Hii ndio kitu inafanya tunakasirika bana. https://t.co/G5Rve8dm7k","Tweet","KOT Sonko™🇰🇪","Mabonga_254","6/29/2024, 10:14:43 PM","174","567","27","1751","113022","27","in","No","Twitter for Android","","https://x.com/Mabonga_254/status/1807130597640274195","photo","https://pbs.twimg.com/media/GRQ3smsWkAA8rzX.jpg, https://pbs.twimg.com/media/GRQ3slnaYAEUq0b.jpg",""
