"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1813915357641392567""","High court has suspended Douglas Kanja's unconstitutional order banning protests in the country, https://t.co/cJ0G7PLeC8","Tweet","Oduk","_oduk","7/18/2024, 3:34:56 PM","43","1646","20","1990","33262","21","en","No","Twitter Web App","","https://x.com/_oduk/status/1813915357641392567","photo","https://pbs.twimg.com/media/GSxSJhxWgAAl4w-.png",""
"=""1868353257711763922""",""" Douglas Kanja who withdrew my security, I helped him to get the IG job,"" Rigathi Gachagua https://t.co/f48KxJ3tN6","Tweet","Jame","Cjamehk","12/15/2024, 8:51:43 PM","150","448","20","3991","139437","24","en","No","Twitter for Android","","https://x.com/Cjamehk/status/1868353257711763922","photo","https://pbs.twimg.com/media/Ge25YdnX0AAkA-G.jpg",""
"=""1849435891325944100""","My long time friend Inspector-Genaral Douglas Kanja…. https://t.co/VldhvCjqag","Tweet","Hon. Jaguar","RealJaguarKenya","10/24/2024, 4:00:52 PM","33","33","1","758","37139","2","en","No","Twitter for Android","","https://x.com/RealJaguarKenya/status/1849435891325944100","photo","https://pbs.twimg.com/media/GaqEI-4XIAAEFwZ.jpg, https://pbs.twimg.com/media/GaqEJByWwAAOvNx.jpg",""
"=""1837781227882877398""","Sir, Douglas Kanja! 

New Inspector General of Police 

Hapo @DCI_Kenya iko shida kubwa Sana!!

Wakenya Wengi are shocked, mortified and disgusted, what happened! 

We used to enjoy composition za Onomatopoeia as you fought crime 

Nowadays it's intimidation, abductions and...😞 https://t.co/LBppYGWUs8","Tweet","Maverick Aoko","AokoOtieno_","9/22/2024, 12:09:23 PM","77","466","9","1624","177101","127","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1837781227882877398","video","https://video.twimg.com/ext_tw_video/1837781130675712000/pu/vid/avc1/576x1024/2EFGBViAMygO9gyP.mp4?tag=12",""
"=""1811750042329579622""","Douglas Kanja is the acting Inspector General of Police. https://t.co/OazhvkbMua","Tweet","Ole Teya","TeyaKevin","7/12/2024, 4:10:45 PM","7","92","0","606","12339","0","en","No","Twitter for Android","","https://x.com/TeyaKevin/status/1811750042329579622","photo","https://pbs.twimg.com/media/GSShD9kWcAAYBpL.jpg",""
"=""1872208107797201205""","Babu Owino: Now that the IG of police Douglas Kanja has distanced himself from the abductors, we will deal with them like gangsters. Kenyans are going to crush those criminals. We must #EndAbductionsKE https://t.co/CiTMil8VkK","Tweet","Cornelius K. Ronoh","itskipronoh","12/26/2024, 12:09:31 PM","262","3554","61","10103","302428","261","en","No","Twitter for iPhone","#EndAbductionsKE","https://x.com/itskipronoh/status/1872208107797201205","video","https://video.twimg.com/amplify_video/1872207906155712512/vid/avc1/364x640/-U6WLDYdZzXMRXXU.mp4?tag=16",""
"=""1811786932332220814""","AG, IG DOUGLAS KANJA TAKES OVER FROM THE FORMER IG JAPHET KOOME https://t.co/9ZCyf7zTlr","Tweet","National Police Service-Kenya","NPSOfficial_KE","7/12/2024, 6:37:20 PM","140","112","17","387","45547","3","en","No","Twitter for Android","","https://x.com/NPSOfficial_KE/status/1811786932332220814","photo","https://pbs.twimg.com/media/GSTCnNgWwAA_oX3.jpg",""
"=""1868620230907597056""","how the hell did douglas CRUSH THE METAL FRAMES https://t.co/EGkRggPFyK","Tweet","Kate 🍉 (NSFW DNI)","KJCents","12/16/2024, 2:32:34 PM","31","42","4","425","18430","47","en","No","Twitter Web App","","https://x.com/KJCents/status/1868620230907597056","photo","https://pbs.twimg.com/media/Ge6sKEhXQAApfsv.jpg",""
"=""1836047997588631824""","Congratulations, Douglas Kanja,  our New Inspector General of Police. https://t.co/agG9rfaaXB","Tweet","Abuga Makori EGH, MBE","abuga_makori","9/17/2024, 5:22:09 PM","26","64","0","1137","35119","3","en","No","Twitter for Android","","https://x.com/abuga_makori/status/1836047997588631824","photo","https://pbs.twimg.com/media/GXrz6zJX0AA4yIh.jpg",""
"=""1872518072067887386""","Mr Irungu,the Director of Amnsty kenya. Is this not you smiling with IG douglas kanja and his niece Wangu kanja who owns Wangu kanja foundation an organization for human rights? 

Hamuezi pigia IG simu??

Why are guys preaching water on one side and drinking alchohol on the other https://t.co/1nE5EtwuGU","Tweet","MethoDman","polo_kimanii","12/27/2024, 8:41:12 AM","57","1192","12","2719","59891","24","en","No","Twitter for iPhone","","https://x.com/polo_kimanii/status/1872518072067887386","photo","https://pbs.twimg.com/media/GfyFQgWXgAAIOIl.jpg",""
"=""1872315544394695122""","So
No witness statements
No family interviews
No crime scene dusting
No vehicle tracking
No CCTV analysis
No active investigations
No suspects
No leads
or any progress? 
Under international and Kenyan law, the state must not authorize, support or stand aside and watch others https://t.co/7g0oPtucbf","Quoted tweet","Irũngũ Houghton","irunguhoughton","12/26/2024, 7:16:26 PM","27","540","17","727","106233","19","en","No","Twitter for iPhone","","https://x.com/irunguhoughton/status/1872315544394695122","photo","https://pbs.twimg.com/media/GfvNDuMX0AAqxV1.jpg",""
"=""1836604878980026701""","''IG Douglas Kanja is 61 Years , he should retire!''- Hon Raphael Wanjala! https://t.co/LZ8oX0rNdt","Tweet","The Kenyan Vigilante","KenyanSays","9/19/2024, 6:15:00 AM","42","749","25","2154","97249","89","en","No","Twitter Web App","","https://x.com/KenyanSays/status/1836604878980026701","video","https://video.twimg.com/ext_tw_video/1836589975875325952/pu/vid/avc1/576x1024/BgFjFcNb1ihgtHUI.mp4?tag=12",""
"=""1865061735494795700""","20 Kenyan police of MSS invasion in Haiti submitted resignation letters, citing delayed pay &amp; difficult working conditions. According to 3 anonymous cops checks haven't been received since September despite Kenya police chief Douglas Kanja’s claims pay were up-to-date to October. https://t.co/9YYWnHPNsq","Tweet","Bettinna ⚔️ 🇭🇹","bettinna","12/6/2024, 6:52:23 PM","7","18","7","45","8166","3","en","No","Twitter Web App","","https://x.com/bettinna/status/1865061735494795700","photo","https://pbs.twimg.com/media/GeIGhtTWsAE-xII.jpg",""
"=""1836712798212006320""","Masengeli is now apologizing to Judge Mugambi after he's lost his TEMPORARY position 😂

New IG, Sir Douglas Kanja, your lofty assignment which will be your legacy

Is to restore Trust btwn Police and Citizens 

As it stands, TUNAWACHUKIA kabisa, sio Siri 

Utumishi kwa Wachache https://t.co/5ZgB7boFYS","Tweet","Maverick Aoko","AokoOtieno_","9/19/2024, 1:23:50 PM","171","468","7","2410","70724","12","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1836712798212006320","photo","https://pbs.twimg.com/media/GX1QjleXAAAV2Uq.jpg",""
"=""1813946036068479020""","My friend @DouglasLwangaUg came by recently and we had a conversation covering so many topics including his career in the media, Purple Skills Klinic, love, marriage, the music industry etc. It’s up on my YouTube channel so check it out. Thank you @DouglasLwangaUg , it was so https://t.co/M2KgLHKS4x","Tweet","JULIANA KANYOMOZI","JKanyomozi","7/18/2024, 5:36:51 PM","13","31","2","299","22964","4","en","No","Twitter for iPhone","","https://x.com/JKanyomozi/status/1813946036068479020","video","https://video.twimg.com/amplify_video/1813945306309939200/vid/avc1/1280x720/nKPcZDsofPYQwNSh.mp4?tag=14",""
"=""1861486906296377607""","IG DOUGLAS KANJA VISIT NGONG AND LANG'ATA POLICE STATIONS https://t.co/TI4vAnQx6o","Tweet","National Police Service-Kenya","NPSOfficial_KE","11/26/2024, 10:07:17 PM","25","28","2","515","55296","3","tl","No","Twitter for Android","","https://x.com/NPSOfficial_KE/status/1861486906296377607","photo","https://pbs.twimg.com/media/GdVUdp-WMAAQLCg.jpg",""
"=""1872206826777010222""","IG Douglas Kanja has allowed Kenyans to arrest goons who are tarnishing image of the NPS and hand over to Police.

Note; Section 34 of Criminal Procedure Code CAP 75; private person may arrest any person who in his/her view commits a cognizable offence and handover to Police. https://t.co/JSI24yMojt","Tweet","Barry Ipapoh","BarryIpapo","12/26/2024, 12:04:26 PM","2","24","3","33","1548","2","en","No","Twitter for Android","","https://x.com/BarryIpapo/status/1872206826777010222","photo","https://pbs.twimg.com/media/GftqLenX0AA_7dU.jpg",""
"=""1873738730164392244""","In a High Court Petition filed by the Law Society of Kenya wherein I was instructed , The High Court has Today 30/12/2024 ordered the IG Douglas Kanja to personally produce the 2nd – 7th Petitioners/Applicants before
the High Court tomorrow in court at 11.00 am @FaithOdhiambo8 https://t.co/12Nl8Ydp4H","Tweet","Top City Lawyer","advabner","12/30/2024, 5:31:40 PM","3","57","3","109","5302","3","en","No","Twitter for iPhone","","https://x.com/advabner/status/1873738730164392244","photo","https://pbs.twimg.com/media/GgDba-hWwAAqL9G.jpg, https://pbs.twimg.com/media/GgDba-oWsAEcUs5.jpg",""
"=""1825827978128785757""","That's Douglas Kanja number, ask him how a person who confessed to killing people and dumped body at Kware escaped from a police station? Or he scripted the confession also? https://t.co/bauxHdXzeK","Tweet","The Government Critic 🇰🇪","magwaz3","8/20/2024, 12:31:26 PM","18","129","3","227","8458","6","en","No","Twitter for Android","","https://x.com/magwaz3/status/1825827978128785757","photo","https://pbs.twimg.com/media/GVak3quXAAAvze8.jpg",""
"=""1813075507707060319""","Today is a big test for Acting police IG Douglas Kanja in handling any protests that will happen.","Tweet","Chris Sambu","the_sambu","7/16/2024, 7:57:41 AM","13","393","4","881","16933","5","en","No","Twitter for Android","","https://x.com/the_sambu/status/1813075507707060319","","",""
