"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1579113217414287363""","Farouk Kibet is an individual without portfolio in the  office of president. Many politicians to date doesn't know and understand his role https://t.co/MVycn7luUM","Tweet","Chepseron.Ian.Sabul 🇰🇪","sabul_ian","10/9/2022, 5:15:04 PM","11","72","0","484","","33","en","No","Twitter for Android","","https://x.com/sabul_ian/status/1579113217414287363","video","https://video.twimg.com/ext_tw_video/1579113180873342984/pu/vid/1280x720/_vBynjc66rdSoQj9.mp4?tag=12",""
"=""1842450224477872624""","Farouk Kibet was a feared man, that held till the day he opened his foul, uncouth mouth. Everyone realised the reason the thug never spoke wasn't because he was a powerful mysterious chess master who only makes critical moves, he was quiet because he was an uneducated orangutan. https://t.co/il4vi2MZyo","Tweet","Nzioka Muli.","nziokamul1","10/5/2024, 9:22:19 AM","169","2878","36","9395","314270","192","en","No","Twitter for Android","","https://x.com/nziokamul1/status/1842450224477872624","photo","https://pbs.twimg.com/media/GZGytvDW8AAgb2L.jpg",""
"=""1914002566117265481""","Conman raila bodyguard showing his farouk kibet skills by pushing orengo, mambo ni mengi https://t.co/vo9OYh2gYP","Tweet","wanjiru","Wanjiru2027","4/20/2025, 8:05:46 PM","17","104","4","531","19551","3","en","No","Twitter for iPhone","","https://x.com/Wanjiru2027/status/1914002566117265481","photo","https://pbs.twimg.com/media/Go_nLz5WQAEqNhj.jpg",""
"=""1820712082213376177""","Farouk Kibet was behind all these abductions ,,,,Men with guns will come to your place like this👇👇
NaneNaneMarch they'll not believe https://t.co/niZOBapwDZ","Tweet","KOT Snitch🇰🇪","kijana_ya_njiru","8/6/2024, 9:42:42 AM","43","116","2","209","33322","8","en","No","Twitter for Android","","https://x.com/kijana_ya_njiru/status/1820712082213376177","photo","https://pbs.twimg.com/media/GUR35lHW0AA9KS-.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1820712041213984768/pu/img/VRji9NAgQMtbk96j.jpg",""
"=""1848603408049066364""","Farouk Kibet can now feel the pain and agony other parents went through as he sent his killer squad to kill the children of other people https://t.co/lKrxeY1yQR","Tweet","The Government Critic 🇰🇪","magwaz3","10/22/2024, 8:52:52 AM","292","1500","18","7596","348568","78","en","No","Twitter for Android","","https://x.com/magwaz3/status/1848603408049066364","photo","https://pbs.twimg.com/media/GaePANNWUAAcGVk.jpg",""
"=""1913523750177251541""","While he was CS interior, he was so arrogant and abusive it leaked into the media. If you can vote for Matiangi you can vote for Farouk Kibet.","Tweet","Betty, a Vintage Baddie🌺🪸🌿","DoItBetty","4/19/2025, 12:23:08 PM","18","627","9","1785","27109","10","en","No","Twitter for iPhone","","https://x.com/DoItBetty/status/1913523750177251541","","",""
"=""1898955952608453058""","The Untold Story of Farouk Kibet: William Ruto’s Closest Ally and the Total man in Ruto Presidency. 

[ THREAD ]
🧵🧵... https://t.co/ffgfxTfZf6","Tweet","Weigo","Samweigo","3/10/2025, 7:35:54 AM","69","280","5","2036","367177","449","en","No","Twitter for Android","","https://x.com/Samweigo/status/1898955952608453058","photo","https://pbs.twimg.com/media/GlpyYAuXAAA6nRM.jpg",""
"=""1804527324987011415""","Who is Farouk Kibet to advice Campus students to study? I'm even told that he doesn't have a KCPE certificate. If you think it's a lie, dare him to speak in English. THEY WILL NOT BELIEVE. WELCOME TO THE REVOLUTION.

John Allan Namu New M-PESA Kaende Kaende Where is Hanifa Butita https://t.co/LJ18So9cld","Tweet","Hon. KM Katiwa 𝕏","katiwa_","6/22/2024, 5:50:15 PM","234","528","22","1775","314656","85","en","No","Twitter for Android","","https://x.com/katiwa_/status/1804527324987011415","video","https://video.twimg.com/ext_tw_video/1804527257181933568/pu/vid/avc1/720x720/MFE4SpOGkOVq2A3b.mp4?tag=12",""
"=""1888482913089462420""","Farouk Kibet is one of the most powerful yet least understood figures in Kenyan politics. From humble beginnings in Uasin Gishu, he has risen to be President William Ruto’s closest confidant. But who is he really? 👇🧵 https://t.co/Mj6n67DB8Z","Tweet","🅿🆁🅴🅰🅲🅷🅴🆁🅺🅸🅳 🇰🇪🇬🇧","Gregy_Ke","2/9/2025, 9:59:47 AM","39","151","16","1312","228410","146","en","No","Twitter for Android","","https://x.com/Gregy_Ke/status/1888482913089462420","photo","https://pbs.twimg.com/media/GjU9M0CWAAAZ-XM.jpg, https://pbs.twimg.com/media/GjU9M2gW0AA7zBo.jpg",""
"=""1909932110258856092""","The Real Story of Farouk Kibet

The most trustee of president Ruto

Watch the videos 👇 https://t.co/DoYTPjIXoP","Tweet","Amazing","_kijanayamwingi","4/9/2025, 2:31:14 PM","85","244","3","2209","451994","504","en","No","Twitter for Android","","https://x.com/_kijanayamwingi/status/1909932110258856092","photo","https://pbs.twimg.com/media/GoFxIZRWoAAy_mz.jpg",""
