"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1908495108573475189""","Here's the video when William Ruto said that Francis Atwoli is a very stupid man. He in fact said that Atwoli is the most foolish man on earth. https://t.co/5P9V6mErWD","Tweet","Kavuli M. Bernard","BernardKavuli","4/5/2025, 3:21:06 PM","85","945","54","2402","98867","149","en","No","Twitter for Android","","https://x.com/BernardKavuli/status/1908495108573475189","video","https://video.twimg.com/ext_tw_video/1908450152458735616/pu/vid/avc1/480x270/znoVhAjL1vV6qlHk.mp4?tag=12",""
"=""1118180741911805953""","Francis Atwoli should be fighting for the labor force, but he busy marrying youngins, flossing his gold rings and watches around, and politicking for extension of Uhuru's rule. Mafi ya kuku. #HousingFundLEVY #TanoTERROR https://t.co/HgX42ymoqh","Tweet","The Muthoka®","MuthokaTito","4/16/2019, 6:53:58 PM","31","69","3","204","","0","en","No","Twitter for Android","#HousingFundLEVY, #TanoTERROR","https://x.com/MuthokaTito/status/1118180741911805953","photo","https://pbs.twimg.com/media/D4STbbEW4AEaY0L.jpg",""
"=""1908507489882034346""","Francis Atwoli doesn't know that Ruto's administration is like a Tahmeed bus ferrying passengers with flat tyres. https://t.co/QBvsovFD3P","Tweet","Franc Mirito","FMirito","4/5/2025, 4:10:18 PM","6","11","1","28","14794","4","en","No","Twitter for Android","","https://x.com/FMirito/status/1908507489882034346","video","https://video.twimg.com/ext_tw_video/1908507338606075904/pu/vid/avc1/1280x720/QCH29-nX4wIaHdgh.mp4?tag=12",""
"=""1914235072472920222""","Weka hiyo mfupa kubwa wewe mazishi ni yako ama ya Pope Francis https://t.co/YLk9gIrJKl","Tweet","Kijana Ya Atwoli ( parody )","AtwoliiYa","4/21/2025, 11:29:40 AM","56","85","1","274","6558","2","in","No","Twitter for Android","","https://x.com/AtwoliiYa/status/1914235072472920222","photo","https://pbs.twimg.com/media/GpC6p0IXoAA2_4V.jpg",""
"=""1914242210037383401""","BREAKING NEWS : Raila Odinga to vie for the Pope seat in Vatican after Pope Francis is announced dead https://t.co/0o0r5xuX9N","Tweet","Kijana Ya Atwoli ( parody )","AtwoliiYa","4/21/2025, 11:58:02 AM","27","52","2","253","26613","18","en","No","Twitter for Android","","https://x.com/AtwoliiYa/status/1914242210037383401","video","https://video.twimg.com/ext_tw_video/1914242181205782528/pu/vid/avc1/640x360/L6SzRsr05TV-6cBk.mp4?tag=12",""
"=""1236945843812536320""","Francis Atwoli is an old man with a brain stuck in diapers. Atwoli always demonstrate clearly that old age doesn't come with wisdom and maturity. 
He is obsessed with Deputy President William Ruto for real. 
Hii ni ushenzi gani hii sasa? https://t.co/tQVvAjUNUG","Tweet","Char-lee Oddie","CharleeOddie","3/9/2020, 12:24:05 PM","17","31","8","176","","3","en","No","Twitter for Android","","https://x.com/CharleeOddie/status/1236945843812536320","video","https://video.twimg.com/ext_tw_video/1236945367918354432/pu/vid/400x224/dnjWl3sxHQl0Qn0k.mp4?tag=10",""
"=""1904822264740163800""","75-year-old COTU boss Francis Atwoli welcomes his first child with 40-year-old former KTN news anchor Mary Kilobi.
Congratulations
#atkcelebrityculture #atkliveyourdreams #atksocial #atktrends #atkbeats #TrendingReels #TrendingInKenya #FrancisAtwoli #MaryKilobi https://t.co/1rg4eMaaWw","Tweet","AFRIKA TV,254","254AFRIKA","3/26/2025, 12:06:32 PM","0","0","0","0","121","0","en","No","Twitter Web App","#atkcelebrityculture, #atkliveyourdreams, #atksocial, #atktrends, #atkbeats, #TrendingReels, #TrendingInKenya, #FrancisAtwoli, #MaryKilobi","https://x.com/254AFRIKA/status/1904822264740163800","photo","https://pbs.twimg.com/media/Gm9JlrbWsAAtapC.jpg, https://pbs.twimg.com/media/Gm9JqXwXIAAPnvb.jpg",""
"=""1908441412862980246""","Francis Atwoli is living proof that even idiots grow old. https://t.co/nezo3wKOle","Tweet","𝗧𝗵𝗲 𝗔𝗳𝗿𝗶𝗰𝗮𝗻 𝗠𝗼𝗴𝘂𝗹","DukeOfSavannah","4/5/2025, 11:47:44 AM","39","633","4","2279","35380","12","en","No","Twitter for Android","","https://x.com/DukeOfSavannah/status/1908441412862980246","photo","https://pbs.twimg.com/media/GnwlWbTbYAIODz8.jpg",""
"=""1861844749197472247""","Enough said. COTU Boss Francis Atwoli on Citizen TV with Jeff Koinange. #JKLIVE oh my 😂 https://t.co/VOJ1BnGs9B","Tweet","Ken Aseka","KenAseka","11/27/2024, 9:49:14 PM","20","289","20","540","66942","102","en","No","Twitter for Android","#JKLIVE","https://x.com/KenAseka/status/1861844749197472247","video","https://video.twimg.com/ext_tw_video/1861844622663663616/pu/vid/avc1/960x540/7rFpniJFuq9fKDUB.mp4?tag=12",""
"=""1897568876453351909""","COTU Secretary General Mr Francis Atwoli will forever be goated. Below are some of his humurous moments😂💀

THREAD! https://t.co/rOEO0G50pm","Tweet","Olivia❤️","oliviamaya_1","3/6/2025, 11:44:09 AM","41","46","2","77","14435","18","en","No","Twitter Web App","","https://x.com/oliviamaya_1/status/1897568876453351909","photo","https://pbs.twimg.com/media/GlWBm_RWEAAT7Qw.jpg",""
