"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1913254607570022510""","NIS is turning 43 in two days... 

As Jesus Arises, My Sunset beckons... The Devil faleth like my tirries 

Countdown begins ... Happy Easter team Aoko 🫶

One more thing, Fuck Ruto! https://t.co/CCWr5IsvBZ","Tweet","Maverick Aoko","AokoOtieno_","4/18/2025, 6:33:39 PM","1097","972","89","11447","527211","144","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1913254607570022510","photo","https://pbs.twimg.com/media/Go0-50ZXoAA9lC3.jpg",""
"=""1909580791622795482""","This is why I will NEVER, EVER 

Respect the Persona of William Ruto 

Him being corrupt is not an issue. Just a part of a myriad of things 

The absolute measure of a man, is he who keeps his words 
 
It's not that difficult. Just say what you mean and mean what you say https://t.co/l0nrDmmoag","Tweet","Maverick Aoko","AokoOtieno_","4/8/2025, 3:15:13 PM","135","1011","33","3474","215860","308","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1909580791622795482","video","https://video.twimg.com/ext_tw_video/1909580754943684608/pu/vid/avc1/626x360/yjimHNKAk3tZ4xXD.mp4?tag=12",""
"=""1910252917824647228""","Watu wa AI wamenifikia aise,

Nimepewa Bwana 🙄

Si tutumie tu hizi energy for Ruto Must Go 

I have some freaking weird Fans. Mad like me

Nitahama niwaachie hii X sasa 🚶 https://t.co/akQ5ZpmeeU","Tweet","Maverick Aoko","AokoOtieno_","4/10/2025, 11:46:01 AM","268","166","8","1768","109273","51","tl","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1910252917824647228","video","https://video.twimg.com/ext_tw_video/1910252853731393536/pu/vid/avc1/720x1280/ZeKd0AqgVXO-h6nb.mp4?tag=12",""
"=""1913988053938417709""","Ole Kina huwa havai chupi... Which is okay, underwear is not a Maa thing 

Shida ni amepaka Mafi kwa viti zote Senate, the cleaners are complaining!

Tangu aanze kula pesa ya Ruto through Ole Metito, 

This fool used money from donors ati combating FGM, ndio ali campaign nazo https://t.co/uzfgKkpgUy","Tweet","Maverick Aoko","AokoOtieno_","4/20/2025, 7:08:06 PM","625","535","39","4349","311064","95","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1913988053938417709","photo","https://pbs.twimg.com/media/Go_Z_fSXcAAMzXE.jpg",""
"=""1913035385275318467""","Welcome back Sungu Sungu 

Chinkororo

Dawa ya RUTO! 

Matiang'i https://t.co/4J5JBMG6me","Tweet","Maverick Aoko","AokoOtieno_","4/18/2025, 4:02:32 AM","460","1352","39","12260","440573","110","in","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1913035385275318467","photo","https://pbs.twimg.com/media/Gox3ioVWMAAj7sP.jpg",""
"=""1909674500893163942""","UDA MPs beating each other over mboro ya Duale na Ruto

Woi, Mwathani agocio!!! https://t.co/akJzpYKT9n","Tweet","Maverick Aoko","AokoOtieno_","4/8/2025, 9:27:35 PM","274","449","23","2317","149568","189","pl","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1909674500893163942","video","https://video.twimg.com/ext_tw_video/1909674431804239872/pu/vid/avc1/364x640/4AceOEtnS-fAviTU.mp4?tag=12",""
"=""1913033874126365057""","Oh, I heard Jicho Pevu wants to quit UDA ☺️

Oh wow!

Ruto is doing to him exactly what he did to me 

Moha told me: ""Unataka kazi Gani kwa deep state yangu?""

Then Ruto Made him PSC. Bro akajaza walalo ofisi. Akaniambia wabunge fear me so hangenipea Job 

What Goes around...🙏 https://t.co/e3RN2Um76i","Tweet","Maverick Aoko","AokoOtieno_","4/18/2025, 3:56:32 AM","93","323","4","3471","232204","39","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1913033874126365057","photo","https://pbs.twimg.com/media/Gox2KdgXYAA6OJK.jpg",""
"=""1913026791389700118""","@NashonJahome I'm not Ruto. 

Mimi ni kusema na kutenda 

Thanks for being a fan Drew. And keeping tabs 

You're appreciated 🫶 https://t.co/CvtPj2f47t","Reply","Maverick Aoko","AokoOtieno_","4/18/2025, 3:28:24 AM","5","12","0","307","17564","4","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1913026791389700118","photo","https://pbs.twimg.com/media/GoxvuoLW4AAjNt-.jpg",""
"=""1910310202613588216""","✊✊✊ Butere Girls Play reminds me of Sarafina 

Which was based on the June 16th Soweto Uprising 

Ours was June 25th hence Echos of War 

One thing is imminent... 

Freedom is Coming! 

And Ruto, alongside KANU orphans Will Finally Go https://t.co/zrvSAAAOOz","Tweet","Maverick Aoko","AokoOtieno_","4/10/2025, 3:33:38 PM","86","908","7","3462","96850","26","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1910310202613588216","photo","https://pbs.twimg.com/media/GoLI_w8WkAABic4.jpg, https://pbs.twimg.com/media/GoLI_lRXkAA6Jtp.jpg",""
"=""1909600605984743449""","I don't know how to say this in a respectful, honest way 

The moment you ask me for money, I'll BLOCK YOU

I don't care about your situation 

You are your mother's responsibility, not mine

Hata Mimi Sina KAZI. I'M a broke Blogger waiting for Babu's Gafment 

Ruto is the Enemy","Tweet","Maverick Aoko","AokoOtieno_","4/8/2025, 4:33:57 PM","225","642","10","5861","202454","58","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1909600605984743449","","",""
"=""1913837956768375190""","@itskipronoh Yet they're tracking Aoko day and night 

I'm now residing in Rwanda like a refugee 

My only crime is saying Ruto fucks Soipan Tuya! Akaenda akatoa mimba Nairobi hospital to kill the gist 

Which Felix Koskei now wants to buy 

Even Mobutu Sese Seko became extinct. Mungu yupo","Reply","Maverick Aoko","AokoOtieno_","4/20/2025, 9:11:40 AM","31","220","1","1988","52211","13","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1913837956768375190","","",""
"=""1909064337492242737""","June 25th is two months Away 

We must light candles entire day and night

We might have retreated. But we MUST not surrender 

One thing we must NEVER do, is take the Blood of fellow comrades for granted

Ngeli ni Ruto MUST Go! 

Don't worry General Kahariri, tunaheshimu Katiba https://t.co/qMrMfraQn9","Tweet","Maverick Aoko","AokoOtieno_","4/7/2025, 5:03:01 AM","67","1154","2","4491","106446","28","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1909064337492242737","photo","https://pbs.twimg.com/media/Gn5b4ydWIAAg6k2.jpg",""
"=""1909234931517006293""","Moses Kuría is getting auctioned na Equity Bank,

Farouq insisted Bro here has to leave his ID at the gate kama cleaner 

Sugoi Mafia feel that he's no longer useful

Ruto was heckled in Kiambu, kule Dubai deals pia Joho upstaged him 

As we speak, amelewa akajikojolea. Stress https://t.co/LbAM0TSwGp","Tweet","Maverick Aoko","AokoOtieno_","4/7/2025, 4:20:54 PM","152","745","9","5251","232096","77","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1909234931517006293","photo","https://pbs.twimg.com/media/Gn73DWOXoAA1s_c.jpg",""
"=""1909314488014078084""","Rigathi Gachagua...

Woi... Mwathani. Jeso!

I'm gobsmacked...

Wamunyoro is officially Bae bana 

He will be Ruto's waterloo. Finally, someone mwenye anazima Ruto 

Yaani, the things he's said kwa hiyo interview, 

Mama yangu!!!","Tweet","Maverick Aoko","AokoOtieno_","4/7/2025, 9:37:01 PM","531","2129","19","13955","642008","287","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1909314488014078084","","",""
"=""1910255796375453887""","I hear the Young Patriots of Butere refused to Perform out of protest

How can you perform for chairs? 

If they hadn't banned the play, we wouldn't have known about it 

I keep telling this regime, belligerence is Counterproductive? 

Sasa hao Watoto si sai wanachukia Ruto?","Tweet","Maverick Aoko","AokoOtieno_","4/10/2025, 11:57:27 AM","280","1497","6","8524","230808","81","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1910255796375453887","","",""
"=""1909022241788219809""","Maraga's emissaries have just left Kindiki's official residence in Karen 

Time clocked out - 1:47 am

Shiet! I refused to admit Elder Maraga is a project,

Until Havi of Jurispesa was given the assignment to sell him. 

Been wondering, huyu Maraga Ruto alipea kazi juzi, ehe?","Tweet","Maverick Aoko","AokoOtieno_","4/7/2025, 2:15:45 AM","438","1347","50","6971","357590","203","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1909022241788219809","","",""
"=""1909197339144618218""","@ngeno_kiplang Bro, si you are just a fucking Kalenjin defending fellow Mursik?

B'coz If we start talking about consistency, kuna siku I've dithered?

Kuna mtu anaeza sema with with authority and evidence nime betray Kenyans against Ruto?","Reply","Maverick Aoko","AokoOtieno_","4/7/2025, 1:51:31 PM","10","11","0","135","5661","0","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1909197339144618218","","",""
"=""1913550348536398143""","@mutuma_mathiu If there was EVER a time I loved you,

Aside from your engrossing and compelling ink, it's now! 

You've surmised rivetingly what I've been struggling to shout since juzi 

Matiang'i is RUTHLESS. Exactly the kind of opponent Ruto deserves 

Good thing is at least he delivers","Reply","Maverick Aoko","AokoOtieno_","4/19/2025, 2:08:49 PM","18","35","0","461","13209","0","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1913550348536398143","","",""
"=""1913095458014081111""","@AlinurMohamed_ You've received no report.  Matiang'i came back PUBLICLY , sio secretly ka mchawi

That he's Uhuru's project is EQUALLY public knowledge 

In fact, he wanted to run in 2022. Ata wewe ni failed Project ya Pirates Eastleigh 

As it stands, the more enemies against Ruto, the better https://t.co/voESPlysO0","Reply","Maverick Aoko","AokoOtieno_","4/18/2025, 8:01:15 AM","104","156","4","1686","42319","10","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1913095458014081111","photo","https://pbs.twimg.com/media/GoyuLIuWsAE2Kzi.jpg",""
"=""1913192332448485716""","@HonJBMuturi What I know is wewe ni Mlevi kuruka 

That's why you could not survive under Ruto. B'coz  ""drinkards"" are very candid and translucent People 

Sisi hutema ukweli kama mate ya cobra. Damn the consequences! 

That's why Uhuru is your buddy. Fellow palm wine tapper 🫶

Happy Easter","Reply","Maverick Aoko","AokoOtieno_","4/18/2025, 2:26:12 PM","19","57","0","896","21030","7","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1913192332448485716","","",""
"=""1908849737568055749""","Nyandarua Senator, 

Methu- scion of Mau Mau, scored himself a babe for all seasons 

Kanisa anaweza. Shamba, ✅

Ku slay (tibim)

Now that's a winning Man! 

Zile chokoraa za Ruto, Ichungwa ameficha Bibi south Africa 

His harlot ako Kileleshwa. Chesang ako Kurarua Betty Kyalo https://t.co/WzJJ11YCLb","Tweet","Maverick Aoko","AokoOtieno_","4/6/2025, 2:50:16 PM","63","290","1","2877","150123","48","tl","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1908849737568055749","photo","https://pbs.twimg.com/media/Gn2Yt3SWwAAcEcD.jpg, https://pbs.twimg.com/media/Gn2Yt9ZXAAA5hxB.jpg",""
