"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1805701193878094041""","By now, we all know who killed Gen. Ogolla. Today, we have found out why he was killed. I am very sure he wouldn't have allowed the deployment of KDF against unarmed civilians on his own soil. sijui kama tunaelewana kweli.

#RejectFinanceBill2024 https://t.co/WTjDbqDp4x","Tweet","Ombogori","Ombogori","6/25/2024, 11:34:47 PM","273","7792","90","20631","400162","163","en","No","Twitter for Android","#RejectFinanceBill2024","https://x.com/Ombogori/status/1805701193878094041","photo","https://pbs.twimg.com/media/GQ8joyNW8AAjYKy.jpg",""
"=""1782836480827699374""","Bumula Mp Jack Wamboka calls on Elders to cleanse Joel Ogolla for receiving his father, Gen Ogolla, in the grave. https://t.co/ETuYlvZZLi","Tweet","Cyprian, Is Nyakundi","C_NyaKundiH","4/23/2024, 9:18:35 PM","136","241","16","1238","156162","83","en","No","Twitter for iPhone","","https://x.com/C_NyaKundiH/status/1782836480827699374","video","https://video.twimg.com/amplify_video/1782836393972031488/vid/avc1/640x360/F4B5aiR96OMInPxX.mp4?tag=14",""
"=""1780977706076668172""","CDF Ogolla the unifying figure of our country, has died in a terrible helicopter crash. Duale confirmed the Breaking News at State House where the KDF top brass is meeting.
Rest in Peace https://t.co/1NqJfU6MF4","Tweet","GeorgeiQwatson","GeorgeiQwatson","4/18/2024, 6:12:28 PM","33","66","2","451","172484","30","en","No","Twitter for iPhone","","https://x.com/GeorgeiQwatson/status/1780977706076668172","photo","https://pbs.twimg.com/media/GLdNvBAXMAAPDi3.jpg, https://pbs.twimg.com/amplify_video_thumb/1780977647763202048/img/W_0LFKpu-YpQL_si.jpg",""
"=""1786652861381607515""","Help answer this easy wizzy question: 
Gen Ogolla was earmarked to fly Helicopter A. Near departure time it was ordered changed to B. 
QUESTION: 𝑾𝒉𝒐 𝒉𝒂𝒔 𝒕𝒉𝒆 𝒑𝒐𝒘𝒆𝒓 𝒕𝒐 𝒄𝒂𝒏𝒄𝒆𝒍 𝒕𝒉𝒆 𝒇𝒍𝒊𝒈𝒉𝒕 𝒑𝒍𝒂𝒏 𝒐𝒇 𝒕𝒉𝒆 𝑯𝒆𝒂𝒅 𝒐𝒇 𝑻𝒉𝒆 𝑴𝒊𝒍𝒊𝒕𝒂𝒓𝒚? https://t.co/juHJ2Kga7E","Tweet","Dictator Watch","DictatorWatch","5/4/2024, 10:03:31 AM","6","26","2","66","4996","7","en","No","Twitter for Android","","https://x.com/DictatorWatch/status/1786652861381607515","photo","https://pbs.twimg.com/media/GMt3TxpXQAILkpq.jpg",""
"=""1805792740279492776""","By now, we all know who killed Gen. Ogolla. Today, we have found out why he was killed. I am very sure he wouldn't have allowed the deployment of KDF against unarmed civilians on his own soil.

Tupatane Thursday Charlene Githurai 45 Miguna Raila 
#RejectFinanceBill2024 https://t.co/BFoAxXIJ6e","Tweet","Don Kitheka Sam","RealDonKitheka","6/26/2024, 5:38:33 AM","4","152","2","463","56219","18","en","No","Twitter for Android","#RejectFinanceBill2024","https://x.com/RealDonKitheka/status/1805792740279492776","photo","https://pbs.twimg.com/media/GQ9223RX0AA8RYe.jpg",""
"=""1782453044384317944""","Major Benson Magondu is among those that died in the tragic Chopper crash that claimed CDF Gen Francis Ogolla. 

But here is the most outstanding thing, at the age of 29 yrs he had attained the rank of a Major. Such a rank in Military at that age is incredible. https://t.co/YOWxnn0ffs","Tweet","Chris Sambu","the_sambu","4/22/2024, 7:54:56 PM","63","193","6","1866","135063","45","en","No","Twitter for Android","","https://x.com/the_sambu/status/1782453044384317944","photo","https://pbs.twimg.com/media/GLyLmOZW0AAZ4ZE.jpg",""
"=""1783031050144227627""","Gen. Ogolla was the CDF without power and authority at DoD. He was like a stray dog who senior commissioned officers were avoiding at every moment. No wonder he was left to loiter with non commissioned officers in the thickets of Rift valley. Shame on you CiC.","Tweet","Мосес джаокоо","JaokooMoses","4/24/2024, 10:11:44 AM","55","134","8","699","72242","62","en","No","Twitter for Android","","https://x.com/JaokooMoses/status/1783031050144227627","","",""
"=""1805894661199778168""","@RodgersKipembe Tomorrow carry Gen Ogolla banners KDF will not shoot you!! https://t.co/SNRUUY0cmx","Reply","Sam Njuguna","njuguna_mk","6/26/2024, 12:23:33 PM","12","60","0","214","9947","3","en","No","Twitter for Android","","https://x.com/njuguna_mk/status/1805894661199778168","photo","https://pbs.twimg.com/media/GQ_Tn6QWcAAfERh.jpg",""
"=""1784424802054275384""","Here is Dr Ng'ong'a Molo Oburu Oginga picking up the Lord's work from where he left it at Gen Francis Ogolla's burial. ""How do you investigate yourself if you're the suspect?"" Bwana even the Youth Leader of all Total Orphans has decided there will be no rest for the wicked. https://t.co/JTIJZQ3nyz","Tweet","Gabriel Oguda","gabrieloguda","4/28/2024, 6:30:00 AM","55","302","7","1228","124790","92","en","No","Twitter Web App","","https://x.com/gabrieloguda/status/1784424802054275384","video","https://video.twimg.com/ext_tw_video/1784311920578699265/pu/vid/avc1/1280x720/aAZ6ssXn6wbOY5kQ.mp4?tag=12",""
"=""1782449709577048070""","Joel Ogolla's Dad, CDF Ogolla was not only a general but also a human being...🫡
https://t.co/Mpr1HK0q9G","Tweet","Henry Kabogo 💧 ❄ 🇰🇪","Kabogo_Henry","4/22/2024, 7:41:41 PM","57","418","11","2957","236639","218","en","No","Twitter for Android","","https://x.com/Kabogo_Henry/status/1782449709577048070","video","https://video.twimg.com/ext_tw_video/1782442037767204871/pu/vid/avc1/848x480/2Aa3SWiNy82r4WB8.mp4?tag=12",""
