"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1709609297833837053""","The MP Abdulswamad who's now Msa Governor then promised to bring the warring gangs together to seek a common peace ground and aided their temporary release from authorities. https://t.co/KlUlUz450F","Reply","Don Bull","mainandegwa232","10/4/2023, 7:39:54 PM","4","18","1","308","67968","5","en","No","Twitter for Android","","https://x.com/mainandegwa232/status/1709609297833837053","video","https://video.twimg.com/ext_tw_video/1709609153239400453/pu/vid/avc1/1280x720/XIz7EZrFAsL2pPUw.mp4?tag=12",""
"=""1816761374539690136""","Mombasa Governor Abdulswamad VS Moha Jicho pevu https://t.co/YuVvngkKeC","Tweet","PropesaTV","PropesaTV","7/26/2024, 12:04:00 PM","2","106","3","506","66738","51","und","No","Twitter Web App","","https://x.com/PropesaTV/status/1816761374539690136","video","https://video.twimg.com/ext_tw_video/1816760785382649856/pu/vid/avc1/1280x720/HyxTeKq5jP7jlGA5.mp4?tag=12",""
"=""1745895146141491594""","Never seen a Politician who is so chilled like Governor Abdulswamad. Huyu ni Muungwana 👍 https://t.co/NPVsvRaxDM","Tweet","Akbas TIBIM✊️","Ammar_Kassim8","1/12/2024, 10:46:54 PM","10","31","2","632","14190","0","en","No","Twitter for Android","","https://x.com/Ammar_Kassim8/status/1745895146141491594","photo","https://pbs.twimg.com/media/GDqqYbRXgAEE3Pn.jpg",""
"=""1846500529322811562""","Executive Director Peter of Haki Yetu, a human rights organization based in Mombasa, lawyer Ali Munira, alongside Julius Wanyama and four others arrested as they attempted to present their petition to Governor Abdulswamad Sheriff Nassir. The arrest followed a confrontation with https://t.co/PKTvBNd2lT","Tweet","Cyprian, Is Nyakundi","C_NyaKundiH","10/16/2024, 1:36:47 PM","51","377","12","698","125689","24","en","No","Twitter Web App","","https://x.com/C_NyaKundiH/status/1846500529322811562","video","https://video.twimg.com/ext_tw_video/1846500127667535872/pu/vid/avc1/1280x720/zNwkmIcWNNObQ3nb.mp4?tag=12",""
"=""1840967130826596469""","X (Twitter) Community Notes finger Mombasa Governor Abdulswamad Nassir over the gang-rape of Mombasa blogger Bruce John Kajira who was sodomized by a gang and gory encounter recorded by the perpetrators and shared online. https://t.co/la7fs8Z2OG","Tweet","Mambo Mseto X","MamboMseto254","10/1/2024, 7:09:02 AM","10","35","0","38","5765","1","en","No","Twitter Web App","","https://x.com/MamboMseto254/status/1840967130826596469","photo","https://pbs.twimg.com/media/GYxtPQcW4AA2Q78.jpg",""
"=""1840656890981646340""","Mombasa Governor Abdulswamad Nassir sent goons to sodomize a blogger who was exposing his corruption in the county. He should be rotting in jail!! https://t.co/990L3ypWfm","Tweet","KIPRONO","Onorpik","9/30/2024, 10:36:15 AM","22","167","5","341","53603","10","en","No","Twitter for Android","","https://x.com/Onorpik/status/1840656890981646340","photo","https://pbs.twimg.com/media/GYtTrVoXUAArUlk.jpg",""
"=""1900945671617695888""","Our Annual Community Iftar taking shape. Waziri Hassan Ali Joho Governor Abdulswamad Shariff Nassir, elected members of parliament hosted by Jomvu MP Hon Badi Twalib, prominent Sheikhs, faithfuls among the guests to grace the Dinner. May our prayers and fasts be accepted by Allah https://t.co/0I93auUV1a","Tweet","Abdulrahman","bearded_Abdul","3/15/2025, 7:22:20 PM","1","0","0","2","3987","0","en","No","Twitter for Android","","https://x.com/bearded_Abdul/status/1900945671617695888","video","https://video.twimg.com/ext_tw_video/1900945581490794499/pu/vid/avc1/720x1280/h7Luv4JEqlzTEApj.mp4?tag=12",""
"=""1858207477302432056""","Shanzu Court grants bail to Omar Ali Mohamed alias ""Nyanya"" - one of the suspects accused of abducting and gang-raping Mombasa-based blogger Bruce John popularly known as ""Chawa 001"" after a viral TikTok video criticizing Governor Abdulswamad Nassir. 

Mohamed was released on a https://t.co/BIb67AOlem","Tweet","Cyprian, Is Nyakundi","C_NyaKundiH","11/17/2024, 8:56:01 PM","62","117","6","272","37007","9","en","No","Twitter Web App","","https://x.com/C_NyaKundiH/status/1858207477302432056","photo","https://pbs.twimg.com/media/GcmtyMVWIAA98WL.png",""
"=""1837449164415799345""",""" He was molested by 4 men"" - Nuru Okanga Cries after hearing a Blogger was molested in Mombasa by people close to Governor Abdulswamad! https://t.co/Zn5YLdg0OI","Tweet","The Kenyan Vigilante","KenyanSays","9/21/2024, 2:09:53 PM","12","216","8","608","38924","76","en","No","Twitter for Android","","https://x.com/KenyanSays/status/1837449164415799345","video","https://video.twimg.com/ext_tw_video/1837448835703934976/pu/vid/avc1/1024x576/dkmlWCDrqmz3lPXj.mp4?tag=12",""
"=""1564146340489318400""","SULTAN HAS DONE IT. HON ABDULSWAMAD NASSIR FOR GOVERNOR.❤️❤️❤️♥️🔥 https://t.co/GBQKuLqV4z","Tweet","The Kenya We Want","KenyaWeWant_","8/29/2022, 10:02:02 AM","6","33","0","690","","1","en","No","Twitter for Android","","https://x.com/KenyaWeWant_/status/1564146340489318400","photo","https://pbs.twimg.com/media/FbT2ykBXEAEk9b1.jpg",""
"=""1835156484121915581""",""" Abdulswamad must Go"" Mombasa Residents protest after Bruce a blogger was Sodomized by people believed to be sent by the Governor! https://t.co/a98nHyZJkF","Tweet","The Kenyan Vigilante","KenyanSays","9/15/2024, 6:19:36 AM","4","286","3","481","19280","15","en","No","Twitter for Android","","https://x.com/KenyanSays/status/1835156484121915581","video","https://video.twimg.com/ext_tw_video/1835156344304812032/pu/vid/avc1/576x1024/AsxUGRAfj14lL-Ia.mp4?tag=12",""
"=""1888511815329686011""","Mombasa Governor Abdulswamad Nassir calls for an end to all forms of discrimination and ensures that every Kenyan, regardless of background, enjoys the full benefits of democracy.
 
Speaking at the Gabra Cultural Night in Mbaraki, Mombasa he emphasised that upholding equality is https://t.co/QYBnjoezDM","Tweet","The Eastleigh Voice","Eastleighvoice","2/9/2025, 11:54:38 AM","30","78","12","222","52414","13","en","No","Twitter Web App","","https://x.com/Eastleighvoice/status/1888511815329686011","video","https://video.twimg.com/ext_tw_video/1888506851781705728/pu/vid/avc1/1280x720/wda8zhZOBqBGAfGH.mp4?tag=12",""
"=""1862925974569910644""","During the Launch of Elimu Scheme by Governor Abdulswamad Shariff Nassir at Mama Ngina Waterfront.
#MOMBASAFAHARIYANGU https://t.co/OMtkCJFd5y","Tweet","Office of the Women Representative Msa County.","Zamzammohammed0","11/30/2024, 9:25:38 PM","0","2","0","4","186","0","en","No","Twitter for Android","#MOMBASAFAHARIYANGU","https://x.com/Zamzammohammed0/status/1862925974569910644","video","https://video.twimg.com/ext_tw_video/1862925537259220992/pu/vid/avc1/720x1280/1c51rYdGYqJkbDia.mp4?tag=12",""
"=""1840645348307394599""","Isn't it interesting that Mombasa Governor Abdulswamad Nassir has not condemned the assault of the Mombasa blogger that was organized by  his Lands CEC Mohamed Hussein (Pictured with).  Abdulswamad Nassir must also be arrested and questioned. This order came from him https://t.co/V0XWsP3puD","Tweet","Cyprian, Is Nyakundi","C_NyaKundiH","9/30/2024, 9:50:23 AM","121","966","17","2033","112387","16","en","No","Twitter Web App","","https://x.com/C_NyaKundiH/status/1840645348307394599","photo","https://pbs.twimg.com/media/GYtJL6AWwAA_AxQ.jpg",""
"=""1564303054970707969""","Congratulations Governor- Elect 001 H.E Abdulswamad Nassir https://t.co/cM5eHcsric","Tweet","₫.","_nyarombo","8/29/2022, 8:24:46 PM","14","29","1","473","","0","en","No","Twitter for Android","","https://x.com/_nyarombo/status/1564303054970707969","photo","https://pbs.twimg.com/media/FbWFVlNX0AEbNsi.jpg",""
"=""1840687164280975632""","By the end of this week, citizen are going to invite abdulswammad for an interview to sanitize and tetea himself
Githeri media are enablers","Tweet","captain hook 🪝","owenkk7","9/30/2024, 12:36:32 PM","20","1048","24","2800","43689","31","en","No","Twitter Web App","","https://x.com/owenkk7/status/1840687164280975632","","",""
"=""1840741612810310104""","Calls continue to grow for the arrest of Mombasa Governor Abdulswamad Sheriff Nassir following the gang-rape of his online critic Bruce John Kajira. https://t.co/z9ZxPtPbdV","Tweet","Mambo Mseto X","MamboMseto254","9/30/2024, 4:12:54 PM","11","57","0","66","3882","0","en","No","Twitter Web App","","https://x.com/MamboMseto254/status/1840741612810310104","photo","https://pbs.twimg.com/media/GYugSh3W4AAO05J.jpg",""
"=""1840673359786303634""","We must now turn our attention to Mombasa Governor Abdulswamad Nassir. It is absolutely unacceptable and deeply shocking for anyone to order their associates to assault and sodomize a young blogger simply for criticizing their corrupt administration. Such actions cannot be","Tweet","EDGAR 🇰🇪","edgarwabwire_","9/30/2024, 11:41:41 AM","117","1472","16","2746","82620","20","en","No","Twitter for Android","","https://x.com/edgarwabwire_/status/1840673359786303634","","",""
"=""1834867270805328068""","This Bruce John a Mombasa County Blogger who was Sodomized by people he says were allegedly sent by Mombasa Governor Abdulswamad Shariff! https://t.co/1bSCaaYPXJ","Tweet","The Kenyan Vigilante","KenyanSays","9/14/2024, 11:10:22 AM","12","94","3","133","13307","21","en","No","Twitter for Android","","https://x.com/KenyanSays/status/1834867270805328068","video","https://video.twimg.com/ext_tw_video/1834867159803068416/pu/vid/avc1/576x1024/KY5rLaglpU9D9jpI.mp4?tag=12",""
"=""1817507795044061695""","“Mambo ya kesho sisi hatujui, vijana wanataka kazi,” Governor Abdulswamad to President Ruto https://t.co/j6gGGnbrVO","Tweet","K24 TV","K24Tv","7/28/2024, 1:30:00 PM","38","523","9","2265","115732","51","in","No","Twitter Media Studio","","https://x.com/K24Tv/status/1817507795044061695","video","https://video.twimg.com/amplify_video/1817501446230675457/vid/avc1/900x720/Gl8eUFqCYQZnqtwj.mp4?tag=14",""
"=""1840686316344016945""","Justice for Bruce the Mombasa blogger who was abducted, assaulted and sodomized for criticising governor Abdulswamad Sharriff Nassir.
That rape video is inhuman man","Tweet","Jumuiyan","Jumuiyan","9/30/2024, 12:33:10 PM","5","206","0","222","11880","3","en","No","Twitter for Android","","https://x.com/Jumuiyan/status/1840686316344016945","","",""
"=""1821959731268734989""","I am sincerely pleased to hear about the appointment of my good friend and brother, Mombasa Governor H.E Abdulswamad Shariff Nassir, as the Deputy Party Leader of ODM. I extend my sincerest congratulations and best wishes to him. Together, let us concentrate on enhancing the https://t.co/KStR8jZafn","Tweet","Gideon M. Mung'aro, OGW","GideonMungaroM","8/9/2024, 8:20:24 PM","18","33","0","484","22302","2","en","No","Twitter for iPhone","","https://x.com/GideonMungaroM/status/1821959731268734989","photo","https://pbs.twimg.com/media/GUjmtd6WAAAlGda.jpg",""
"=""1842911236716912885""","Mombasa Governor Abdulswamad Sheriff Nassir bans vehicles from using the Likoni Ferry crossing channel. Vehicles will now be required to use the Dongo Kundu Bypass upon its official launch. This decision follows an accident that occurred at the channel on Sunday morning.

Sheriff https://t.co/FDKjfhyK9r","Tweet","The Eastleigh Voice","Eastleighvoice","10/6/2024, 3:54:13 PM","9","6","2","19","7341","3","en","No","Twitter Web App","","https://x.com/Eastleighvoice/status/1842911236716912885","video","https://video.twimg.com/ext_tw_video/1842908731769552896/pu/vid/avc1/1280x720/Qoz0plhJP-AC1ywQ.mp4?tag=12",""
