"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1914253787906056254""","@KIMANIICHUNGWAH When he was alive you never quoted anything about the Bible, now you want to appear Saint Ichungwa... Neverrr... Tell Liar Lootall master to attend funeral","Reply","Benedict Ndaka Kauto","Benedictndaka","4/21/2025, 12:44:02 PM","0","0","0","0","28","0","en","No","Twitter Web App","","https://x.com/Benedictndaka/status/1914253787906056254","","",""
"=""1914156052460826979""","@mohammedhersi @AnuarSaddat @MFA_China Hapo kwa parliament u fumbled, parliament does what is told and some other things are just passed without being tabled. Are u saying parliament has good leadership? The likes of ichungwa,junet and speaker they are all crooks.","Reply","ENOCH NYARURI","EnochNyaruri","4/21/2025, 6:15:40 AM","0","0","0","0","48","0","en","No","Twitter for Android","","https://x.com/EnochNyaruri/status/1914156052460826979","","",""
"=""1914047302517571798""","@AokoOtieno_ @stanley_kamakei Weee 🤣🤣🤣 
Iyo break Aoko alienda, ulirudi na uji moto ya ichungwa😅.

   Violence kila mahali unaguza","Reply","klyns oluoch","k0lyns","4/20/2025, 11:03:32 PM","0","0","0","7","1054","0","in","No","Twitter for Android","","https://x.com/k0lyns/status/1914047302517571798","","",""
"=""1914046212380172728""","@citizentvkenya @Wycliffeorandi Tell ichungwa he is just an mp and what gachagwa is saying is not a propaganda but pure truths","Reply","Gonzmanalex 254","HenryOduor52493","4/20/2025, 10:59:12 PM","0","0","0","0","4","0","en","No","Twitter for Android","","https://x.com/HenryOduor52493/status/1914046212380172728","","",""
"=""1914009057020571987""","@debarlinea Matiang'i is same as Ruto-Rigathi-Raila-Kalonzo-Kindiki-Ichungwa-Karua and all their colleagues in politics as they refer to themselves as brothers
We have best options (don't ask me b'coz u know) not these culprits.  Shit !!! https://t.co/ouMBQd8Q4F","Reply","GENERAL IBRAHIM BABANGIDAH🇳🇬","mukoya_aywah","4/20/2025, 8:31:34 PM","0","0","0","0","73","0","en","No","Twitter for Android","","https://x.com/mukoya_aywah/status/1914009057020571987","photo","https://pbs.twimg.com/media/Go_tFmSXMAAIrDY.jpg",""
"=""1913957957961687457""","@RodgersKipembe Can kiunjuri, wamumbi, Betty, Ichungwa etc show what they have done in last two years?","Reply","Henry","routerhg","4/20/2025, 5:08:31 PM","0","0","0","0","3","0","en","No","Twitter Web App","","https://x.com/routerhg/status/1913957957961687457","","",""
"=""1913941757072470210""","@citizentvkenya We love gachagua madam ichungwa","Reply","Wambua Musyoki","WambuaMusyoki9","4/20/2025, 4:04:08 PM","0","0","0","0","71","0","en","No","Twitter for Android","","https://x.com/WambuaMusyoki9/status/1913941757072470210","","",""
"=""1913908294319493434""","@citizentvkenya @grok highlight specifically the projects done by kimani ichungwa in his home region... @KIMANIICHUNGWAH","Reply","Watetee Tv","wateteetv","4/20/2025, 1:51:10 PM","1","0","0","0","14","0","en","No","Twitter for Android","","https://x.com/wateteetv/status/1913908294319493434","","",""
"=""1913903907442507865""","@Goddie_Ke Kimani Ichungwa","Reply","Moses Kinyuah","MosesKinyuah1","4/20/2025, 1:33:44 PM","0","0","0","2","241","0","pl","No","Twitter for Android","","https://x.com/MosesKinyuah1/status/1913903907442507865","","",""
"=""1913889870084218895""","@TheStarKenya wasiguse murima ya ichungwa! https://t.co/EF1HlReH2E","Reply","Hannah Ndiritu","HANAWANG22","4/20/2025, 12:37:58 PM","0","0","0","0","6","0","tl","No","Twitter Web App","","https://x.com/HANAWANG22/status/1913889870084218895","animated_gif","https://video.twimg.com/tweet_video/Go-AsFEWIAAQE9H.mp4",""
