"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1873861440781865045""","How KIMANI ICHUNGWAH reportedly lied to a banker, moved her to an apartment in Kileleshwa and impregnated her twice before dumping her - Meet the woman (PHOTOs). https://t.co/dBv41r5Gi2","Tweet","E! News Blog","ENewsBlogUS","12/31/2024, 1:39:16 AM","0","0","0","1","34","0","en","No","Twitter Web App","","https://x.com/ENewsBlogUS/status/1873861440781865045","","","https://enewskenya.blogspot.com/2024/12/how-kimani-ichungwah-reportedly-lied-to.html"
"=""1873837252306231325""","Kimani Ichungwah amejua Ruto juzi, he'll be discarded sooner than later wenngine wamekuwa apo and their lives have turned out to be an endless abuss of tragedy au wako 6 ft under. And when the time comes we'll make sure he hurts like hell.","Tweet","𝙳𝙴𝙻ᴀɴʀɪɢᴀɴ ʀᴏᴅᴇʀɪᴄᴋ'ꜱ @🇹 🇷 🇺 🇪 🇻 🇰","trueViceKing","12/31/2024, 12:03:09 AM","0","0","0","1","16","0","en","No","Twitter for Android","","https://x.com/trueViceKing/status/1873837252306231325","","",""
"=""1873821141384782193""","@Goddie_Ke Start with 1.William Samoei Ruto 
2.Mwengi Mutuse
3.Kimani Ichungwah
4.Oscar Sudi 
5.Kipchumba Murkomen. eTc","Reply","Badi Sylvia","badi_sylvi97188","12/30/2024, 10:59:08 PM","0","1","0","2","45","0","und","No","Twitter for Android","","https://x.com/badi_sylvi97188/status/1873821141384782193","","",""
"=""1873818427070316776""","@KIMANIICHUNGWAH kimani ichungwah what happenned our brother....","Reply","THE STREET OLIGARCH...","AMuhotii","12/30/2024, 10:48:21 PM","0","0","0","0","49","0","en","No","Twitter Web App","","https://x.com/AMuhotii/status/1873818427070316776","","",""
"=""1873805302036152497""","Ajidinye umbwa yeye. I have as much bile for that asshole as I do for Ichungwah","Tweet","PrayingandfastingforIchung’wasdownfall😭","Ashley_KCee","12/30/2024, 9:56:12 PM","0","0","0","1","16","0","en","No","Twitter Web App","","https://x.com/Ashley_KCee/status/1873805302036152497","","",""
"=""1873700602196480244""","Osama saa hii mahali ako anaskia kupuck damu. He really thought the protest wouldn't happen without him.","Quoted tweet","Gitz ","Gitz__","12/30/2024, 3:00:09 PM","9","162","2","758","8031","0","en","No","Twitter for Android","","https://x.com/Gitz__/status/1873700602196480244","","",""
"=""1873797419080769690""","The arrogance in junet mohammed and kimani ichungwah is something a normal citizen wouldn't consume, it's too much these guys need to just stfu.","Tweet","SLIM","mutiabenedict51","12/30/2024, 9:24:52 PM","0","2","0","7","137","0","en","No","Twitter for Android","","https://x.com/mutiabenedict51/status/1873797419080769690","","",""
"=""1873794900300615982""","Ichungwah always do more harm to the government every moment he opens his mouth.","Tweet","Aristotle🇰🇪","kamau_muiruri","12/30/2024, 9:14:52 PM","0","0","0","1","31","0","en","No","Twitter for Android","","https://x.com/kamau_muiruri/status/1873794900300615982","","",""
"=""1873782475014758740""","''Sisi si wale watu wa kutishwa na social media, Shame on You,'' Angry Kimani Ichungwah lectures Youths using Social media to insult leaders. https://t.co/hCcuiuNMcD","Tweet","The Kenyan Lens","Paste__d","12/30/2024, 8:25:29 PM","1","2","0","6","145","0","en","No","Twitter for Android","","https://x.com/Paste__d/status/1873782475014758740","video","https://video.twimg.com/ext_tw_video/1873782244260589568/pu/vid/avc1/640x360/2cSS6lWWzEdeox0N.mp4?tag=12",""
"=""1873723211818607078""","How KIMANI ICHUNGWAH reportedly lied to a banker, moved her to an apartment in Kileleshwa and impregnated her twice before dumping her - Meet the woman (PHOTOs). https://t.co/gjHCBBfVYv https://t.co/RkbT5gq6fS","Tweet","DAILY POST 🇰🇪","dailypost_ke","12/30/2024, 4:30:00 PM","1","1","1","8","1661","1","en","No","Twitter Web App","","https://x.com/dailypost_ke/status/1873723211818607078","photo","https://pbs.twimg.com/media/GgAV-ESWEAApJaA.jpg","https://www.kenyan-post.com/2024/12/how-kimani-ichungwah-reportedly-lied-to.html"
