"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1854384584517140968""","I had a conversation with my Cambodian friend yesterday and we were talking about how we learned English. When I was sharing my experience, my voice cracked because learning English for me came with a lot of emotional baggage.

So, I wrote a poem. https://t.co/1zehFfhVF7","Tweet","joum","joummlnsn","11/7/2024, 7:45:12 AM","12","1029","94","5099","450448","544","en","No","Twitter for iPad","","https://x.com/joummlnsn/status/1854384584517140968","photo","https://pbs.twimg.com/media/GbwY8viacAAriHi.jpg",""
"=""1811760199390163137""","Inspector Genaral of Police Japheth Koome has resigned https://t.co/HT7PhL5F2h","Tweet","Mike Sonko","MikeSonko","7/12/2024, 4:51:07 PM","307","284","13","2562","110102","9","en","No","Twitter for Android","","https://x.com/MikeSonko/status/1811760199390163137","photo","https://pbs.twimg.com/media/GSSncV9aEAArZkb.jpg",""
"=""1811748201856401759""","JAPHETH KOOME resigns as the Inspector General of the National Police Service. https://t.co/dWMjJFeOmH","Tweet","TheStarBreaking","TheStarBreaking","7/12/2024, 4:03:26 PM","50","287","63","741","86181","3","en","No","Twitter Web App","","https://x.com/TheStarBreaking/status/1811748201856401759","photo","https://pbs.twimg.com/media/GSSfTAjWQAATT3z.jpg",""
"=""1813505009339752635""","One day DCI will abduct Martha Koome thinking it's Japheth Koome

Good afternoon fellow localmen","Tweet","Goddie","Goddie_Ke","7/17/2024, 12:24:22 PM","190","4806","81","13029","254850","57","en","No","Twitter for Android","","https://x.com/Goddie_Ke/status/1813505009339752635","","",""
"=""1811748389433839927""","President Ruto announces resignation of Inspector General of Police Japheth Koome, his deputy Douglas Kanja appointed in acting capacity. https://t.co/77RQR29t28","Tweet","Oliver Mathenge","OliverMathenge","7/12/2024, 4:04:11 PM","42","285","16","510","51353","10","en","No","Twitter for iPhone","","https://x.com/OliverMathenge/status/1811748389433839927","photo","https://pbs.twimg.com/media/GSSfidoXMAAqUA7.jpg, https://pbs.twimg.com/media/GSSfidvWkAA2Ejg.jpg, https://pbs.twimg.com/media/GSSfidvWIAIacfc.jpg",""
"=""1811749008043397334""","Now Inspector General of Police Japheth Koome resigns","Tweet","John-Allan Namu","johnallannamu","7/12/2024, 4:06:38 PM","243","1777","72","4833","160348","28","en","No","Twitter for iPhone","","https://x.com/johnallannamu/status/1811749008043397334","","",""
"=""1811750317681258882""","IG Japheth Koome has resigned. We still need answers. They will not believe.
Class, does the pressure increase or decrease?","Tweet","Eve Maina","evenmaina","7/12/2024, 4:11:51 PM","177","2309","25","5711","72721","8","en","No","Twitter for iPhone","","https://x.com/evenmaina/status/1811750317681258882","","",""
"=""1811750045366034841""","PRESIDENT RUTO announces resignation of Inspector General of Police Japheth Koome, his deputy Douglas Kanja appointed in acting capacity. https://t.co/JT6naqzKjz","Tweet","NTV Kenya","ntvkenya","7/12/2024, 4:10:46 PM","113","656","69","2210","129491","20","en","No","Hootsuite Inc.","","https://x.com/ntvkenya/status/1811750045366034841","photo","https://pbs.twimg.com/media/GSShELrWYAAu5Zj.jpg",""
"=""1811748725879918984""","Japheth Koome has resigned 

Now let him be charged in the Court of law","Tweet","KOT OCS👮👮","WaruiJohn2","7/12/2024, 4:05:31 PM","38","546","4","1803","32149","0","en","No","Twitter for Android","","https://x.com/WaruiJohn2/status/1811748725879918984","","",""
"=""1811780544604307508""","Japheth Koome would've accused human rights defenders of hiring dead bodies to dump in a quarry so as to inflame passions against the Gov't, because that's precisely what he said of opposition protesters who were murdered last year.","Tweet","Gabriel Oguda","gabrieloguda","7/12/2024, 6:11:57 PM","105","3214","20","7197","165433","33","en","No","Twitter for Android","","https://x.com/gabrieloguda/status/1811780544604307508","","",""
