"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1914311994464776338""","@azamtvtz Huyu @MosesKwindi kahariri nini? Mmekua ""online shemdarling midia"" sasa!","Reply","O.K","omgurusi","4/21/2025, 4:35:20 PM","0","0","0","0","29","0","in","No","Twitter for Android","","https://x.com/omgurusi/status/1914311994464776338","","",""
"=""1914262377668694225""","@BarryIpapo We know Kahariri prints , no space for the evil","Reply","Lunatics","PowerisTransit","4/21/2025, 1:18:10 PM","0","0","0","0","55","0","en","No","Twitter for Android","","https://x.com/PowerisTransit/status/1914262377668694225","","",""
"=""1914239805182837187""","@kdfinfo where is Kahariri to come out and talk about constitutionality bla bla bla?

Or is he at the president's beck en' call?","Tweet","kamau","kuunguuu","4/21/2025, 11:48:29 AM","0","0","0","0","5","0","en","No","Twitter for Android","","https://x.com/kuunguuu/status/1914239805182837187","","",""
"=""1914189962985062671""","Cherargei says he is planning to return the 14 years presidential term limits bill! https://t.co/qxmAfeoFci","Quoted tweet","The Kenyan Vigilante","KenyanSays","4/21/2025, 8:30:25 AM","127","28","14","190","28950","27","en","No","Twitter for Android","","https://x.com/KenyanSays/status/1914189962985062671","video","https://video.twimg.com/ext_tw_video/1914189857636614145/pu/vid/avc1/576x1024/Zu6zqDEE5kXNxqmr.mp4?tag=12",""
"=""1913955146859503689""","@CopShakur I PRAY TOO 1DAY not weak men like CDF kahariri ama cjui inaitwa kawhat,,YES WEAK.","Reply","SAMM🇰🇪🇺🇸 @$flippie🤫..➡️⬅️","Princesam_001","4/20/2025, 4:57:21 PM","0","0","0","3","209","0","en","No","Twitter Web App","","https://x.com/Princesam_001/status/1913955146859503689","","",""
"=""1913622038847303705""","@_Weetu_ Wewe wazimu nakujua. We know the pain of having today's army commander becoming CDF.This informed  taking out of the  CDF Ogolla.Thats the true dynamics of that unfortunate death of Ogola..Kahariri is just warming the office.Ruto wants his Tribe mate as CDF  in 2027.  Period.","Reply","Morrisablack","morrisablack","4/19/2025, 6:53:42 PM","0","0","0","0","97","0","en","No","Twitter for Android","","https://x.com/morrisablack/status/1913622038847303705","","",""
"=""1913581263941751212""","Haha, if Gachagua is ordering Kahariri to “return to the barracks,” then who is Amin to Gachagua?","Tweet","...jakaBABA.","karoba_john","4/19/2025, 4:11:40 PM","0","0","0","0","104","0","en","No","Twitter for Android","","https://x.com/karoba_john/status/1913581263941751212","","",""
"=""1913564857711964404""","DCI Boss Amin Warns Gachagua

https://t.co/ZZwlmW1K3v","Quoted tweet","Kenyans.co.ke","Kenyans","4/19/2025, 3:06:29 PM","81","58","8","492","37923","14","cs","No","TweetDeck Web App","","https://x.com/Kenyans/status/1913564857711964404","","","https://read.kenyans.co.ke/vygUi"
"=""1913478028178452520""","KDF honors 10 fallen heroes, including the late CDF Gen Ogolla, in emotional 1-year memorial. 'Their courage &amp; patriotism live on,' said Gen Kahariri at event attended by families and survivors of the 2024 Sindar crash. https://t.co/ezHnik2EJL","Tweet","Mzalendo","guard185664497","4/19/2025, 9:21:27 AM","0","1","0","0","14","0","en","No","Twitter for Android","","https://x.com/guard185664497/status/1913478028178452520","photo","https://pbs.twimg.com/media/Go4KID_XUAEBDvc.jpg",""
"=""1913476327836880937""","@iGaddo Huyu ni Kahariri ama ni ule Biggy wa RSF?","Reply","Okara Maranga","fwelloh","4/19/2025, 9:14:41 AM","0","0","0","0","83","0","sl","No","Twitter for Android","","https://x.com/fwelloh/status/1913476327836880937","","",""
"=""1913317549690716224""","@CyprineKeriga @kdfinfo Kukona watermark sindio ama wataka kuona Kahariri","Reply","Kijana ya El~Wak","Sammy2067491488","4/18/2025, 10:43:46 PM","2","0","0","0","311","0","tl","No","Twitter for Android","","https://x.com/Sammy2067491488/status/1913317549690716224","","",""
