"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1914279674529669617""","@CrystalAsige You qualify to be anything in this country. Beauty with excessive brains! 
My wish is that you share your brain with Karen Nyamu and Pasaris. 
Hakuna haja ukuwe na excess na wezako hawana, io uchoyo ndo hatukubali kwa hii nchi😂😂","Reply","kanae","KikanaeKolua","4/21/2025, 2:26:54 PM","0","0","0","0","6","0","en","No","Twitter for Android","","https://x.com/KikanaeKolua/status/1914279674529669617","","",""
"=""1914230082035470439""","@YaneKariuki Karen nyamu oops karis....ikarira mushakwe","Reply","edwin g","xedduhx","4/21/2025, 11:09:50 AM","0","0","0","0","4","0","in","No","Twitter for Android","","https://x.com/xedduhx/status/1914230082035470439","","",""
"=""1914218196183265690""","Kushinda ata shimo ya Karen Nyamu. https://t.co/1cVXsdtNny","Tweet","Kenyan DoGe🇰🇪","NyauraB","4/21/2025, 10:22:37 AM","0","0","0","2","45","0","tl","No","Twitter for Android","","https://x.com/NyauraB/status/1914218196183265690","photo","https://pbs.twimg.com/media/GpCrTbjW4AA9Hlz.jpg",""
"=""1914012718928978028""","@frank620Knight @thombrider254 They didn't have cameras in her time, she'd have been trending more than Karen Nyamu","Reply","Kipkeless®️","Kipkeless","4/20/2025, 8:46:07 PM","1","0","0","0","11","0","en","No","Twitter for Android","","https://x.com/Kipkeless/status/1914012718928978028","","",""
"=""1914004799462285817""","@RobertAlai Kama wewe ni mbwa ya kila mtu. Hata Karen Nyamu","Reply","Madofolo🇰🇪","MadofoloKE","4/20/2025, 8:14:39 PM","0","0","0","0","9","0","in","No","Twitter for Android","","https://x.com/MadofoloKE/status/1914004799462285817","","",""
"=""1914000191683776996""","@TheOtherDelo_ Salasya leo amekuwa busy kama kinembe ya Karen Nyamu😌","Reply","Un~Censored","Tunnelwar","4/20/2025, 7:56:20 PM","0","1","0","1","222","0","tl","No","Twitter for Android","","https://x.com/Tunnelwar/status/1914000191683776996","","",""
"=""1913998701602783650""","@UTDqueen 😂😂😂kwani ako na akili moja na Karen nyamu","Reply","BUTCHeR💀","Pharesees","4/20/2025, 7:50:25 PM","0","0","0","0","19","0","tl","No","Twitter for Android","","https://x.com/Pharesees/status/1913998701602783650","","",""
"=""1913998631772000437""","@mada_yoihanabi @owathem @aimer_owathem @ayu_owathem @haruka_owathem @mei_owathem @nyamu_owathem @miia_owathem たっくん撮影ありがとううう(இωஇ)
良かったって思って貰えるの、すごくうれしい、、！！！
定期公演まだまだ楽しむどおおお！！o(｀ω´)o🧡🧡","Reply","かれん（終末のアンセム）","karen_owathem","4/20/2025, 7:50:08 PM","1","0","0","1","66","1","ja","No","Twitter for iPhone","","https://x.com/karen_owathem/status/1913998631772000437","","",""
"=""1913997916521288155""","@EricNjiiru @WaruiJohn2 Karen Nyamu upata tu ma stray bullets hata akiwa kwa balcony akianika nguo","Reply","Eric Musyoki.","ericmusyoki36","4/20/2025, 7:47:18 PM","0","0","0","0","39","0","tl","No","Twitter for Android","","https://x.com/ericmusyoki36/status/1913997916521288155","","",""
"=""1913986147262267475""","@WaruiJohn2 @ItsOpuk sawa karen nyamu😂😂😂😂 https://t.co/hmTAyoqPPE","Reply","Makanika🇰🇪🇬🇧","Kotgenerali","4/20/2025, 7:00:32 PM","0","0","0","0","9","0","in","No","Twitter Web App","","https://x.com/Kotgenerali/status/1913986147262267475","photo","https://pbs.twimg.com/media/Go_YMnZWoAAIR9L.jpg",""
"=""1913984929878208972""","@EricNjiiru @WaruiJohn2 Karen Nyamu was just chilling 🤣🤣🤣","Reply","JaHomaBay","HassanMcOjwang","4/20/2025, 6:55:42 PM","1","0","0","2","253","0","in","No","Twitter for Android","","https://x.com/HassanMcOjwang/status/1913984929878208972","","",""
"=""1913983245928087955""","@WaruiJohn2 Okay Karen Nyamu","Reply","Eric Njiru ⚽️","EricNjiiru","4/20/2025, 6:49:00 PM","33","14","1","145","4246","0","in","No","Twitter for iPhone","","https://x.com/EricNjiiru/status/1913983245928087955","","",""
"=""1913956375400456290""","@opiyosibuor Talk to Karen nyamu directly,","Reply","Prapar 🇰🇪","prapar254","4/20/2025, 5:02:14 PM","0","0","0","0","15","0","en","No","Twitter for Android","","https://x.com/prapar254/status/1913956375400456290","","",""
"=""1913931705829773353""","Injinears on my TL explain to me please (like I’m Karen Nyamu and Mutuse offspring combined) why when it rains kenya power blacks out https://t.co/kEiwBISTd1","Tweet","Distantspectator","Spectatedistant","4/20/2025, 3:24:12 PM","0","0","0","0","39","0","en","No","Twitter for iPhone","","https://x.com/Spectatedistant/status/1913931705829773353","photo","https://pbs.twimg.com/media/Go-mvLzWwAESXnO.jpg",""
"=""1913929014382674296""","@DrKanyuira @YaneKariuki Akimaliza apitie kinyozi ama tuite Karen Nyamu amnyoe","Reply","Grace","Kusajishi_1","4/20/2025, 3:13:30 PM","1","0","0","0","147","0","in","No","Twitter for Android","","https://x.com/Kusajishi_1/status/1913929014382674296","","",""
"=""1913925240855617943""","@Jaber_Luo Karen Nyamu fascinates me.She's evolved light years away in the opposite direction from other murima babes.She is atypical .She mixes the profane with the https://t.co/t7E1N6qvnm example is the recent promise to the mountain that 'anaenda kuwafanyia tabia mbaya!'","Reply","labilan loiteri","LLoiteri81924","4/20/2025, 2:58:31 PM","1","0","0","0","37","0","en","No","Twitter for Android","","https://x.com/LLoiteri81924/status/1913925240855617943","","","http://sacred.An"
"=""1913924360940691504""","Kitambo nilikua nadhania Senator Karen Nyamu ndio Senator wa Karen 🫣🤭 https://t.co/5vwwYRBZjV","Tweet","Magnus Africanus","MichaelFamine","4/20/2025, 2:55:01 PM","1","3","0","7","81","0","in","No","Twitter for Android","","https://x.com/MichaelFamine/status/1913924360940691504","photo","https://pbs.twimg.com/media/Go-gD8-XkAAgxvy.jpg",""
"=""1913899276834361402""","@urgirlwanjiru @MillicentOmanga Karen nyamu?","Reply","so_worth_it","so_worth30974","4/20/2025, 1:15:20 PM","0","0","0","0","5","0","in","No","Twitter for Android","","https://x.com/so_worth30974/status/1913899276834361402","","",""
"=""1913886553866150251""","Karen Nyamu launching one of El Chapos projects. https://t.co/fhiS8sGraY","Tweet","DONNA MUGOH 🇰🇪","Eddie_Mugoh","4/20/2025, 12:24:47 PM","2","3","0","7","164","0","en","No","Twitter for iPhone","","https://x.com/Eddie_Mugoh/status/1913886553866150251","photo","https://pbs.twimg.com/media/Go99rIrW4AASgUz.jpg",""
"=""1913871848036602315""","Ama we try a female president bora tu iskue karen nyamu","Tweet","Dem wã Juja","ess_y__","4/20/2025, 11:26:21 AM","0","13","0","23","316","0","in","No","Twitter for Android","","https://x.com/ess_y__/status/1913871848036602315","","",""
"=""1913869621720944682""","@mercelineodhiss Look at what your women leaders are doing, case karen nyamu","Reply","Mr. Nobody〽️📛","Exrqcv","4/20/2025, 11:17:30 AM","0","0","0","0","10","0","en","No","Twitter for Android","","https://x.com/Exrqcv/status/1913869621720944682","","",""
"=""1913866389472842211""","@MikeSonko Na wewe master sijawai kuskia na mtu ata kama ni Karen Nyamu","Reply","Baba Alaja","__wembe","4/20/2025, 11:04:39 AM","0","0","0","0","415","0","in","No","Twitter for Android","","https://x.com/__wembe/status/1913866389472842211","","",""
"=""1913845435917103607""","Karen Nyamu-Akothee ticket will beat Ruto in the morning","Tweet","The Kipsang","c_chepsikor","4/20/2025, 9:41:24 AM","0","0","0","0","24","0","en","No","Twitter for Android","","https://x.com/c_chepsikor/status/1913845435917103607","","",""
"=""1913523701229687284""","Maybe it’s time we try a Female President and a Female Deputy President. Honestly, I’ve had enough of the man-man combos.","Quoted tweet","Achieng’ Nyambaso","mercelineodhiss","4/19/2025, 12:22:56 PM","267","47","54","360","26646","8","en","No","Twitter for iPhone","","https://x.com/mercelineodhiss/status/1913523701229687284","","",""
"=""1913838543077597280""","@YaneKariuki Wacha kufikiria kam Karen nyamu bois","Reply","Point Blank♠️","Sparrow__KE","4/20/2025, 9:14:00 AM","0","0","0","0","30","0","in","No","Twitter for Android","","https://x.com/Sparrow__KE/status/1913838543077597280","","",""
"=""1913776442095132956""","@mercelineodhiss Karen nyamu for president","Reply","Weldone","_protich","4/20/2025, 5:07:14 AM","0","0","0","0","8","0","in","No","Twitter for Android","","https://x.com/_protich/status/1913776442095132956","","",""
"=""1913750381584404905""","@CSAishaJumwa These're the kind of leaders we have. Kenyans we lost it, we doing things the opposite. It like we're given positions to be celebrities the likes of Hon. Karen Nyamu, Aisha Jumwa, Mwethu,  Gachagua's etc. #msetokiambu.","Reply","charles kamau","chkamau2010","4/20/2025, 3:23:41 AM","1","0","0","1","363","0","en","No","Twitter for Android","#msetokiambu","https://x.com/chkamau2010/status/1913750381584404905","","",""
