"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1914306062766797014""","@KibetBullbackup @AokoOtieno_ @C_NyaKundiH Ata kasmuel alianza ivi","Reply","son of Kimathi","ben10mzii","4/21/2025, 4:11:46 PM","0","0","0","0","7","0","it","No","Twitter for Android","","https://x.com/ben10mzii/status/1914306062766797014","","",""
"=""1914273899132366874""","@Kibet_bull And you think been tribal Kings blogger uko better kushinda kasmuel check yourself and how is your home in kuresoi?","Reply","Typsy Gypsy","KazunguTee57681","4/21/2025, 2:03:57 PM","0","0","0","0","26","0","en","No","Twitter for Android","","https://x.com/KazunguTee57681/status/1914273899132366874","","",""
"=""1914246828838539623""","Government  project 1 kasmuel, Government project 2, Morara.... very silly youths,  stupid sana","Tweet","Rose Auma","the_big62170","4/21/2025, 12:16:23 PM","0","0","0","0","5","0","en","No","Twitter for Android","","https://x.com/the_big62170/status/1914246828838539623","","",""
"=""1914240174768214476""","By the way, I still believe Gaitho, Kasmuel, Yoko, hao wote ni NIS in disguise","Tweet","David Masega (I engage with brains)","CornerErides","4/21/2025, 11:49:57 AM","0","0","0","0","26","0","en","No","Twitter Web App","","https://x.com/CornerErides/status/1914240174768214476","","",""
"=""1914226883601838090""","@jimNjue_ Morara,kasmuel are traitors same Whatsapp group. Matiang'i for president","Reply","Flora mugai","Floramugai","4/21/2025, 10:57:08 AM","0","0","0","1","42","0","en","No","Twitter for Android","","https://x.com/Floramugai/status/1914226883601838090","","",""
"=""1914213490727714905""","Watched Trial of Hearts yesterday at ICC Nairobi and one of my favourite details was them giving Judas the Kasmuel haircut😂😭😭😭
10/10😂👏🏼👏🏼👏🏼
#TrialofHearts #ICCNairobi #Eastermusical","Tweet","chicken nuggets🎄","MrsCarlDavidson","4/21/2025, 10:03:55 AM","0","0","0","0","23","0","en","No","Twitter for Android","#TrialofHearts, #ICCNairobi, #Eastermusical","https://x.com/MrsCarlDavidson/status/1914213490727714905","","",""
"=""1914209516616302623""","@jimNjue_ The guy who once had  'some white hairs upstairs ' has followed the footsteps of kasmuel.","Reply","kimmkenya","Adonpeter","4/21/2025, 9:48:07 AM","0","0","0","0","104","0","en","No","Twitter for Android","","https://x.com/Adonpeter/status/1914209516616302623","","",""
"=""1914206659942998017""","@Kibet_bull Kasmuel is doing way better than you. Atleast he is a youth league leader in ODM while you are a Wamunyoro blogger with no proper stance. You will sell your soul to the highest bidder while pretending to support Omtatah since he is not loaded.","Reply","George Ogola","comogolla","4/21/2025, 9:36:46 AM","0","0","0","0","47","0","en","No","Twitter Web App","","https://x.com/comogolla/status/1914206659942998017","","",""
"=""1914192039798858110""","@Fstunna3 @edwinsifuna To GenZ: You have the numbers. But:
1. You cannibalize each other with Morara, Hanifa, Kibet, Kasmuel not seeing eye to eye.
2. You refuse funding from less than perfect older individuals.
With presidential campaigns costing 4b, older folks may outwit you for the next 3 cycles
🤔","Reply","Dave Kosgei","KosgeiDave","4/21/2025, 8:38:40 AM","0","0","0","0","44","0","en","No","Twitter for Android","","https://x.com/KosgeiDave/status/1914192039798858110","","",""
"=""1914096992462025071""","@Aondanas Mimi I never said anywhere that Maraga/Okiya are projects!!!!i said Morara and Kasmuel","Reply","Somoina Kapeen","darlenesomoina","4/21/2025, 2:20:59 AM","0","0","0","0","23","0","en","No","Twitter for iPhone","","https://x.com/darlenesomoina/status/1914096992462025071","","",""
"=""1914065412980883962""","@ledamalekina @WilliamsRuto The same shit of I'm gonna save the country just like kasmuel washamba","Reply","Jeremy Maina 🔥😎","JeremyAwesome55","4/21/2025, 12:15:30 AM","0","0","0","0","8","0","en","No","Twitter for Android","","https://x.com/JeremyAwesome55/status/1914065412980883962","","",""
"=""1914061543831982240""","@DidmusWaBarasa Weka hapa mkuu","Reply","Kasmuel","kasmuel","4/21/2025, 12:00:08 AM","0","0","0","0","7","0","in","No","Twitter for Android","","https://x.com/kasmuel/status/1914061543831982240","","",""
"=""1914060310539018649""","@MoraraKebasoSnr Why pretend just be bold enough, join RUTO just like KASMUEL joined BABA and his is doing well. Stop disturbing people, you have no value addition","Reply","Capten/Geddra/Maxwell/McRay &others","africonte_consl","4/20/2025, 11:55:14 PM","0","0","0","1","27","0","en","No","Twitter Web App","","https://x.com/africonte_consl/status/1914060310539018649","","",""
"=""1914060177378001373""","Why pretend just be bold enough, join RUTO just like KASMUEL joined BABA and his is doing well. Stop disturbing people, you have no value addition","Tweet","Capten/Geddra/Maxwell/McRay &others","africonte_consl","4/20/2025, 11:54:42 PM","0","0","0","0","9","0","en","No","Twitter Web App","","https://x.com/africonte_consl/status/1914060177378001373","","",""
