"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1914208981280579632""","Lest we forget this barron!
Kenyans don't forget #kasongo @kiborek_Ruben https://t.co/f4Iw3cbO37","Tweet","Millennials","MkenyaniMkenya","4/21/2025, 9:46:00 AM","0","0","0","0","6","0","en","No","Twitter for Android","#kasongo","https://x.com/MkenyaniMkenya/status/1914208981280579632","photo","https://pbs.twimg.com/media/GpCi6xDXkAAOqFC.jpg",""
"=""1886005306980749679""","In 2023, Ruben Kiborek spent Ksh 8M to drill a borehole at Kabaresi Primary School in Mogotio Constituency. Upon inspection in 2024, it was discovered that only Ksh 1.89M had been spent &amp; the rest had not been returned to the constituency account.

Auditor General. https://t.co/XgNIl60QGi","Tweet","Don Bull","mainandegwa232","2/2/2025, 1:54:40 PM","80","1172","29","2176","72737","36","en","No","Twitter for Android","","https://x.com/mainandegwa232/status/1886005306980749679","photo","https://pbs.twimg.com/media/Gixv0btXgAAX5L2.jpg, https://pbs.twimg.com/media/Gixv0b2WoAACcrc.jpg",""
"=""1891179796232597911""","Are you still saying that Rueben Kiborek isn't a child defiler? https://t.co/LbDmeX5swu","Tweet","𝙱𝚛𝚒𝚊𝚗 𝙺𝚘𝚛𝚒𝚛","_Briankorir","2/16/2025, 8:36:14 PM","30","981","3","1787","54178","40","en","No","Twitter for Android","","https://x.com/_Briankorir/status/1891179796232597911","photo","https://pbs.twimg.com/media/Gj7RAv1XsAA51Va.jpg",""
"=""1891177822732857683""","@_Briankorir Yes please","Quoted tweet","Victor Vic","Victor19413381","2/16/2025, 8:28:23 PM","3","0","1","3","57248","0","en","No","Twitter for Android","","https://x.com/Victor19413381/status/1891177822732857683","","",""
"=""1903471785049248040""","Only in Kenya where real criminal and hooligans walk scot free in the market.
MP Kagombe and Reuben Kiborek are criminals.
#DropDavidMokayaCharges 
Landlord is not a criminal just a tweep doing Lord's work https://t.co/A1qVYISXFp","Tweet","Xxxpron🇺🇲","assasin_snr","3/22/2025, 6:40:13 PM","0","3","0","6","329","0","en","No","Twitter for Android","#DropDavidMokayaCharges","https://x.com/assasin_snr/status/1903471785049248040","photo","https://pbs.twimg.com/media/Gmp9f8VW0AALL9m.jpg, https://pbs.twimg.com/media/Gmp9f-JbMAAgw-4.jpg",""
"=""1911726551898485187""","Yesterday, Ruto stated that his govt would protect children from pedophiles &amp; predatory politicians. At the same time, he tasked Reuben Kiborek, a rapist by profession, along with other young parliamentarians, to introduce a law in Parliament aimed at protecting school children. https://t.co/WffyxOulha","Tweet","George T. Diano","georgediano","4/14/2025, 1:21:42 PM","57","776","19","1591","34229","24","en","No","Twitter Web App","","https://x.com/georgediano/status/1911726551898485187","photo","https://pbs.twimg.com/media/GofQ4w3WAAAMvQR.jpg",""
"=""1913536762967699842""","CS Chelugui’s P.A charged with defilement; Reuben Kiborek allegedly defiled a 16-year-old girl

Kiborek released on bail. https://t.co/43q5bZSkkz","Tweet","Kipyegyi","Edwin_mbosso","4/19/2025, 1:14:50 PM","1","3","0","5","91","0","en","No","Twitter for Android","","https://x.com/Edwin_mbosso/status/1913536762967699842","photo","https://pbs.twimg.com/media/Go4_iopWcAA9s-Q.jpg",""
"=""1912529353864343988""","Dear William RUTO, Look no Further I present to you Reuben Kiborek, what actions has your Government taken?

DO NOT BE A KING OF DOUBLE SPEAK! https://t.co/EIvPT6yrNO","Tweet","EDGAR 🇰🇪","edgarwabwire_","4/16/2025, 6:31:45 PM","21","979","3","1926","39207","23","en","No","Twitter Web App","","https://x.com/edgarwabwire_/status/1912529353864343988","photo","https://pbs.twimg.com/media/GoqrMdrWQAAB5EL.jpg, https://pbs.twimg.com/media/GoqrDlYWgAA15FQ.jpg",""
"=""1912507878327406646""","We must protect our children from paedophiles, drug peddlers, and predators who seek to corrupt them with toxic ethnicity and divisive politics.

As a government, we are streamlining the Competency-Based Curriculum to deliver quality education that nurtures every child’s https://t.co/i6vB82shx4","Quoted tweet","William Samoei Ruto, PhD","WilliamsRuto","4/16/2025, 5:06:25 PM","562","173","97","1010","423020","25","en","No","Twitter for iPhone","","https://x.com/WilliamsRuto/status/1912507878327406646","photo","https://pbs.twimg.com/media/GoqXwgDWQAAa9RI.jpg, https://pbs.twimg.com/media/GoqXwgIWUAAVsWN.jpg, https://pbs.twimg.com/media/GoqXwgVWcAAleNx.jpg, https://pbs.twimg.com/media/GoqXwgSWQAATDdv.jpg",""
"=""1912850672480866733""","Mogotio MP Reuben Kiborek was charged with defiling a 16-year-old daughter of a Cabinet Secretary back in 2018. He was an aide to the CS when he committed the crime in Nakuru.
Ruto also appointed Linturi the rapist to his cabinet! #RutoMustGo https://t.co/U1syS4V4ic","Tweet","The People’s Watchman","bonifacemwangi","4/17/2025, 3:48:34 PM","51","973","6","2007","67526","25","en","No","Twitter Web App","#RutoMustGo","https://x.com/bonifacemwangi/status/1912850672480866733","photo","https://pbs.twimg.com/media/GovPNLuWQAAOxMX.jpg",""
