"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1873786933014651171""","Fuck William Samoei Ruto, Fuck Kindiki. Fuck Kipchumba Murkomen. I'm ready for Tuesday. Very ready for Tuesday. #EndAbductionsKE 
#RutoMustGo https://t.co/F2uPeRURAG","Tweet","_uuugh","_uuugh","12/30/2024, 8:43:12 PM","0","1","0","2","998","1","en","No","Twitter for Android","#EndAbductionsKE, #RutoMustGo","https://x.com/_uuugh/status/1873786933014651171","video","https://video.twimg.com/ext_tw_video/1873786909647912960/pu/vid/avc1/304x224/M2WfJn3AAsqgcUG9.mp4?tag=12",""
"=""1873649515917611331""","Fuck Kipchumba Murkomen, Fuck Kindiki and most certainly Fuck William Samoei Ruto.

#EndAbductionsKE","Tweet","🇰🇪 Imaginary Friend","ItsJust_Lynn","12/30/2024, 11:37:09 AM","26","1854","16","4901","75583","12","en","No","Twitter for Android","#EndAbductionsKE","https://x.com/ItsJust_Lynn/status/1873649515917611331","","",""
"=""1851725150175064365""","These are the criminals with the highest levels of responsibility regarding Aoko’s disappearance. They are: William Kipchirchir Ruto, Kithure Kindiki, Raymond Omolo and Noordin Haji. The second tier individual is Babu Patel (don’t ever rule him out). #FreeMaverickAoko https://t.co/nFgxKkHJVj","Tweet","Dr. Miguna Miguna","MigunaMiguna","10/30/2024, 11:37:33 PM","154","2227","17","6953","450766","121","en","No","Twitter for iPhone","#FreeMaverickAoko","https://x.com/MigunaMiguna/status/1851725150175064365","photo","https://pbs.twimg.com/media/GbKmMkFWoAAPq5U.jpg, https://pbs.twimg.com/media/GbKmMypXcAAZiWb.jpg, https://pbs.twimg.com/media/GbKmNBEXAAAVdJ-.jpg, https://pbs.twimg.com/media/GbKmNOxWoAA2Ln-.jpg",""
"=""1869808310716957003""","From Chris Murungaru, to Michuki, to Saitoti, to Nkaiserry, to Matiang'i, to Kindiki, to Murkomen.

We continue digging deeper, almost discovering oil.

Next will be Mutuse.

We have really fallen.

Only the people can salvage this level of degeneration.","Tweet","Eric","amerix","12/19/2024, 9:13:35 PM","237","3763","27","12257","251367","125","en","No","Twitter for Android","","https://x.com/amerix/status/1869808310716957003","","",""
"=""1872583318916792445""","When I bring the motion to disbar Kindiki and Murkomen, will you support it my people? Say Aye?!","Tweet","Abu Iman","Mr_Guantai","12/27/2024, 1:00:28 PM","405","4209","107","10632","236869","58","en","No","Twitter for Android","","https://x.com/Mr_Guantai/status/1872583318916792445","","",""
"=""1854224632049438938""","My wife calls Kithure Kindiki “Mtoto Misa!”

#RutoMustGoNow https://t.co/oPnzJ3U6Zf","Tweet","Dr. Miguna Miguna","MigunaMiguna","11/6/2024, 9:09:36 PM","137","384","10","3104","131106","19","tl","No","Twitter for iPhone","#RutoMustGoNow","https://x.com/MigunaMiguna/status/1854224632049438938","photo","https://pbs.twimg.com/media/GbuHeX6W8A07wT6.jpg",""
"=""1847194923767873898""","I was under the impression that the IEBC was not operational. How, then, was Kindiki cleared by the IEBC in the middle of the night? Or am I missing something? 🐝","Tweet","OCTOPIZZO","OCTOPIZZO","10/18/2024, 11:36:03 AM","288","3761","58","11960","278096","86","en","No","Twitter for iPhone","","https://x.com/OCTOPIZZO/status/1847194923767873898","","",""
"=""1873615253910811135""","Mnakumbuka that illiterate mf called Farouk Kibet made Millicent Omanga shake ass for spectators to changamka in a political rally? 😂😂 That man can even order Kindiki to twerk for the crowd 

https://t.co/yC1ZyqA740","Tweet","Mr Mike","Mr_MikeOG","12/30/2024, 9:21:01 AM","4","6","0","30","6963","1","en","No","Twitter for Android","","https://x.com/Mr_MikeOG/status/1873615253910811135","video","https://video.twimg.com/ext_tw_video/1858041643976245248/pu/vid/avc1/426x240/9W3F4YCtSQL0lZ2K.mp4?tag=12",""
"=""1811802068941721951""","Ex CS Kithure Kindiki superpased IG Japeth Koome to give orders to Adamson Bungei on how the police was going to handle protesters in Nairobi. Koome though powered by the constitution to Command the Police watched as Kindiki abandoned the constitution to enforce Executive orders.","Tweet","Chris Sambu","the_sambu","7/12/2024, 7:37:29 PM","193","1108","55","2118","152353","171","en","No","Twitter for Android","","https://x.com/the_sambu/status/1811802068941721951","","",""
"=""1852250381532762193""","Kindiki after the ceremony pale statehouse bedrooms. https://t.co/AiRrrwVNdF","Tweet","𝙱𝚛𝚒𝚊𝚗 𝙺𝚘𝚛𝚒𝚛","_Briankorir","11/1/2024, 10:24:38 AM","0","1","0","4","129","0","et","No","Twitter for Android","","https://x.com/_Briankorir/status/1852250381532762193","photo","https://pbs.twimg.com/media/GbSD5-oXoAAinFa.jpg",""
