"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1907742922801315936""","Mandago wanted Koskei for Moi University because he is a kalenjin,  kalenjins are enemies of themselves, get positions and loot and move on https://t.co/URZSvIp2wR","Tweet","RYAN🌏","kiplangat09A","4/3/2025, 1:32:11 PM","1","12","1","17","3178","2","en","No","Twitter for Android","","https://x.com/kiplangat09A/status/1907742922801315936","video","https://video.twimg.com/ext_tw_video/1907742861526781952/pu/vid/avc1/848x480/T31OWi9EbfwOcIZm.mp4?tag=12",""
"=""1718262901230760010""","Jackson Mandago, that's the tweet! https://t.co/nf8U0qKlom","Tweet","𝙱𝚛𝚒𝚊𝚗 𝙺𝚘𝚛𝚒𝚛","_Briankorir","10/28/2023, 4:46:14 PM","2","2","1","13","949","0","en","No","Twitter for Android","","https://x.com/_Briankorir/status/1718262901230760010","photo","https://pbs.twimg.com/media/F9h-_0CW8AAwfbf.jpg",""
"=""1907779119036678651""","These are the people who killedd Moi University(Mandago,Sudi and Tolgos). They chased away Laban Ayiro for their own tribe( Koskey) 

Laban Ayiro went to Daystar and developed it to International University. Next time vote for competence over tribe https://t.co/ElsDbBnv5q","Tweet","Yoko","Kibet_bull","4/3/2025, 3:56:01 PM","71","1361","10","4385","75925","42","en","No","Twitter for Android","","https://x.com/Kibet_bull/status/1907779119036678651","photo","https://pbs.twimg.com/media/GnnK_38XEAAqXNz.jpg",""
"=""1900032587403329738""","Mandacome akiona Mandago https://t.co/9xWYMC10j4","Tweet","Young Amerucan (CPA)","Mwendaful","3/13/2025, 6:54:04 AM","1","7","0","9","91","0","it","No","Twitter for Android","","https://x.com/Mwendaful/status/1900032587403329738","photo","https://pbs.twimg.com/media/Gl5FkZGXEAAb-Yl.jpg",""
"=""1719079346000859182""","Mandago akiwa side  hustle hapa na pale https://t.co/RWtbtDqhHq","Tweet","🇰🇪","BlacKosgei","10/30/2023, 10:50:29 PM","0","1","0","4","259","0","tl","No","Twitter for Android","","https://x.com/BlacKosgei/status/1719079346000859182","photo","https://pbs.twimg.com/media/F9tli5jXQAAStlz.jpg, https://pbs.twimg.com/media/F9tljgaXwAASXKp.jpg",""
"=""1723998112035799464""","Senator Mandago pia alikuwa site 🌲
#TreePlantingDay https://t.co/fqiXhMBtTG","Tweet","𝙱𝚛𝚒𝚊𝚗 𝙺𝚘𝚛𝚒𝚛","_Briankorir","11/13/2023, 12:35:54 PM","1","2","0","3","411","0","tl","No","Twitter for Android","#TreePlantingDay","https://x.com/_Briankorir/status/1723998112035799464","photo","https://pbs.twimg.com/media/F-zfFh1WwAAZZZl.jpg, https://pbs.twimg.com/media/F-zfHt8XwAApN-Y.jpg",""
"=""1912037789111120081""","My drivers are kalenjins, the head of my security team is a Sabaot, and my team includes members of the Nandi, Sabaot, and every other community in Trans Nzoia. Cherargei, can you tell me how many Bukusu individuals you have employed? Meanwhile, Mandago removed a Luhya vice https://t.co/88irDHvNAQ","Tweet","George Natembeya","GeorgeNatembeya","4/15/2025, 9:58:27 AM","417","1614","38","7279","297524","106","en","No","Twitter for Android","","https://x.com/GeorgeNatembeya/status/1912037789111120081","photo","https://pbs.twimg.com/media/GojsPEBXwAACXHB.jpg, https://pbs.twimg.com/media/Gojr_HkWUAA8Gwf.jpg, https://pbs.twimg.com/media/Gojr_IFXEAAgZ4G.jpg",""
"=""1895075042582827404""","Eldoret people can disagree or agree whatever but Mandago water was legit. Despite his shortcomings, Mandagoo stood on business when he was needed to.","Tweet","~Tete ♠️♠️♠️~","joy_tich","2/27/2025, 2:34:33 PM","4","8","3","13","1060","0","en","No","Twitter for Android","","https://x.com/joy_tich/status/1895075042582827404","","",""
"=""1906985036114530321""","#Absorb8571UHCStaff Senator Mandago make it happen! @HonAdenDuale This should be your first issue to solve! These comrades have suffered for 5 years already! https://t.co/q77rsr6ads","Tweet","Kijana ya Baba","AsaeMzii","4/1/2025, 11:20:37 AM","2","45","0","55","1680","1","en","No","Twitter for Android","#Absorb8571UHCStaff","https://x.com/AsaeMzii/status/1906985036114530321","video","https://video.twimg.com/ext_tw_video/1906984920678842370/pu/vid/avc1/720x1088/3dCBI3WWWChZixN8.mp4?tag=12",""
"=""1907711152865361920""","Politicians who actively participated in Moi University downfall.
- injinia Oscar Sudi
-Alfred Keter
- Mr finland Jackson Mandago","Tweet","𝙱𝚛𝚒𝚊𝚗 𝙺𝚘𝚛𝚒𝚛","_Briankorir","4/3/2025, 11:25:57 AM","6","340","5","873","11647","3","en","No","Twitter for Android","","https://x.com/_Briankorir/status/1907711152865361920","","",""
