"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1831629832683143379""","BREAKING NEWS:
Martha Koome Faked her CV during the vetting process to become the CJ. This government has liars all over. Tea coming up right away. https://t.co/YaelzseT0e","Tweet","KOT Sonko™🇰🇪","Mabonga_254","9/5/2024, 12:45:56 PM","112","1020","17","3999","210813","59","en","No","Twitter for iPhone","","https://x.com/Mabonga_254/status/1831629832683143379","photo","https://pbs.twimg.com/media/GWtBbG7W0AA2gAr.jpg",""
"=""1830149017482784808""","A Petition has been filed at the Judicial Service Commission for the removal of Chief Justice Martha Koome on grounds of incompetence. 1/ https://t.co/gFjxnufeX8","Tweet","Caxstone P. Kigata","CaxstonePKigata","9/1/2024, 10:41:42 AM","86","2022","50","3089","130504","190","en","No","Twitter for iPhone","","https://x.com/CaxstonePKigata/status/1830149017482784808","photo","https://pbs.twimg.com/media/GWX-0eHWYAA7UE-.jpg, https://pbs.twimg.com/media/GWX-0eAWEAMRCR5.jpg, https://pbs.twimg.com/media/GWX-0eBWQAAcS1p.jpg, https://pbs.twimg.com/media/GWX-0eDWYAABXQV.jpg",""
"=""1851321664002245049""","The Supreme Court under Martha Koome has been the most pathetic institution of justice. She's been dancing to every tune of William Ruto. You know understand why Ahmednasir call it JurisPESA https://t.co/q1Quox9gzU","Tweet","The Government Critic 🇰🇪","magwaz3","10/29/2024, 8:54:15 PM","44","478","6","941","24470","8","en","No","Twitter for Android","","https://x.com/magwaz3/status/1851321664002245049","photo","https://pbs.twimg.com/media/GbE3PgAXAAARdqi.jpg",""
"=""1852387340334805265""","Martha Koome has eroded the integrity of the Judiciary. She's a disgrace. She should go! https://t.co/bMeyLuRfLL","Tweet","The Government Critic 🇰🇪","magwaz3","11/1/2024, 7:28:52 PM","136","1498","11","4513","70401","17","en","No","Twitter for Android","","https://x.com/magwaz3/status/1852387340334805265","photo","https://pbs.twimg.com/media/GbUAdpkWMAE2JB2.jpg",""
"=""1826121712422777128""","Martha Koome was given an opportunity to prove the judiciary can deliver under a womans leadership but  she will go down as the worst &amp; most incompetent chief justice in the history of Kenya.

#OccupyStateHouse https://t.co/MBOSCrlO3n","Tweet","Hon. KM Katiwa 𝕏","katiwa_","8/21/2024, 7:58:38 AM","135","1578","29","4019","72762","19","en","No","Twitter for Android","#OccupyStateHouse","https://x.com/katiwa_/status/1826121712422777128","photo","https://pbs.twimg.com/media/GVewBQrXQAADaVN.jpg",""
"=""1809319376434466834""","Public servants who attain the age of 60 years will be required to leave office immediately. Chief Justice, CJ Martha Koome is 64 years old https://t.co/rEwENYgu7L","Tweet","Goddie","Goddie_Ke","7/5/2024, 11:12:09 PM","716","3368","92","13051","551785","108","en","No","Twitter for Android","","https://x.com/Goddie_Ke/status/1809319376434466834","photo","https://pbs.twimg.com/media/GRv-YVfaEAAhKbT.jpg",""
"=""1857013215097475420""","Martha Koome and his team of JurisPESA must also step down. No relenting. Drain the swamp 
#ResignMarthaKoome https://t.co/pbl1Mk02rM","Tweet","The Government Critic 🇰🇪","magwaz3","11/14/2024, 1:50:26 PM","117","2143","22","3554","72748","17","en","No","Twitter for Android","#ResignMarthaKoome","https://x.com/magwaz3/status/1857013215097475420","photo","https://pbs.twimg.com/media/GcVvrDoWYAELhRs.jpg",""
"=""1851322896213225725""","Martha Koome is the worst Chief Justice in Kenya's history and a disgrace to the Supreme Court of Kenya. The SCORK should be rebranded as JurisPESA because they dance to every tune of William Ruto's policies. https://t.co/8WZBGZv6de","Tweet","The Government Critic 🇰🇪","magwaz3","10/29/2024, 8:59:09 PM","135","1771","20","3892","92457","33","en","No","Twitter for Android","","https://x.com/magwaz3/status/1851322896213225725","photo","https://pbs.twimg.com/media/GbE4XMWWkAIvg5q.jpg",""
"=""1848609506856415310""","Martha Koome is going to State House,

To discuss Judges intimidation with Ruto 

Aki I'm tayad. Kwani what was I being taught at UoN shuwali?

Si we have 3 arms of Gafment?

Of course they need each other but none is subservient to the other 

Huyu shosh shida yake ni? Gasket https://t.co/b04dgcHGRH","Tweet","Maverick Aoko","AokoOtieno_","10/22/2024, 9:17:06 AM","308","772","14","4029","250974","38","en","No","Twitter for Android","","https://x.com/AokoOtieno_/status/1848609506856415310","photo","https://pbs.twimg.com/media/GaeUjK-XcAA6vIb.jpg",""
"=""1853356598057472220""","This is why the Judiciary is rotten to the core. JurisPESA led by Martha Koome should be disbanded before they burn this country https://t.co/zEONH9kWUN","Tweet","The Government Critic 🇰🇪","magwaz3","11/4/2024, 11:40:21 AM","41","571","4","1214","22780","6","en","No","Twitter for Android","","https://x.com/magwaz3/status/1853356598057472220","photo","https://pbs.twimg.com/media/Gbhx_xwa0AAT507.jpg",""
