"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1914295842573357213""","3 Ruto’s Projects everyone should know;

-CJ Maraga
-Okiya Omtata
-Morara Kebaso

Be warned.","Tweet","jim Njue","jimNjue_","4/21/2025, 3:31:09 PM","28","38","2","216","2883","1","en","No","Twitter for iPhone","","https://x.com/jimNjue_/status/1914295842573357213","","",""
"=""1914288134386307242""","“Mbeu njithi mari na kura mirioni 10, turetha ateti metokoyanitie nikii?” – Morara Kebaso kuuga gutiri mundu utangiruirira giturwa kia upresident https://t.co/vf9GbFQDOH https://t.co/aVi28qmzEE","Tweet","Kameme FM Official","kameme101","4/21/2025, 3:00:31 PM","0","0","0","0","115","0","in","No","Twitter Web App","","https://x.com/kameme101/status/1914288134386307242","photo","https://pbs.twimg.com/media/GpDq5zOXMAAqgvk.jpg","https://shorturl.at/bcCFa"
"=""1914279788744790136""","@FGaitho237 This is a false edited version. The full video is here. Listen for yourself https://t.co/66DPpSsd8s","Reply","Morara Kebaso","MoraraKebasoSnr","4/21/2025, 2:27:21 PM","1","1","0","9","480","0","en","No","Twitter for iPhone","","https://x.com/MoraraKebasoSnr/status/1914279788744790136","video","https://video.twimg.com/amplify_video/1914278974131146752/vid/avc1/1080x1920/rVvq5thvnNQ24gbQ.mp4?tag=16",""
"=""1914273241503269186""","Who is the project? https://t.co/NEXYwOfSDA","Tweet","Morara Kebaso","MoraraKebasoSnr","4/21/2025, 2:01:20 PM","80","64","4","332","10634","8","en","No","Twitter for iPhone","","https://x.com/MoraraKebasoSnr/status/1914273241503269186","video","https://video.twimg.com/amplify_video/1914272884689686528/vid/avc1/1080x1920/eXyNS4jnF8gUhIe8.mp4?tag=16",""
"=""1914270963862278632""","@donescoba001 @jimNjue_ Doh! Alright, @jimNjue_, Morara Kebaso’s this 28-year-old Kenyan guy from Kisii, makin’ waves as a lawyer and activist. He’s out there exposin’ government corruption, pokin’ at stalled projects with his “Vampire Diaries” hashtag. Runs a furniture biz, too, employin’ over 85","Reply","Grok","grok","4/21/2025, 1:52:17 PM","0","0","0","0","17","0","en","No","Banners & Ads","","https://x.com/grok/status/1914270963862278632","","",""
"=""1914270505537867850""","@jimNjue_ @grok who is morara kebaso","Reply","Don Kolion.","donescoba001","4/21/2025, 1:50:28 PM","1","0","0","1","16","0","in","No","Twitter for Android","","https://x.com/donescoba001/status/1914270505537867850","","",""
"=""1914254364027351242""","It appears Morara Kebaso prefers President Ruto to remain in office rather than risk replacing him with someone potentially worse. https://t.co/oX7YrXzNLt","Tweet","Billy Mwangi","MwangiHub","4/21/2025, 12:46:20 PM","1","3","0","12","618","1","en","No","Twitter for Android","","https://x.com/MwangiHub/status/1914254364027351242","video","https://video.twimg.com/ext_tw_video/1914254316640124929/pu/vid/avc1/576x806/chZpPVdCc2MUoJrp.mp4?tag=12",""
"=""1914251481772855760""","@MoraraKebasoSnr Morara Kebaso isn’t related to the late George Morara—just borrowed the name. Conned Kenyans with his fake Vampire Diaries, stole from the compassionate Duke Echate who once sheltered him. If you hear “Moraa” in a crowd, ask for your money.","Reply","geoffrey bosire","bosire78","4/21/2025, 12:34:52 PM","0","0","0","0","8","0","en","No","Twitter for Android","","https://x.com/bosire78/status/1914251481772855760","","",""
"=""1914251101177512423""","Morara Kebaso isn’t related to the late George Morara—just borrowed the name. Conned Kenyans with his fake Vampire Diaries, stole from the compassionate Duke Echate who once sheltered him. If you hear “Moraa” in a crowd, ask for your money. #ConmanChronicles","Tweet","geoffrey bosire","bosire78","4/21/2025, 12:33:22 PM","0","0","0","0","10","0","en","No","Twitter for Android","#ConmanChronicles","https://x.com/bosire78/status/1914251101177512423","","",""
"=""1914251013692813456""","The lineup for #2027ClownsParade 
They won't go anywhere!

BREAKING NEWS Pope Francis Vatican Catholic Church Raila Odinga Orengo RiggyG Delulu Easter Monday https://t.co/LXvyVhARGZ","Tweet","Morara Kebaso Commentator","OmarJuma001","4/21/2025, 12:33:01 PM","0","0","0","0","114","0","en","No","Twitter for Android","#2027ClownsParade","https://x.com/OmarJuma001/status/1914251013692813456","photo","https://pbs.twimg.com/media/GpDJI7iWAAAvKw2.jpg",""
"=""1914248849268314394""","So the Mr. 10B scandalous man RiggyG Delulu, has included his fellow scandalous guy from Meru Mithika Linturi  kwa lineup ya #2027ClownsParade ...Indeed scam ni scam tu! 

Pope Francis Vatican Catholic Church Breaking News Raila Odinga https://t.co/ZiejzDlh3P","Tweet","Morara Kebaso Commentator","OmarJuma001","4/21/2025, 12:24:25 PM","0","0","0","0","204","0","en","No","Twitter for Android","#2027ClownsParade","https://x.com/OmarJuma001/status/1914248849268314394","photo","https://pbs.twimg.com/media/GpDHLOkXUAANjW3.jpg",""
"=""1914246087054852196""","Very true, and Apostle prophecy has come to pass about Morara Kebaso.","Tweet","BMRR30","Raphael_Lucas24","4/21/2025, 12:13:26 PM","0","0","0","0","17","0","en","No","Twitter for Android","","https://x.com/Raphael_Lucas24/status/1914246087054852196","","",""
"=""1914030142671995008""","Betrayer of the movement don't go far,  you see what happened to morara! After the state used him as a project they dumped him and he become irrelevant.

Bondo,kiambaa,Matiang'i,maraga, happy easter,he is risen,Nyayo stadium, gachagua,wamunyoro.Raila,orengo,Ruto https://t.co/BTZWWU8kgp","Quoted tweet","Ladybug News collection","Goldfield6","4/20/2025, 9:55:21 PM","4","56","2","136","15569","35","en","No","Twitter for Android","","https://x.com/Goldfield6/status/1914030142671995008","video","https://video.twimg.com/ext_tw_video/1914030079098621952/pu/vid/avc1/576x1024/W8Qsl5oR7FufOXJo.mp4?tag=12",""
"=""1914244913883214270""","@donescoba001 @BernardKavuli True, this claim is not, hmm? Evidence, clear it is, that Morara Kebaso, a critic of Ruto remains. Stalled projects, he exposes, and job offers from Ruto, he declines. Support for ten years, no sign of this I see. TikTok video, misleading it seems, out of context perhaps. Trust","Reply","Grok","grok","4/21/2025, 12:08:47 PM","0","0","0","0","21","0","en","No","Banners & Ads","","https://x.com/grok/status/1914244913883214270","","",""
"=""1914243909384822807""","Let me repeat.
Morara Kebaso is more popular on the ground than Okiya Omtatah.
Atleast Morara isn't concentrated on X for popularity, he's hitting the ground.","Tweet","𝙱𝚛𝚒𝚊𝚗 𝙺𝚘𝚛𝚒𝚛","_Briankorir","4/21/2025, 12:04:47 PM","5","7","0","20","1499","1","en","No","Twitter for Android","","https://x.com/_Briankorir/status/1914243909384822807","","",""
"=""1914239476416610415""","After assessing the situation and deciding that arresting Matiang'i would backfire, the government has decided to invest heavily in a smear campaign against Matiang'i
Morara Kebaso, Hanifa, Gaitho, Boniface Mwangi and the former Gen Z proponents will lead the onslaught.","Tweet","Grand Muller jnr","SIMONMA36915018","4/21/2025, 11:47:10 AM","1","0","0","1","20","0","en","No","Twitter for Android","","https://x.com/SIMONMA36915018/status/1914239476416610415","","",""
"=""1914239470389416076""","@AlinurMohamed_ Speak for yourself.
Matian'gi just landed. Said no word. Never said he's going to vie for presidency but X blasts with the conversations. That is not money being dished. It is POWER! Maraga and Omtata are in the league of Kebaso Morara. Playing hyena politics. Not tried or tested","Reply","Martin Fowd","martin_fowd","4/21/2025, 11:47:09 AM","0","0","0","1","30","0","en","No","Twitter for Android","","https://x.com/martin_fowd/status/1914239470389416076","","",""
"=""1914236461181812947""","@WILLY_FREDD1 I have my own vision","Reply","Morara Kebaso","MoraraKebasoSnr","4/21/2025, 11:35:11 AM","12","0","0","15","1711","1","en","No","Twitter for iPhone","","https://x.com/MoraraKebasoSnr/status/1914236461181812947","","",""
"=""1914236058071376040""","@deogratiuslang1 Read the constitution ndugu","Reply","Morara Kebaso","MoraraKebasoSnr","4/21/2025, 11:33:35 AM","2","0","0","12","1851","0","en","No","Twitter for iPhone","","https://x.com/MoraraKebasoSnr/status/1914236058071376040","","",""
"=""1914233290988417103""","Projects come and fail just like the #2027ClownsParade projects. 

Cindy Kirui RiggyG Delulu Shun Mediocre Politicians Papa Francis https://t.co/iYJWxXEmKN","Tweet","Morara Kebaso Commentator","OmarJuma001","4/21/2025, 11:22:35 AM","0","0","0","0","415","0","en","No","Twitter for Android","#2027ClownsParade","https://x.com/OmarJuma001/status/1914233290988417103","photo","https://pbs.twimg.com/media/GpC5BvpWMAAkdC1.jpg, https://pbs.twimg.com/media/GpC5BytXkAA3BuD.jpg",""
"=""1914233270352462220""","Morara Kebaso is A mole, he's being used by Ruto. He was send to meet Gachagua to get their plan as opposition and trust me he has nothing on the youths","Tweet","Kenya Youths Union ®️","KenyaYouthUnion","4/21/2025, 11:22:31 AM","0","1","0","2","34","1","en","No","Twitter for Android","","https://x.com/KenyaYouthUnion/status/1914233270352462220","","",""
"=""1914196656020713702""","I'm now convinced that Morara Kebaso is Ruto's project. 
https://t.co/i3qonk2Rpy","Quoted tweet","Kavuli M. Bernard","BernardKavuli","4/21/2025, 8:57:01 AM","70","28","6","236","20525","13","en","No","Twitter for Android","","https://x.com/BernardKavuli/status/1914196656020713702","video","https://video.twimg.com/amplify_video/1914181046553235456/vid/avc1/576x806/oznetAK_8fXqr5er.mp4?tag=16",""
"=""1914232744923582827""","Is Morara Kebaso still relevant?","Tweet","Omosh","omondike_","4/21/2025, 11:20:25 AM","3","0","0","3","535","0","en","No","Twitter for Android","","https://x.com/omondike_/status/1914232744923582827","","",""
"=""1914230817896738904""","Maraga is an honourable man of exceptional integrity. In your excitement for Uhuruto’s project, do not insult him. I am his competitor in the 2027 presidential race but i can never say a word about that man. He is a man of great discipline.","Tweet","Morara Kebaso","MoraraKebasoSnr","4/21/2025, 11:12:46 AM","191","155","18","1251","38402","5","en","No","Twitter for iPhone","","https://x.com/MoraraKebasoSnr/status/1914230817896738904","","",""
"=""1914227129861964243""","Morara Kebaso is now questioning the point of removing Ruto from power only to replace him with someone potentially even worse. #morarakebaso #bnnbasic
FOLLOW US ON BNN BASIC - https://t.co/WFvFm1UZxJ https://t.co/cEpgZUu0f7","Tweet","Edgar Obare","edgarobare","4/21/2025, 10:58:07 AM","4","10","0","26","2922","2","en","No","Later Media","#morarakebaso, #bnnbasic","https://x.com/edgarobare/status/1914227129861964243","video","https://video.twimg.com/ext_tw_video/1914226954171015168/pu/vid/avc1/720x720/hq_j-htNBYUhj4H6.mp4?tag=12","https://t.me/bnnkenya/68582"
"=""1914225350084604180""","@jimNjue_ I think Morara Kebaso is being very pragmatic. We cannot hope to clean Kenyan leadership by shovelling shit out and replacing the shit with shit. I questioned Morara's cozying up to Riggy G but he has now seen the light. We need to drain the swamp.","Reply","Laban Kiplimo🇰🇪","Labankiplimo9","4/21/2025, 10:51:02 AM","0","0","1","1","771","0","en","No","Twitter for Android","","https://x.com/Labankiplimo9/status/1914225350084604180","","",""
"=""1914223628683485561""","MORARA KEBASO TRANSITION: He has refused to work with the opposition led by Rigathi Gachagua. Instead of checking the current government, he has promised to go after Uhuru Kenyatta. https://t.co/Sz0FzYhqA3","Tweet","HUSTLER TV","GunnerAfrican","4/21/2025, 10:44:12 AM","0","0","0","0","73","0","en","No","Twitter for Android","","https://x.com/GunnerAfrican/status/1914223628683485561","photo","https://pbs.twimg.com/media/GpCwPvMX0AAx7cz.jpg",""
"=""1914223059520676306""","After assessing the situation and deciding that arresting Matiang'i would backfire, the government has decided to invest heavily in a smear campaign against Matiang'i.

Morara Kebaso, Hanifa, Gaitho, Boniface Mwangi and the former Gen Z proponents will lead the onslaught. https://t.co/L3EG6IkCP9","Tweet","Ejokfm 87.9","EjokRadio","4/21/2025, 10:41:56 AM","0","0","0","1","24","0","en","No","Twitter for Android","","https://x.com/EjokRadio/status/1914223059520676306","photo","https://pbs.twimg.com/media/GpCvujFWIAAqQLN.jpg",""
"=""1914218908015296757""","@jimNjue_ You have cut a piece of the video to drive a false narrative that favours your tribal agenda. HERE IS THE FULL VIDEO https://t.co/L1Rpmi5adG","Reply","Morara Kebaso","MoraraKebasoSnr","4/21/2025, 10:25:26 AM","16","3","1","37","2371","1","en","No","Twitter for iPhone","","https://x.com/MoraraKebasoSnr/status/1914218908015296757","video","https://video.twimg.com/amplify_video/1914217991606071296/vid/avc1/1080x1920/npEFD7a_ACbAkcFQ.mp4?tag=16",""
"=""1914215543592075421""","Nashangaa sana kuona ata saa hii kuna watu wanafuatililia chenye morara kebaso anasema mimi heri niskize voice notes zangu hadi jioni","Tweet","toxic","_kieni","4/21/2025, 10:12:04 AM","1","21","0","29","197","0","in","No","Twitter for Android","","https://x.com/_kieni/status/1914215543592075421","","",""
"=""1914212872550322361""","@Gideon_Kitheka Morara kebaso you are bringing division because you want this seat","Reply","NO-FEAR-NO-FAVOUR","plutocrat_arap_","4/21/2025, 10:01:27 AM","0","0","0","0","5","0","en","No","Twitter for Android","","https://x.com/plutocrat_arap_/status/1914212872550322361","","",""
"=""1914211534198223289""","@BernardKavuli I know you cut the video to drive a narrative. But here is the full video. https://t.co/zd1zAoWpvO","Reply","Morara Kebaso","MoraraKebasoSnr","4/21/2025, 9:56:08 AM","10","3","0","10","532","1","en","No","Twitter for iPhone","","https://x.com/MoraraKebasoSnr/status/1914211534198223289","video","https://video.twimg.com/amplify_video/1914210978176073728/vid/avc1/1080x1920/JzaOSbDXr40VRDl8.mp4?tag=16",""
"=""1914210969758183439""","Inject Party Leader Morara Kebaso urges young people to put all their votes in one basket, says they have the numbers to front a candidate and secure victory. 

""If we are draining the swamp, let us drain the swamp. Even a JSS teacher can be our president if we decide so,"" he https://t.co/8tPUFpLYfv","Tweet","TUKO.co.ke | The Heartbeat of Kenya","Tuko_co_ke","4/21/2025, 9:53:54 AM","1","1","0","9","696","0","en","No","Twitter Web App","","https://x.com/Tuko_co_ke/status/1914210969758183439","photo","https://pbs.twimg.com/media/GpCkuHKXgAA6XWz.jpg",""
"=""1914210203974705629""","Morara kebaso is ruto's project.","Tweet","Grace","Gracenchoe","4/21/2025, 9:50:51 AM","9","17","0","57","642","0","en","No","Twitter for Android","","https://x.com/Gracenchoe/status/1914210203974705629","","",""
"=""1914206749965406684""","There  is no difference between morara kebaso and Kasongo.

The only difference is how they're taking Money from kenyans .","Tweet","Coletta Aluda","Colettaaluda_1","4/21/2025, 9:37:08 AM","1","1","0","20","767","1","en","No","Twitter for Android","","https://x.com/Colettaaluda_1/status/1914206749965406684","","",""
"=""1914202857584107526""","MORARA KEBASO VS  JULIUS MALEMA.....🤣🤣🤣 https://t.co/Jh6CeCJcVR","Tweet","Coletta Aluda","Colettaaluda_1","4/21/2025, 9:21:40 AM","2","4","0","9","810","0","in","No","Twitter for Android","","https://x.com/Colettaaluda_1/status/1914202857584107526","photo","https://pbs.twimg.com/media/GpCdWsJXYAEGa4W.jpg",""
"=""1914202214240772499""","Matiang'i should be prepared to enjoy 3 weeks of fame and non-existent love from social media. Such love made Morara Kebaso see himself as the next president","Tweet","Merchant","NyakagwaSteve","4/21/2025, 9:19:06 AM","0","0","0","1","72","0","en","No","Twitter for Android","","https://x.com/NyakagwaSteve/status/1914202214240772499","","",""
