"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1818158184705454263""","In Musalia Mudavadi's SHALLOW status report on Adani's PIP on JKIA, he IGNORES the fact that the N/A Transport Committee investigated and gave recommendations which stopped a similar deal in 2019. Previous botched deals cost the taxpayer 4.7B, why are they quiet on this? https://t.co/I6A2r1vhuc","Tweet","Senator Richard Onyonka","RichardOnyonka_","7/30/2024, 8:34:25 AM","34","739","8","806","14487","27","en","No","Twitter for Android","","https://x.com/RichardOnyonka_/status/1818158184705454263","photo","https://pbs.twimg.com/media/GTtlOzAXsAE3vkX.jpg",""
"=""1817436546644980034""","Who should we elect in 2027 as the next president of Kenya?

A. William Ruto 
B. Raila Odinga 
C. Musalia Mudavadi 
D. Fred Matiangi https://t.co/O0mdbTU4CT","Tweet","ORINA","orinake_","7/28/2024, 8:46:53 AM","700","87","15","652","80190","32","en","No","Twitter for Android","","https://x.com/orinake_/status/1817436546644980034","photo","https://pbs.twimg.com/media/GTjU4NzWIAA3787.jpg, https://pbs.twimg.com/media/GTjU4QhWsAAxvxi.jpg, https://pbs.twimg.com/media/GTjU4P0WwAAEy8f.jpg, https://pbs.twimg.com/media/GTjU4oeWEAAsJsA.jpg",""
"=""1817184773745352917""","Foreign Affairs CS Musalia Mudavadi: Take a look at what is happening in other countries, and those in Africa, that's when you'll realise you can't take a peaceful country for granted. To our youth, if you have a problem, use the right democratic way to solve the issues. https://t.co/XaQ7xd59iL","Tweet","The Eastleigh Voice","Eastleighvoice","7/27/2024, 4:06:26 PM","13","3","9","10","4594","1","en","No","Twitter Web App","","https://x.com/Eastleighvoice/status/1817184773745352917","video","https://video.twimg.com/ext_tw_video/1817184149569937408/pu/vid/avc1/1280x720/qIVqj2tp0k_8QiUD.mp4?tag=12",""
"=""1818016803529818468""","Today, we proudly send-off a cohort of Kenyan teachers who have secured job placements in various district schools across the United States of America. https://t.co/0sRIlovVCQ","Tweet","Musalia W Mudavadi","MusaliaMudavadi","7/29/2024, 11:12:37 PM","1943","449","667","3376","799351","131","en","No","Twitter for Android","","https://x.com/MusaliaMudavadi/status/1818016803529818468","photo","https://pbs.twimg.com/media/GTrkpNIWUAEnqk6.jpg, https://pbs.twimg.com/media/GTrkpbSXcAAafLf.jpg, https://pbs.twimg.com/media/GTrkpQVXMAAFBl3.jpg",""
"=""1817650076690551162""","He acknowledged after Mudavadi denying it. KAA also acknowledged it. This is the biggest mistake this government can make. Adani group is one of the most corrupt business Enterprise in India. Was this issue discussed in Parliament or anywhere? https://t.co/6d5UH4FhOX","Tweet","Kathomi_MR","MaryK2022","7/28/2024, 10:55:23 PM","6","4","0","5","614","1","en","No","Twitter for Android","","https://x.com/MaryK2022/status/1817650076690551162","photo","https://pbs.twimg.com/media/GTmXHKFWQAAGqjz.jpg",""
"=""1818399435019472972""","William Ruto

Rigathi Gachagua

Moses Masika Wetangula

Musalia Mudavadi

Raila Odinga

Add the list of #RutoMustGo","Tweet","KOT Sonko™🇰🇪","Mabonga_254","7/31/2024, 12:33:04 AM","9","111","2","167","3019","0","in","No","Twitter for Android","#RutoMustGo","https://x.com/Mabonga_254/status/1818399435019472972","","",""
"=""1818139053956444649""","Prime CS Musalia Mudavadi flags off 67 Kenyan teachers who have secured job placements in various schools in the USA https://t.co/O98zPUyeo9","Tweet","Kenyans.co.ke","Kenyans","7/30/2024, 7:18:24 AM","711","303","97","3139","211572","41","en","No","Twitter Web App","","https://x.com/Kenyans/status/1818139053956444649","photo","https://pbs.twimg.com/media/GTtTo-sXsAAW_gr.jpg",""
"=""1818228741996154904""","MUDAVADI: Sirkal biro rito ratich jokenya madhi tiyo e pinje ma oko | #RamogiTV https://t.co/QCljwgxZHv","Tweet","Ramogi Tv","RamogiTVKe","7/30/2024, 1:14:47 PM","0","0","0","0","75","0","tl","No","Twitter Media Studio","#RamogiTV","https://x.com/RamogiTVKe/status/1818228741996154904","video","https://video.twimg.com/amplify_video/1818227053671444480/vid/avc1/1280x720/M17Jv1W-1K0zUfaI.mp4?tag=14",""
"=""1818150744618377300""","H.E Musalia Mudavadi’s active lobbying for the decision during the 22nd Extraordinary Session of the Executive Council of the AU aligns with Kenya Kwanza government’s push for Raila Odinga’s AUC candidacy. #RailaToTheWorld   
Kenya For AUC https://t.co/GbXZedCplW","Tweet","DARSIL254⚡™","DARSIL254","7/30/2024, 8:04:51 AM","0","2","0","0","90","0","en","No","Twitter for Android","#RailaToTheWorld","https://x.com/DARSIL254/status/1818150744618377300","photo","https://pbs.twimg.com/media/GTtedeGXcAEK1w9.jpg",""
"=""1818181935115407747""","Water canons and police truck seen traversing Kitengela. Is the government smelling something?

#RutoMustGo Juja Moses Kuria #NaneNaneMarch Matiangi Musalia Mudavadi William Ruto Haiti Mercy Mwangangi https://t.co/NXnax7YWmH","Tweet","VoiceofKairu™🇰🇪","VoiceofKairu","7/30/2024, 10:08:48 AM","0","11","0","23","6790","3","en","No","Twitter for Android","#RutoMustGo, #NaneNaneMarch","https://x.com/VoiceofKairu/status/1818181935115407747","video","https://video.twimg.com/ext_tw_video/1818181900512428032/pu/vid/avc1/382x850/EtHCLc2vziMp5p7p.mp4?tag=12",""
