"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1811469082106995151""","Murkomen was in the final phase of leasing our airports to international crooks and conmen.

Until Murkomen is arrested, prosecuted, jailed, and forced to return all he has taken from us. We will not rest.

#DrainTheSwamp https://t.co/F6gp2snK6i","Tweet","Eric","amerix","7/11/2024, 9:34:19 PM","851","15995","266","25747","762174","721","en","No","Twitter for Android","#DrainTheSwamp","https://x.com/amerix/status/1811469082106995151","photo","https://pbs.twimg.com/media/GSOhh1ZXIAAZveP.jpg, https://pbs.twimg.com/media/GSOhh5CagAEs_oh.jpg",""
"=""1913930405142479172""","Murkomen and his former Personal assistants. https://t.co/cVIh5weG71","Tweet","Kipruto","KiprutToo","4/20/2025, 3:19:02 PM","1","4","0","21","1847","1","en","No","Twitter for Android","","https://x.com/KiprutToo/status/1913930405142479172","photo","https://pbs.twimg.com/media/Go-lX38X0AAIPX3.jpg",""
"=""1913888040616964519""","Mr President, why do churches looks well furnished than schools yet churches are used for one day?

""You know, am not a mad man"" https://t.co/L0qSMlCOwF","Quoted tweet","Yoko","Kibet_bull","4/20/2025, 12:30:41 PM","70","582","11","1636","35984","7","en","No","Twitter for Android","","https://x.com/Kibet_bull/status/1913888040616964519","photo","https://pbs.twimg.com/media/Go9_BOTXoAAEIso.jpg",""
"=""1911056083952541810""","The people that I want to suffer the most devastating &amp; the most tsunamic diarrhoea ever experienced in the face of  humanity 
1. William Ruto
2. Raila Odinga 
3. Kipchumba Murkomen 
4. Oscar Sudi
5. Faruk Kibeti
May the spell of diarrhoea find you guys wherever you are!","Tweet","SURE 🎷","ObinoBrian","4/12/2025, 4:57:30 PM","0","0","0","21","2686","0","en","No","Twitter for Android","","https://x.com/ObinoBrian/status/1911056083952541810","","",""
"=""1912945552297463868""","This happens when Kipchumba Murkomen is in power. Incompetent to core. https://t.co/YHJoz4fxSn","Tweet","Yoko","Kibet_bull","4/17/2025, 10:05:35 PM","14","347","4","755","11620","6","en","No","Twitter for Android","","https://x.com/Kibet_bull/status/1912945552297463868","photo","https://pbs.twimg.com/media/Gowl1IkWIAAKgsE.jpg",""
"=""1869808310716957003""","From Chris Murungaru, to Michuki, to Saitoti, to Nkaiserry, to Matiang'i, to Kindiki, to Murkomen.

We continue digging deeper, almost discovering oil.

Next will be Mutuse.

We have really fallen.

Only the people can salvage this level of degeneration.","Tweet","Eric","amerix","12/19/2024, 9:13:35 PM","237","3763","27","12257","251366","125","en","No","Twitter for Android","","https://x.com/amerix/status/1869808310716957003","","",""
"=""1910924537228624301""","""l  cannot be lectured by Kipchumba Murkomen, who is one those Ruto flower girls""~~~Rigathi Gachagua https://t.co/TLthczBMxo","Tweet","Dan Nyagah","dan_nyagah","4/12/2025, 8:14:47 AM","9","181","3","841","41534","27","en","No","Twitter for Android","","https://x.com/dan_nyagah/status/1910924537228624301","video","https://video.twimg.com/ext_tw_video/1910924511291002880/pu/vid/avc1/720x1280/RWE9OH73Yesb8esM.mp4?tag=12",""
"=""1914237766881194387""","Murkomen should gazette tomorrow as a national holiday  we mourn Pope Francis","Tweet","MUTISYA","fredrik_mutisya","4/21/2025, 11:40:23 AM","0","1","1","2","106","0","en","No","Twitter for Android","","https://x.com/fredrik_mutisya/status/1914237766881194387","","",""
"=""1914002542012346593""","Btw ni poa kukua na connection na mtu mkubwa kwa srikali. mtu anaezapiga one phone call aambie makarao wakuachishe umende. A ngga like Sonko, haji, murkomen or billionaire onyango shika-dem tate","Tweet","Guy","oldtrafford__","4/20/2025, 8:05:41 PM","1","7","0","21","196","0","in","No","Twitter for Android","","https://x.com/oldtrafford__/status/1914002542012346593","","",""
"=""1911679879726219291""","Hating on Kalenjins because of Ruto is a very stupid idiotic thing to do.

Differentiate between individual traits and tribe. We have our own  culture as kalenjin. Wizi is not part of it. 

Ruto abebe msalaba yake na akue crucified kivyake. Same with Murkomen, mandago etc.","Tweet","Kimuzi","Kimuzi_","4/14/2025, 10:16:15 AM","332","403","39","2428","156583","48","en","No","Twitter for Android","","https://x.com/Kimuzi_/status/1911679879726219291","","",""
"=""1912754355209388509""","In 1976 Pokot and Marakwets decided to have a drinking competition. A week before the competition, the Marakwets sent Murkomen Komen Arap Kimaiyo to Pokot  to confirm if the competition will be held. 

On arrival, the people of Pokot  brought 20Ltrs of their strongest brewed https://t.co/LPE4vBDxi2","Tweet","M O I B E N S H I R E","Kapyoseiin","4/17/2025, 9:25:50 AM","5","6","0","15","828","2","en","No","Twitter for iPad","","https://x.com/Kapyoseiin/status/1912754355209388509","photo","https://pbs.twimg.com/media/Got38T0XMAAmtT6.jpg",""
"=""1912485720536600991""","Ndugu Murkomen when he was still meandering in the wilderness before he entered our taxes garden of Eden.

Waziri cannot mix with mud or wear bata shoes these days 😂😂😂 https://t.co/YUN5BVA4bT","Tweet","Anwar Saddat","AnuarSaddat","4/16/2025, 3:38:22 PM","4","36","0","101","2105","3","en","No","Twitter for iPhone","","https://x.com/AnuarSaddat/status/1912485720536600991","photo","https://pbs.twimg.com/media/GoqDoDsXcAAdkTl.jpg",""
"=""1883924351277490626""","KDF wananyimwa food ndo hizo dooh Murkomen apee mother-in-law wake security 😂","Tweet","🇰🇪","BlacKosgei","1/27/2025, 8:05:41 PM","1","17","0","31","474","0","in","No","Twitter for Android","","https://x.com/BlacKosgei/status/1883924351277490626","","",""
"=""1910961402233188587""","EX CS Roads and Transport Kipchumba Murkomen illegally increased the Road Maintenance Levy Fund (RMLF) to Ksh 25 per every fuel litre.  
Where is the money??? https://t.co/18ywriQS5X","Tweet","Motorist Association","motoristsoffice","4/12/2025, 10:41:16 AM","2","8","0","5","519","0","en","No","Twitter Web App","","https://x.com/motoristsoffice/status/1910961402233188587","photo","https://pbs.twimg.com/media/GoUZQjrWgAAGqMb.jpg",""
"=""1816086873640403086""","I think Murkomen move was a tactical ""middle finger"" move on our face. https://t.co/ODyXMG941l","Tweet","Robert Chits","ChitsRobert","7/24/2024, 3:23:46 PM","0","0","0","1","16","0","en","No","Twitter Web App","","https://x.com/ChitsRobert/status/1816086873640403086","animated_gif","https://video.twimg.com/tweet_video/GTQJYXEXcAAogll.mp4",""
"=""1911741584690880949""","Hapa alimaliza Murkomen https://t.co/wQ1GZbNoJL","Reply","Amazing","_kijanayamwingi","4/14/2025, 2:21:26 PM","1","3","0","21","3024","5","in","No","Twitter for Android","","https://x.com/_kijanayamwingi/status/1911741584690880949","video","https://video.twimg.com/ext_tw_video/1911740079569051648/pu/vid/avc1/320x568/6s530nNpRhGGuYDM.mp4?tag=12",""
"=""1912106072497672426""","Here is a 1½ minute clip of Dr Alfred Mutua narrating how Aden Duale, Murkomen and William Ruto threatened to take him back to his creator.

If you ask Alfred Mutua what changed, he will tell you that everything he does, he does for his stomach.

#RutoMustGoNow #DrainTheSwamp https://t.co/AmZNvbd9OO","Tweet","I am Chege","_James041","4/15/2025, 2:29:47 PM","27","685","5","1663","87109","142","en","No","Twitter for Android","#RutoMustGoNow, #DrainTheSwamp","https://x.com/_James041/status/1912106072497672426","video","https://video.twimg.com/ext_tw_video/1912105932932132864/pu/vid/avc1/1280x720/_BOJLN0WGaEfDSQY.mp4?tag=12",""
"=""1913999915782410248""","@Bossyator Hakuna saving 😅😅,,hiyo cement extravagance nikama yakina murkomen","Reply","Goods on transit","ketepakashike35","4/20/2025, 7:55:14 PM","0","0","0","19","4136","0","tl","No","Twitter for Android","","https://x.com/ketepakashike35/status/1913999915782410248","","",""
"=""1912436498814599561""","Ah. That explains this paid ad that came on my tl a few days ago. Murkomen &amp; Co want to use elders for surveillance &amp; to crush dissenting voices since ethey already know they have a vote of no confidence from the youth. https://t.co/aAFPFAXeMz","Tweet","ᕙ⁠(͡⁠°⁠‿⁠ ͡⁠°⁠)⁠ᕗ","StillGenje","4/16/2025, 12:22:47 PM","2","96","2","78","13155","10","en","No","Twitter for Android","","https://x.com/StillGenje/status/1912436498814599561","photo","https://pbs.twimg.com/media/GopW3DjWgAEvGlQ.jpg",""
"=""1912423320634482799""","NEW BILL ALERT!
The National Government Co-ordination (Ammendment) Bill, 2023.
Bill sponsor: Moses Malulu Injendi, former MP for Malava 

This bill seeks to introduce village councils for every village headed by a village administrator. Govt shall appoint village elders to the https://t.co/63hjaxQDWf","Quoted tweet","Shoba Gatimu","shobanes","4/16/2025, 11:30:25 AM","225","1438","163","1220","170456","184","en","No","Twitter for Android","","https://x.com/shobanes/status/1912423320634482799","photo","https://pbs.twimg.com/media/GopK3zyWoAAKye2.jpg",""
"=""1911759502019375466""","MEMORIAL SERVICE FOR THE LATE HON. AMB. JOHN KOECH, AGC KAREN

In times of great danger to the stability of a nation, only great leaders step forward to take the responsibility of steadying it. In 2005, Hon. Amb. John Koech didn't hesitate for a moment when President Mwai Kibaki https://t.co/Md4pNnTe7T","Tweet","KIPCHUMBA MURKOMEN, E.G.H","kipmurkomen","4/14/2025, 3:32:38 PM","17","16","0","111","11782","1","en","No","Twitter for iPhone","","https://x.com/kipmurkomen/status/1911759502019375466","photo","https://pbs.twimg.com/media/GofvIKUXMAANKk2.jpg, https://pbs.twimg.com/media/GofvIKQXoAEekyv.jpg, https://pbs.twimg.com/media/GofvIKLW4AAP527.jpg, https://pbs.twimg.com/media/GofvIKQXoAIGJJG.jpg",""
"=""1912210284309328025""","Political crises are also opportunities for renewal. After Kibaki lost the 2005 referendum, he dissolved the Cabinet and brought the opposition on board. The united and reinvigorated government forged the biggest economic turnaround in our country's history.

There's a lot of https://t.co/DxqSo5fgOF","Tweet","KIPCHUMBA MURKOMEN, E.G.H","kipmurkomen","4/15/2025, 9:23:53 PM","186","23","12","174","31215","10","en","No","Twitter for Android","","https://x.com/kipmurkomen/status/1912210284309328025","video","https://video.twimg.com/ext_tw_video/1912210173214568449/pu/vid/avc1/848x480/2oae01ZZwdEW_nxc.mp4?tag=12",""
"=""1911501452154900879""","Cleophas Malala: I want to tell Murkomen, these people you are calling children, they are seeing, they participate in the events of this country, they know what is going on. When you call them children and they are not supposed to know anything, that is a mistake. The cast that https://t.co/LtSv2j4e6T","Tweet","Kavuli M. Bernard","BernardKavuli","4/13/2025, 10:27:14 PM","0","3","0","7","687","0","en","No","Twitter for Android","","https://x.com/BernardKavuli/status/1911501452154900879","video","https://video.twimg.com/ext_tw_video/1911500968203608065/pu/vid/avc1/1280x720/3CHT0OSyleQUoV4I.mp4?tag=12",""
"=""1912790920249885068""","I was honored to meet my counterpart Hon. Kipchumba Murkomen and Kenyan officials today to deepen Somalia-Kenya cooperation. Our fruitful discussions focused on enhancing border security, police collaboration and immigration, reaffirming our shared commitment on security matters. https://t.co/rZ2mtgTmaI","Tweet","Abdullahi Sheikh Ismail (Fartaag)","Senfartaag","4/17/2025, 11:51:07 AM","3","4","0","27","3687","3","en","No","Twitter for iPhone","","https://x.com/Senfartaag/status/1912790920249885068","photo","https://pbs.twimg.com/media/GouZJN2WgAALoAO.jpg, https://pbs.twimg.com/media/GouZJNxXcAAtdel.jpg, https://pbs.twimg.com/media/GouZJN2WQAACWCj.jpg, https://pbs.twimg.com/media/GouZJNvXsAAWBuo.jpg",""
"=""1911768652245839902""","CS Kipchumba Murkomen - Parents, let us be mindful of the souls of our children because the things they consume it's what will destroy them.#HapaNdipo https://t.co/g3LVSet4Z8","Tweet","Radio 47","Radio47_Kenya","4/14/2025, 4:09:00 PM","0","1","0","3","128","0","en","No","Twitter Web App","#HapaNdipo","https://x.com/Radio47_Kenya/status/1911768652245839902","video","https://video.twimg.com/amplify_video/1911767516382212096/vid/avc1/720x720/xP58g80lvmFq3TKz.mp4?tag=14",""
"=""1912853728152912369""","Nataka nifungue Church,alafu Ruto akuje anichangie 20m,alafu next Sunday Sudi anichangie 10m,Murkomen anisindikize na 10m,Kindiki anipe 3m,nifunge Church Niende Bahamas 💃💃","Tweet","Wakesho wa Makio","WakeshoMakio","4/17/2025, 4:00:42 PM","9","9","1","29","1931","1","et","No","Twitter for Android","","https://x.com/WakeshoMakio/status/1912853728152912369","","",""
"=""1914262099410157815""","MESSAGE OF CONDOLENCE ON THE PASSING OF POPE FRANCIS 

Pope Francis stood out as a voice of reason and compassion in an increasingly troubled world. 

His relentless efforts to bridge interfaith divides and advocate for the rights of the poor and downtrodden helped to shine a https://t.co/DoDsjyr3Xs","Tweet","KIPCHUMBA MURKOMEN, E.G.H","kipmurkomen","4/21/2025, 1:17:04 PM","21","3","0","61","3483","0","en","No","Twitter for iPhone","","https://x.com/kipmurkomen/status/1914262099410157815","photo","https://pbs.twimg.com/media/GpDTOu7WYAEZlR0.jpg",""
"=""1912123959325139026""","Hon. Amb. John Koech’s illustrious career as a teacher, MP, diplomat and Minister was marked by selfless service, utmost integrity and principled leadership. 

A diplomat par excellence, he engaged in competitive politics with immense decorum. He was a trailblazer who inspired https://t.co/f9I2fvyZJJ","Tweet","KIPCHUMBA MURKOMEN, E.G.H","kipmurkomen","4/15/2025, 3:40:52 PM","6","333","0","469","9193","0","en","No","Twitter for Android","","https://x.com/kipmurkomen/status/1912123959325139026","photo","https://pbs.twimg.com/media/Gok6kzeXwAAt04e.jpg, https://pbs.twimg.com/media/Gok6kyNWoAAN90C.jpg, https://pbs.twimg.com/media/Gok6k1RWYAAcAPI.jpg, https://pbs.twimg.com/media/Gok6kz3XQAAsFwl.jpg",""
"=""1912032680549527843""","Echoes of scam: Forex and Trading, Kairo, George Otieno, Rutos Government, Forex, Ruto and Murkomen, Forex, and again Forex and Forex.","Tweet","Kimuzi","Kimuzi_","4/15/2025, 9:38:09 AM","36","57","6","453","23519","7","en","No","Twitter for Android","","https://x.com/Kimuzi_/status/1912032680549527843","","",""
"=""1912448657300877712""","Mining Police Unit was the main point of discussion between SC Joho and CS Murkomen. https://t.co/eY69sT3WYT","Tweet","MiningKE","EngBusolo","4/16/2025, 1:11:06 PM","0","1","0","2","70","0","en","No","Twitter for Android","","https://x.com/EngBusolo/status/1912448657300877712","photo","https://pbs.twimg.com/media/Goph6tKWMAEoO6V.png, https://pbs.twimg.com/media/Goph6xlW4AAjH28.jpg",""
"=""1912089013327974485""","Si wangeshika Murkomen badala ya kushika Kimani Wamatangi","Tweet","Mr Ham","Mrham_22","4/15/2025, 1:22:00 PM","0","15","0","33","381","0","hi","No","Twitter for Android","","https://x.com/Mrham_22/status/1912089013327974485","","",""
"=""1911357402156327147""","“The next day, the great crowd that had come for the festival heard that Jesus was on His way to Jerusalem. They took palm branches and went out to meet Him, shouting, “Hosanna! Blessed is He who comes in the name of the Lord! Blessed is the King of Israel!”— John 12:12

Joining https://t.co/j4wvnjSorM","Tweet","KIPCHUMBA MURKOMEN, E.G.H","kipmurkomen","4/13/2025, 12:54:50 PM","69","36","4","255","29186","3","en","No","Twitter for iPhone","","https://x.com/kipmurkomen/status/1911357402156327147","photo","https://pbs.twimg.com/media/GoaBakxXkAAQprf.jpg, https://pbs.twimg.com/media/GoaBak2XAAAXFUn.jpg, https://pbs.twimg.com/media/GoaBak1WsAAUoDe.jpg, https://pbs.twimg.com/media/GoaBak3XoAAJ-NF.jpg",""
"=""1911267431785324615""","From Nakumicha to Barasa to Duale.. Incompetence Pro Max

From Kindiki to Murkomen.. Incompetence Pro Max","Tweet","Ruto Must Go","Kodwa_","4/13/2025, 6:57:20 AM","0","0","0","3","121","0","in","No","Twitter Web App","","https://x.com/Kodwa_/status/1911267431785324615","","",""
"=""1912193430043914285""","CS Murkomen, our country will prosper because of your leadership and foresight that brings everybody together https://t.co/Z9JBWRI616","Tweet","Eng John Macharia","EngJohnMachari1","4/15/2025, 8:16:55 PM","1","2","0","7","229","0","en","No","Twitter for Android","","https://x.com/EngJohnMachari1/status/1912193430043914285","video","https://video.twimg.com/ext_tw_video/1912192963028918272/pu/vid/avc1/1280x720/H96gTBoz7881DuwU.mp4?tag=12",""
"=""1911859605082091947""","Murkomen says President Ruto will win 2027 elections. He will not believe. Praise &amp; worship choir. https://t.co/IkR0ZS3BX6","Tweet","Prime Media News","primemediakenya","4/14/2025, 10:10:25 PM","0","3","0","6","252","1","en","No","Twitter Web App","","https://x.com/primemediakenya/status/1911859605082091947","video","https://video.twimg.com/amplify_video/1911859432637538304/vid/avc1/576x1024/KeM2z44eAiJZRE3a.mp4?tag=14",""
"=""1912092587135029502""","I will arrest Gachagua for Organising Chaos to Seek Sympathy!CS Murkomen Vows! https://t.co/xvz4RJbYP5","Tweet","Mutembei TV","MutembeiTV","4/15/2025, 1:36:12 PM","63","57","10","340","43480","32","en","No","Twitter Web App","","https://x.com/MutembeiTV/status/1912092587135029502","video","https://video.twimg.com/amplify_video/1912092470147440640/vid/avc1/1280x720/XE48w46XKpLsW27D.mp4?tag=14",""
"=""1913106894824046684""","Happy Easter to you all! https://t.co/kqNWV2R4VF","Tweet","KIPCHUMBA MURKOMEN, E.G.H","kipmurkomen","4/18/2025, 8:46:42 AM","117","47","6","383","25961","2","en","No","Twitter for iPhone","","https://x.com/kipmurkomen/status/1913106894824046684","photo","https://pbs.twimg.com/media/Goy4kmKWsAAw0GU.jpg",""
"=""1912190000667717987""","Hapa Bungoma wanasema murkomen ni incompetent after kusikia wasichana wanapigwa backshot uko Nairobi","Tweet","Ja Mtito▪️","mm3856674","4/15/2025, 8:03:17 PM","0","24","0","41","441","0","tl","No","Twitter for Android","","https://x.com/mm3856674/status/1912190000667717987","","",""
"=""1912014288992030828""","https://t.co/0KvM1QPENO","Tweet","KIPCHUMBA MURKOMEN, E.G.H","kipmurkomen","4/15/2025, 8:25:04 AM","13","19","0","81","9319","1","zxx","No","Twitter for Android","","https://x.com/kipmurkomen/status/1912014288992030828","photo","https://pbs.twimg.com/media/GojW2zlWYAAoY6A.jpg",""
"=""1913276805810728994""","Murkomen gazettes 2 new state lodges.  

Read the whole story here: https://t.co/S2umj5FPXs https://t.co/Z4ii0GRNal","Tweet","K24 TV","K24Tv","4/18/2025, 8:01:52 PM","1","2","0","7","3534","0","en","No","Twitter Web App","","https://x.com/K24Tv/status/1913276805810728994","photo","https://pbs.twimg.com/media/Go1TGKHWUAAgirq.png","https://tinyurl.com/bdzk8s4p"
"=""1912544408844509613""","Serikali ni yetu. Sisi tuko ndani ta serikali . Roads in Elgeyo Marakwet home to Cs Murkomen yet he was Transport CS before reshuffle https://t.co/yvb1JOE4bM","Tweet","Fransisco_Newbie 🂱🇰🇪","NewbieFransisco","4/16/2025, 7:31:35 PM","0","0","1","2","883","0","in","No","Twitter for Android","","https://x.com/NewbieFransisco/status/1912544408844509613","photo","https://pbs.twimg.com/media/Goq5ASHWkAA2M6U.jpg",""
"=""1888504161362166137""","Murkomen's grandfather aliua mtu kitambo and he went to seek refuge in Embobut akakua assimilated tu😂 I'm not lying . That's why hana specific clan among the Marakwet community 😂😂","Tweet","🇰🇪","BlacKosgei","2/9/2025, 11:24:13 AM","2","16","1","40","1203","1","en","No","Twitter for Android","","https://x.com/BlacKosgei/status/1888504161362166137","","",""
"=""1888503448724701434""","@BlacKosgei @Makiadi_ He's.","Quoted tweet","MOSET","KeKirwa","2/9/2025, 11:21:23 AM","0","0","1","0","1330","0","und","No","Twitter for Android","","https://x.com/KeKirwa/status/1888503448724701434","","",""
"=""1910693139892797460""","Is murkomen a cop?

Is Julius migosi a teacher?

Is soipan tuya a soldier?

Is duale a doctor?

Is wandayi an electrician?

Is joho even a graduate?

Education CS anatuona matako yake.

You can not stop an ejaculation which has already left the testicles.","Tweet","Nyaburi🇰🇪","Nyaburinyauma","4/11/2025, 4:55:18 PM","26","39","3","91","2174","0","en","No","Twitter for Android","","https://x.com/Nyaburinyauma/status/1910693139892797460","","",""
"=""1816060381577580847""","Joho &amp; Murkomen will be back to competing on TikTok on who has the latest collectible. 
I must be dreaming WTF is going on?","Tweet","Dr Reign","DoctorReign","7/24/2024, 1:38:30 PM","6","85","2","190","4294","0","en","No","Twitter for iPhone","","https://x.com/DoctorReign/status/1816060381577580847","","",""
"=""1879897062420156831""","Murkomen wants Elon musk to establish a physical presence for X  in Kenya so that they can tame this platform and limit free speech.
Wadau, tungojee Murkomen alazimishe Elon afanye hivo.. https://t.co/YkLnHUEa6s","Tweet","𝙱𝚛𝚒𝚊𝚗 𝙺𝚘𝚛𝚒𝚛","_Briankorir","1/16/2025, 5:22:41 PM","2","3","0","8","411","0","en","No","Twitter for Android","","https://x.com/_Briankorir/status/1879897062420156831","photo","https://pbs.twimg.com/media/Gha8UleXoAAH1pP.jpg",""
