"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1810590232036651021""","In FY 2021/2022, Ndindi Nyoro used Ksh 16.85M for diff projects in Kiharu. However upon verification , the projects were poorly done robbing constituents the full value of the money used.

Auditor General https://t.co/2x7JBNflS0","Tweet","Don Bull","mainandegwa232","7/9/2024, 11:22:05 AM","69","2667","50","2889","81553","68","en","No","Twitter for Android","","https://x.com/mainandegwa232/status/1810590232036651021","photo","https://pbs.twimg.com/media/GSCCNVkWkAAXKLF.jpg, https://pbs.twimg.com/media/GSCCNVgWkAAWId9.jpg",""
"=""1811412963141550233""","Esther Passaris
Karen Nyamu
Gloria Orwoba
Kimani Kuria
John Kiarie
Oscar Sudi
Ndindi Nyoro
Betty Maina
Johnston Sakaja
Alice Nganga

YOU’RE NEXT ! https://t.co/6H8rl4hvyr","Tweet","Morning Glory 🍆","wainoee","7/11/2024, 5:51:19 PM","131","3681","74","6452","115093","196","tl","No","Twitter for iPhone","","https://x.com/wainoee/status/1811412963141550233","video","https://video.twimg.com/ext_tw_video/1811412932439453696/pu/vid/avc1/554x314/rLwv1LPPRQkAdRcV.mp4?tag=12",""
"=""1800877734786465946""","Call Mr. Ndindi Nyoro, MP Kiharu Constituency. 

0726871329

Jam his phone with texts &amp; calls to reject the finance bill.

Remind him that he was elected to represent the voice of Kiharu.

Kiharu have a right to call, text, remind, and recall their MP 

#RespectMyHustle https://t.co/jwUHAktcbj","Tweet","Eric","amerix","6/12/2024, 4:08:05 PM","227","1693","25","6286","451430","173","en","No","Twitter for Android","#RespectMyHustle","https://x.com/amerix/status/1800877734786465946","photo","https://pbs.twimg.com/media/GP39ZRWWEAA9-mD.jpg",""
"=""1800805277651886286""","60% of your income goes to the taxman.

Whom are you working for?

You are working for the state.

You are a slave.

Refuse to be a slave.

Pick up your phone now, and call your member of parliament.

Tell him to reject The Finance Bill.

Add here their numbers.

#RespectMyHustle","Quoted tweet","Eric","amerix","6/12/2024, 11:20:10 AM","402","3727","110","10879","2509065","283","en","No","Twitter for Android","#RespectMyHustle","https://x.com/amerix/status/1800805277651886286","","",""
"=""1806590680631837172""","Finally you've seen Ndindi Nyoro as the fraud he is. A piece of shit hiding behind CDF and cabros.","Tweet","wangari M","wangari_mm","6/28/2024, 10:29:17 AM","63","2963","32","6692","116506","56","en","No","Twitter for Android","","https://x.com/wangari_mm/status/1806590680631837172","","",""
"=""1818261477356183695""","My Mt kenya brothers 

2027 please replace this mps with others . 

Kimani ichungwa and Ndindi Nyoro 

The two  are Ruto's handsmen used to spread, hate lies and divided You .

 They are the reason Mt Kenya is shambolic. 

They don't care about hustlers anymore. 

Jose Carmago https://t.co/vG4KxUrUiv","Tweet","Sen.Kennah","Kxervier","7/30/2024, 3:24:52 PM","23","46","4","178","28543","3","en","No","Twitter for Android","","https://x.com/Kxervier/status/1818261477356183695","photo","https://pbs.twimg.com/media/GTvDLP4WwAA5C-A.jpg, https://pbs.twimg.com/media/GTvDLU5WgAAKDex.jpg",""
"=""1816176430268518650""","Our Brothers and Sisters in the Security sector have been doing a great even in tough situations.

The Maraga Taskforce confirmed that they deserve better.

We have allocated Ksh 3.5Bn for increment of Salaries for our Police Officers.

We are African and Africa is our Business.. https://t.co/j3CDT3cmSK","Tweet","Ndindi Nyoro","NdindiNyoro","7/24/2024, 9:19:38 PM","351","152","22","1084","95923","25","en","No","Twitter for Android","","https://x.com/NdindiNyoro/status/1816176430268518650","video","https://video.twimg.com/ext_tw_video/1816176373343428608/pu/vid/avc1/848x480/_PW0ES68MvOcGeWx.mp4?tag=12",""
"=""1797870364992713050""","Have you guys realized that Ndindi Nyoro is always a chief guest in a fundraiser somewhere very REMOTE in the country? A church deep in the villages of Pokot, Turkana and now Samburu!

What if he is LAUNDERING money? Where else than a remote church away from public scrutiny? Deep https://t.co/kxZfbBCT0A","Tweet","Onyango Okello Oloo.","calvinokello4","6/4/2024, 8:57:52 AM","111","50","2","341","41761","14","en","No","Twitter Web App","","https://x.com/calvinokello4/status/1797870364992713050","photo","https://pbs.twimg.com/media/GPNReU1WsAAphow.jpg",""
"=""1764330021378826511""","In politics, you must be BOLD. You must enter action with boldness and intent.

This is Ndindi Nyoro @NdindiNyoro today in Bondo Siaya county, the ancestral home of Baba Raila Odinga.

I admire his tenacity and audacity. His actions, though may seem insignificant now but they https://t.co/2P62tVNXww","Tweet","Onyango Okello Oloo.","calvinokello4","3/3/2024, 7:40:31 PM","43","27","3","247","34855","10","en","No","Twitter for Android","","https://x.com/calvinokello4/status/1764330021378826511","photo","https://pbs.twimg.com/media/GHwoyuTXIAAgBMN.jpg",""
"=""1817461358654288253""","Ndindi Nyoro couldn't contain the heat 😂😂😂😂🤣 https://t.co/LZiMf4u5nB","Tweet","Charles Mugo","Charlie_Popeye","7/28/2024, 10:25:29 AM","5","7","0","16","1129","0","en","No","Twitter for Android","","https://x.com/Charlie_Popeye/status/1817461358654288253","photo","https://pbs.twimg.com/media/GTjreTEXQAAELay.jpg",""
"=""1818328775391637792""","I've been the biggest critic of cleo malala.
The man knows nothing about our party.
It's high time president ruto cracks the whip and send people like malala home.
He's an Elevated mca,I concur with oscar sudi https://t.co/BLuZfPN8J7","Tweet","Ndindi Nyoro","ndindi_nyoro1","7/30/2024, 7:52:17 PM","1","0","0","3","548","0","en","No","Twitter for Android","","https://x.com/ndindi_nyoro1/status/1818328775391637792","photo","https://pbs.twimg.com/media/GTwAYc2W8AIFEmF.jpg, https://pbs.twimg.com/media/GTwAYcwW8AAwMUW.jpg, https://pbs.twimg.com/media/GTwAYfAW8AYggNi.jpg",""
"=""1816773130603356611""","Man U signed Ndindi Nyoro😭😭😂😂 https://t.co/LK94roNYFk","Tweet","Omari","omari_kenya","7/26/2024, 12:50:43 PM","0","0","0","1","39","0","tl","No","Twitter for Android","","https://x.com/omari_kenya/status/1816773130603356611","photo","https://pbs.twimg.com/media/GTZ5hQ8X0AAzZa5.jpg",""
"=""1816383971086709076""","Even with major Rationalisation of the Budget, we have made sure the amount to confirm to Permanent and Pensionable terms the great Kenyans on Internship in the JSS is not cut.

We safeguarded the entire amount allocated in the Budget.

We are African and Africa is our Business.. https://t.co/MnznLieXlH","Tweet","Ndindi Nyoro","NdindiNyoro","7/25/2024, 11:04:20 AM","236","108","8","683","66876","9","en","No","Twitter for Android","","https://x.com/NdindiNyoro/status/1816383971086709076","video","https://video.twimg.com/ext_tw_video/1816383484551634944/pu/vid/avc1/848x480/QcmFoNc3Z7KqZbyM.mp4?tag=12",""
"=""1764206246440149370""","Ndindi Nyoro lands at Kisumu International Airport en route to Bondo https://t.co/Y0VPXNjeDI","Tweet","Kenyans.co.ke","Kenyans","3/3/2024, 11:28:41 AM","63","130","13","2097","89083","8","tl","No","Twitter Web App","","https://x.com/Kenyans/status/1764206246440149370","photo","https://pbs.twimg.com/media/GHu4MykWEAAHFVM.jpg",""
"=""1818340928643338309""","The impeachment against Deputy President Rigathi Gachagua will not sail through, count Wiper Out and Mt Kenya MPs save for Kimani Ichungwa and Ndindi Nyoro. Only ODM MPs and those from the Rift Valley will VOTE YES https://t.co/Rb44h9TBc4","Tweet","The Government Critic 🇰🇪","magwaz3","7/30/2024, 8:40:35 PM","16","46","1","116","11626","2","en","No","Twitter for Android","","https://x.com/magwaz3/status/1818340928643338309","photo","https://pbs.twimg.com/media/GTwLYiSW0AA3HsC.jpg, https://pbs.twimg.com/media/GTwLYmYXcAASZ1X.jpg",""
"=""1817458878658826332""","Kimani Ichungwa who used to beat his chest is currently a worried man. It's said the Finance docket was supposed to be given to either him or Ndindi Nyoro until baba happened. They're currently on the process of reconciling with Gachagua &amp; baba Ngina. It's about to be messy.","Tweet","George T. Diano","georgediano","7/28/2024, 10:15:38 AM","126","1652","13","5199","135614","68","en","No","Twitter Web App","","https://x.com/georgediano/status/1817458878658826332","","",""
"=""1812498843440755110""","Zakayo ameisha 😂😂😂

#TrumpIsAnExistentialThreat kahawa barracks  staged Gen Z funders BREAKING NEWS President Donald Trump Mungiki. DCI and NIS #StopSabotagingRuto HE'S ALIVE Ndindi Nyoro Eldoret  DEAL DONE https://t.co/CSUkikDtkj","Tweet","Eng. Andrew Kiprono","Andrewkirop","7/14/2024, 5:46:13 PM","1","6","0","17","6415","3","en","No","Twitter for Android","#TrumpIsAnExistentialThreat, #StopSabotagingRuto","https://x.com/Andrewkirop/status/1812498843440755110","video","https://video.twimg.com/ext_tw_video/1812498734879473664/pu/vid/avc1/1280x720/LCC4LA2riv1iBW6t.mp4?tag=12",""
"=""1814673815701443051""","Today, Saturday the Budget &amp; Appropriations Committee continued with the process of revising the Budget for FY 2024/25. We held 7 meetings with the Chairpersons of Departmental Committees on the Budgetary Allocations of various MDAs.

We are African and Africa is our Business.. https://t.co/Ek0MZXBO2I","Tweet","Ndindi Nyoro","NdindiNyoro","7/20/2024, 5:48:47 PM","157","39","1","312","30155","3","en","No","Twitter for Android","","https://x.com/NdindiNyoro/status/1814673815701443051","photo","https://pbs.twimg.com/media/GS8ENNQXcAAVr0c.jpg, https://pbs.twimg.com/media/GS8ENRTW8AAd-kB.jpg, https://pbs.twimg.com/media/GS8ENTzWwAA5kHz.jpg, https://pbs.twimg.com/media/GS8ENOWXUAAwCCI.jpg",""
"=""1817956102262194408""","Today, we launched works on various roads.

Gaitheri - Thuita Rd.

Kariciungu - Gitui - Kirogo Rd

Kiaguthu - Kaganda Rd

 The roads will ease mobility.

Hon Gathee, Hon Wa Kang'ata, Hon Munga, Hon Mark and the great residents attended.

We are African and Africa is our Business. https://t.co/vCJl1yUT3b","Tweet","Ndindi Nyoro","NdindiNyoro","7/29/2024, 7:11:25 PM","96","33","3","322","18955","0","en","No","Twitter for Android","","https://x.com/NdindiNyoro/status/1817956102262194408","photo","https://pbs.twimg.com/media/GTqta60XwAAly1z.jpg, https://pbs.twimg.com/media/GTqta4JX0AAwPhl.jpg, https://pbs.twimg.com/media/GTqta7aXsAALpkn.jpg, https://pbs.twimg.com/media/GTqta6yWIAA6j3K.jpg",""
"=""1814300738996015538""","The Budget and Appropriations Committee is having intensive meetings with the Departmental Committee Chairpersons as we align our Budget.

We have held 12 meeting today as we aim to fund critical areas &amp; uphold minimal deficit.

We are African and Africa is our Business.. https://t.co/dyVHCVqwOW","Tweet","Ndindi Nyoro","NdindiNyoro","7/19/2024, 5:06:18 PM","206","48","6","456","38366","6","en","No","Twitter for Android","","https://x.com/NdindiNyoro/status/1814300738996015538","photo","https://pbs.twimg.com/media/GS2w5QWWUAAPVLr.jpg, https://pbs.twimg.com/media/GS2w5RUWcAAnEgN.jpg, https://pbs.twimg.com/media/GS2w5TaXAAAvOLY.jpg, https://pbs.twimg.com/media/GS2w5b7WoAAoxhe.jpg",""
"=""1769634202331295852""","Has anyone noticed how Ndindi Nyoro is very passionate about education? @NdindiNyoro

In the same way President Ruto was passionate about the Church, Nyoro is turning the education sector his political chariot.

It is important to note that in the next 10-20 years, the students https://t.co/qYJLH1M1Mr","Tweet","Onyango Okello Oloo.","calvinokello4","3/18/2024, 10:57:26 AM","40","20","5","206","27852","3","en","No","Twitter for Android","","https://x.com/calvinokello4/status/1769634202331295852","photo","https://pbs.twimg.com/media/GI8A7CyWgAAsddI.jpg",""
"=""1815729883122721019""","Aki nyinyi criminals
Mumefanya president ruto akae nikama amechanganyikiwa.
Replacing Duale with soipan Tuya is a BIG JOKE https://t.co/peyucwL03v","Tweet","Ndindi Nyoro","ndindi_nyoro1","7/23/2024, 3:45:13 PM","0","0","0","2","1022","0","tl","No","Twitter for Android","","https://x.com/ndindi_nyoro1/status/1815729883122721019","photo","https://pbs.twimg.com/media/GTLEtJ1WsAAfr4b.jpg",""
"=""1812503588238725315""","Ndindi Nyoro is an American and America is his business https://t.co/JoimjCrr5o","Tweet","The Government Critic 🇰🇪","magwaz3","7/14/2024, 6:05:04 PM","7","23","0","89","5905","2","tl","No","Twitter for Android","","https://x.com/magwaz3/status/1812503588238725315","photo","https://pbs.twimg.com/media/GSdOZqwXIAAqjae.jpg",""
"=""1745528960035823964""","Truth be told , Ndindi Nyoro has earned himself National Recognition &amp; Admiration. Hongera @NdindiNyoro . Is your Mp performing or with CDF monies he’s strategizing on being Governor. Best MPs should indeed rise to being Governors but rogue MPs shouldn’t! https://t.co/4un6fjaG3P","Tweet","KeeruH","Keerulanah","1/11/2024, 10:31:49 PM","26","34","1","220","9020","0","en","No","Twitter for iPhone","","https://x.com/Keerulanah/status/1745528960035823964","photo","https://pbs.twimg.com/media/GDldVL3X0AAVsCs.jpg",""
"=""1816194797637623923""","Blood Pressure, chumvi na  sukali levels za Ndindi Nyoro Saa Hii zimepanda https://t.co/yQeLJeNFeP","Tweet","Jame","Cjamehk","7/24/2024, 10:32:37 PM","12","54","7","106","7812","11","tl","No","Twitter Web App","","https://x.com/Cjamehk/status/1816194797637623923","video","https://video.twimg.com/ext_tw_video/1816194423488761856/pu/vid/avc1/640x360/O4ZNAs33M_JTv-Ki.mp4?tag=12",""
"=""1815445237562548578""","The Budget and Appropriations Committee today met the team from the National Treasury led by the Prime Cabinet Secretary H.E Musalia Mudavadi.

The Team explained the background and rationale of the Rationalisation of the Budget.

We are African and Africa is our Business.. https://t.co/BPSDEqFcif","Tweet","Ndindi Nyoro","NdindiNyoro","7/22/2024, 8:54:08 PM","119","28","1","268","27947","3","en","No","Twitter for Android","","https://x.com/NdindiNyoro/status/1815445237562548578","photo","https://pbs.twimg.com/media/GTHBzskWUAA5Vdg.jpg, https://pbs.twimg.com/media/GTHBztcXsAA_qJO.jpg, https://pbs.twimg.com/media/GTHBzuwWAAAFlLh.jpg, https://pbs.twimg.com/media/GTHBzxpWgAAZMKQ.jpg",""
"=""1812497350834745564""","Meanwhile, pale Uganda Ministers wanalala hadi wanaota Museveni akisoma speech, wueeh.😂😂😂

Ndindi Nyoro | Raila | #RutoMustGo | Kahawa Barracks | UgandaIsNotKenya https://t.co/0Ru9G13nBW","Tweet","Ibrahim Koros","Ibrahkiprotich","7/14/2024, 5:40:17 PM","1","7","1","25","5710","4","et","No","Twitter for Android","#RutoMustGo","https://x.com/Ibrahkiprotich/status/1812497350834745564","video","https://video.twimg.com/ext_tw_video/1812451474653274112/pu/vid/avc1/480x352/3iG-QUnQtGYx8S-i.mp4?tag=12",""
"=""1791034606449246498""","Moses Kuria and Ndindi Nyoro are leading a scorched earth campaign against Rigathi Gachagua among the Agikuyu, yet they are supposedly leading members of ⁦@WilliamsRuto⁩’s KK administration. Did these people learn anything from despot Kenyatta’s failed “divide and rule”? https://t.co/C7JEOQKPRe","Tweet","Dr. Miguna Miguna","MigunaMiguna","5/16/2024, 12:15:00 PM","20","61","2","422","95992","8","en","No","Twitter for iPhone","","https://x.com/MigunaMiguna/status/1791034606449246498","photo","https://pbs.twimg.com/media/GNsIeCGWgAA5muS.jpg",""
"=""1818026699168133580""","Ndindi Nyoro: Sirkal oketo Ksh57B mar tieko gedo mag apeyni.

#Oimore @LydiahOkeyo https://t.co/OBOQyjcdtp","Tweet","Ramogi Tv","RamogiTVKe","7/29/2024, 11:51:57 PM","0","0","0","1","61","0","tl","No","Twitter Media Studio","#Oimore","https://x.com/RamogiTVKe/status/1818026699168133580","video","https://video.twimg.com/amplify_video/1818016935092637696/vid/avc1/1280x720/n6-6fEYKsvM1G5Hm.mp4?tag=14",""
"=""1816118159365021813""","Confirmation of JSS Intern Teachers can't wait ~ Ndindi Nyoro https://t.co/tKRWwLfGmT","Tweet","NAIROBI TRENDING","Nairobi_Trend_","7/24/2024, 5:28:05 PM","0","1","0","2","153","0","en","No","Twitter for Android","","https://x.com/Nairobi_Trend_/status/1816118159365021813","video","https://video.twimg.com/ext_tw_video/1816118069078499328/pu/vid/avc1/720x720/Q-EUFz0kdCIMen4Q.mp4?tag=12",""
"=""1745680803638452661""","Ndindi Nyoro: Why I train my staff on how to respond to phone calls https://t.co/u9ycZtHGHY https://t.co/NaGOb89Oau","Tweet","NTV Kenya","ntvkenya","1/12/2024, 8:35:11 AM","10","62","2","1472","66251","8","en","No","Hootsuite Inc.","","https://x.com/ntvkenya/status/1745680803638452661","photo","https://pbs.twimg.com/media/GDnncNZXkAAx1V1.jpg","https://ow.ly/fAl650Qqf1w"
"=""1789324708594266599""","Ndindi Nyoro flies to Turkana to attend the Kerio Delta Women Empowerment Program https://t.co/7R6f5RHLtr","Tweet","Kenyans.co.ke","Kenyans","5/11/2024, 7:00:29 PM","11","43","3","1068","39428","2","en","No","TweetDeck Web App","","https://x.com/Kenyans/status/1789324708594266599","photo","https://pbs.twimg.com/media/GNT1UsVXsAAZvWL.jpg",""
"=""1815699043416244242""","The Budget and Appropriations Committee, led by Hon. Ndindi Nyoro, met with Auditor General FCPA Nancy Gathungu to discuss the Supplementary Estimates 1 for FY 2024/25. https://t.co/Ih3BA9Ztzv","Tweet","Florence Jematiah Sergon, MP","JematiahSergon","7/23/2024, 1:42:40 PM","17","16","0","122","8709","3","en","No","Twitter for Android","","https://x.com/JematiahSergon/status/1815699043416244242","photo","https://pbs.twimg.com/media/GTKoohKXUAALd5W.jpg, https://pbs.twimg.com/media/GTKoo7VXcAA46HP.jpg, https://pbs.twimg.com/media/GTKopMXW8AAMKj5.jpg",""
"=""1816740196311806042""","Chenye Ruto hajui ni 😂😂 bringing in veteran opposition leaders into government might destroy him 😂 kina ndindi nyoro na kimani ichungwa will face it rough.. I see division in Kenya Kwanzaa coalition soon","Tweet","Ole sankei SKS","stanley_kamakei","7/26/2024, 10:39:50 AM","2","9","0","15","464","0","en","No","Twitter for Android","","https://x.com/stanley_kamakei/status/1816740196311806042","","",""
"=""1816363275195498501""","Eish! RUTO ni player. Amewapanga Ile serious.😄 Maze! If you never saw this coming, please quit politics.  
Ndindi Nyoro ako bench warm up🤣
_
#OccupyCBDThursday Mlolongo Moses Kuria James Orengo Rigathi Gachagua https://t.co/JR3A4uM9OG","Tweet","M. Vincent","omeleivincent","7/25/2024, 9:42:05 AM","0","1","0","3","1575","2","tl","No","Twitter for Android","#OccupyCBDThursday","https://x.com/omeleivincent/status/1816363275195498501","photo","https://pbs.twimg.com/media/GTUExBiXoAAvRo4.jpg",""
"=""1817441127177257398""","Manchester United signed Leny Yoro only to find out its Ndindi Nyoro","Tweet","Mai_na🦩","Its_VickP","7/28/2024, 9:05:05 AM","0","5","0","10","364","0","en","No","Twitter for Android","","https://x.com/Its_VickP/status/1817441127177257398","","",""
"=""1813912548716269576""","Uzuri Raila akiingia government,, kina ndindi nyoro na ichungwa watakuwa na rough time 😂😂 we wait for more drama","Tweet","Ole sankei SKS","stanley_kamakei","7/18/2024, 3:23:47 PM","2","6","0","18","255","0","tl","No","Twitter for Android","","https://x.com/stanley_kamakei/status/1813912548716269576","","",""
"=""1810344560263856311""","Ndindi Nyoro paid women to dance for him in kiharu today. He is back with the sixth nonsense. Time to abolish CDF.

#RutoMustGo","Tweet","wangari M","wangari_mm","7/8/2024, 7:05:52 PM","6","184","2","297","8218","2","en","No","Twitter for Android","#RutoMustGo","https://x.com/wangari_mm/status/1810344560263856311","","",""
"=""1816743060803383658""","Ety Sasa ndindi nyoro na kuria kimani will be reporting to mbadi 💔😂😂 down fall everywhere 💔😂😂","Tweet","Ole sankei SKS","stanley_kamakei","7/26/2024, 10:51:13 AM","2","6","0","14","339","0","tl","No","Twitter for Android","","https://x.com/stanley_kamakei/status/1816743060803383658","","",""
"=""1818193184075239685""","Where is Ndindi Nyoro...
Kenyans are worried of his loud silence.
He went mute, it's been a while since heard from this great economist. https://t.co/qsFkOPVrKI","Tweet","Andrew Muoki","AndrewMuoki2","7/30/2024, 10:53:30 AM","0","3","0","3","154","0","en","No","Twitter for Android","","https://x.com/AndrewMuoki2/status/1818193184075239685","photo","https://pbs.twimg.com/media/GTuFEE7XoAAJjhh.jpg",""
"=""1751113145408430145""","Ndindi Nyoro in traditional attire during his tour of Tana River https://t.co/tb2TP3jcpc","Tweet","Kenyans.co.ke","Kenyans","1/27/2024, 8:21:22 AM","60","76","10","1493","57277","1","en","No","TweetDeck Web App","","https://x.com/Kenyans/status/1751113145408430145","photo","https://pbs.twimg.com/media/GE00HUfWEAE2p7J.jpg",""
"=""1812499855731777738""","Mukuru (Kware) is not Ndindi Nyoro's business or the people who were killed during protests. The IEBC commissioners need to be appointed quickly so that we recall such stpid MPs

#RutoMustGo
Raila Odinga https://t.co/UELKPgeQq0","Tweet","The Government Critic 🇰🇪","magwaz3","7/14/2024, 5:50:14 PM","3","17","0","57","6860","1","en","No","Twitter for Android","#RutoMustGo","https://x.com/magwaz3/status/1812499855731777738","photo","https://pbs.twimg.com/media/GSdLAcNWwAALx65.jpg",""
"=""1818320365963096187""","Ndindi Nyoro in 2021: The government needs money to keep on bribing the leaders of handshake. What changed? https://t.co/jYDKAIpPbS","Tweet","Bill™","PJ36_","7/30/2024, 7:18:52 PM","2","2","2","4","1091","1","en","No","Twitter for Android","","https://x.com/PJ36_/status/1818320365963096187","video","https://video.twimg.com/ext_tw_video/1655941013565997060/pu/vid/426x234/oBmLGsV_OD9OEA3x.mp4?tag=12",""
"=""1813906171633291411""","Kina Rigathi Gachagua, Ichungwah na Ndindi Nyoro watajua hawajui! They will not believe! #RutoMustGo https://t.co/un1cPL9dff","Tweet","Cornelius K. Ronoh","itskipronoh","7/18/2024, 2:58:26 PM","38","386","5","951","16014","3","in","No","Twitter for iPhone","#RutoMustGo","https://x.com/itskipronoh/status/1813906171633291411","photo","https://pbs.twimg.com/media/GSxKC7BX0AAuuS-.jpg",""
"=""1812530788128129428""","Get these Air Max 
Size 38-45 available
DM @Vins_Clad_Houz 
Call or WhatsApp 0716658027
Location Eldoret
Delivery done countrywide

Mama ngina front Ndindi Nyoro
 kahawa barracks  Wanjigi Tuesday is Tuesday City Mortuary Kware https://t.co/oEjoa74nJU","Tweet","NYABOKE 💙","Daisy_Dariann","7/14/2024, 7:53:09 PM","0","33","1","35","8768","0","en","No","Twitter for Android","","https://x.com/Daisy_Dariann/status/1812530788128129428","photo","https://pbs.twimg.com/media/GSdnJGfWIAAlc-9.jpg, https://pbs.twimg.com/media/GSdnJSlWwAA_85Q.jpg, https://pbs.twimg.com/media/GSdnJO8WQAAKduq.jpg, https://pbs.twimg.com/media/GSdnJGsXEAEYHfS.jpg",""
"=""1771214406841451014""","Ndindi Nyoro is being used by Zakayo to DIVIDE the GEMA community.....#KikuyuKwisha","Tweet","Ndegwa Njiru Adv.","NjiruAdv","3/22/2024, 7:36:36 PM","62","45","6","341","19497","5","en","No","Twitter Web App","#KikuyuKwisha","https://x.com/NjiruAdv/status/1771214406841451014","","",""
"=""1815349163502027205""","Buana I used to hear people like Kimani ichungwa...oscar sudii  and ndindi nyoro what really  happened to them...they are nowhere to be seen nowdays","Tweet","KBJAY 001🇰🇪🇰🇪","JoramOny","7/22/2024, 2:32:22 PM","1","2","0","5","177","0","en","No","Twitter for Android","","https://x.com/JoramOny/status/1815349163502027205","","",""
"=""1818360034662981835""","The tactical silence of Ndindi Nyoro during this tense period will mature in 3 months. Just wait and see! They are cooking something behind the scenes about murima.","Tweet","Chris Sambu","the_sambu","7/30/2024, 9:56:30 PM","18","197","7","626","31687","18","en","No","Twitter Web App","","https://x.com/the_sambu/status/1818360034662981835","","",""
"=""1812518769350136048""","Ruto Must Go

#Spain Tuesday is Tuesday DEAL DONE GenZ Ndindi Nyoro Mungiki Wanjigi Mama Ngina Waterfront #OccupyNyamira Nyandarua County Eldoret Saka Kware Embakasi South GenZ Funders Raila #UgandaIsNotKenya #TrumpAssassinationAttempt https://t.co/N8URqHqWIl","Tweet","Bigmitch Jatelo","bigmitchjatelo","7/14/2024, 7:05:24 PM","0","0","1","2","1583","0","tl","No","Twitter for iPhone","#Spain, #OccupyNyamira, #UgandaIsNotKenya, #TrumpAssassinationAttempt","https://x.com/bigmitchjatelo/status/1812518769350136048","photo","https://pbs.twimg.com/media/GSdcNORXoAAP3RH.jpg",""
