"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1912005963541815553""","Archeologists in 5020 trying to discover the remains of Millicent Omanga.😂 https://t.co/Y32OeXyy5C","Tweet","OPUK™","ItsOpuk","4/15/2025, 7:51:59 AM","752","2230","117","12908","1446144","455","en","No","Twitter for Android","","https://x.com/ItsOpuk/status/1912005963541815553","photo","https://pbs.twimg.com/media/GojPSVDW8AAP5XO.jpg",""
"=""1913904355360616731""","Jesus chilling at Omanga Headquarters after resurrection 😂😂 https://t.co/CyZgUWoODM","Tweet","OPUK™","ItsOpuk","4/20/2025, 1:35:31 PM","156","362","15","2074","73048","23","en","No","Twitter for Android","","https://x.com/ItsOpuk/status/1913904355360616731","photo","https://pbs.twimg.com/media/Go-N3jqXQAAFqFJ.jpg",""
"=""1914176695545844042""","Me in-between Millicent Omanga's thighs working so hard ndio nipate za PS5. https://t.co/3QqN37fDVt","Tweet","Bakhresa™","Shi_ngapi","4/21/2025, 7:37:42 AM","35","55","1","185","2038","4","en","No","Twitter for Android","","https://x.com/Shi_ngapi/status/1914176695545844042","photo","https://pbs.twimg.com/media/GpCFjdmXwAAL76B.jpg",""
"=""1913304158922305704""","Start one and Bench one.
Karen Nyamu vs Omanga https://t.co/1gIWsIAtHq","Tweet","DANTE","itsdante_nrg","4/18/2025, 9:50:33 PM","70","30","4","263","7218","1","in","No","Twitter for Android","","https://x.com/itsdante_nrg/status/1913304158922305704","photo","https://pbs.twimg.com/media/Go1r9qNXYAA6ntg.jpg, https://pbs.twimg.com/media/Go1r9pzXUAM6CRE.jpg",""
"=""1911494574326849622""","Taxin ni kubwa kuliko haga ya omanga","Tweet","gambler🍁","JB_waruingi01","4/13/2025, 9:59:55 PM","4","50","1","85","796","0","tl","No","Twitter for Android","","https://x.com/JB_waruingi01/status/1911494574326849622","","",""
"=""1912131958160711929""","Susan  and her friend Omanga https://t.co/XyDhXcLeqe","Tweet","𝘽𝙞𝙇𝙇","Bill_valar","4/15/2025, 4:12:39 PM","0","4","0","9","981","1","tl","No","Twitter for Android","","https://x.com/Bill_valar/status/1912131958160711929","photo","https://pbs.twimg.com/media/GolB4DuWoAANI22.jpg",""
"=""1912131635929133341""","Susan Kihika should also be raided by EACC in Texas and be deported.","Quoted tweet","Yoko","Kibet_bull","4/15/2025, 4:11:22 PM","14","100","2","439","10162","2","en","No","Twitter for Android","","https://x.com/Kibet_bull/status/1912131635929133341","","",""
"=""1912559123608269041""","Hon Millicent Omanga vs a follower.

The online world is not for the weak. https://t.co/bKtFONtL5F","Tweet","DP 🇰🇪","DanChepta","4/16/2025, 8:30:03 PM","4","1","0","3","587","0","en","No","Twitter for Android","","https://x.com/DanChepta/status/1912559123608269041","photo","https://pbs.twimg.com/media/GorGYsOacAI_IoB.jpg",""
"=""1912559940155081127""","Millicent omanga vs fans https://t.co/ZTMdGvkwRj","Tweet","G-MaIL","brianbob1133","4/16/2025, 8:33:18 PM","0","3","0","6","212","0","en","No","Twitter for Android","","https://x.com/brianbob1133/status/1912559940155081127","photo","https://pbs.twimg.com/media/GorHIOPXoAAFBYf.jpg",""
"=""1913267163261010027""","i miss being in love","Tweet","Silver Fox 🦊","livin_omanga","4/18/2025, 7:23:33 PM","6","12","9","33","2723","0","en","No","Twitter Web App","","https://x.com/livin_omanga/status/1913267163261010027","","",""
"=""1910724904434941954""","Zimeshika kuliko kata mafi ya Omanga gadamn","Tweet","Kajiado_west_Niccur","Kajiado_Niccur_","4/11/2025, 7:01:31 PM","0","29","0","32","355","0","in","No","Twitter for Android","","https://x.com/Kajiado_Niccur_/status/1910724904434941954","","",""
"=""1914274801843060822""","Millicent omanga enjoying her holiday","Tweet","DJ Rock ™","254_Rock","4/21/2025, 2:07:32 PM","0","0","0","0","25","0","en","No","Twitter for Android","","https://x.com/254_Rock/status/1914274801843060822","","",""
"=""1913970362875789460""","Meanwhile..... My Naivasha Happy Easter has been rudely interrupted 🥲 https://t.co/kRlsoUGnwC","Quoted tweet","George Njoroge","georgenjoroge_","4/20/2025, 5:57:49 PM","97","282","67","938","113270","178","en","No","Twitter for iPhone","","https://x.com/georgenjoroge_/status/1913970362875789460","video","https://video.twimg.com/amplify_video/1913970086987104256/vid/avc1/480x848/zLt_JklNMM8FPTr9.mp4?tag=14",""
"=""1913599222181507221""","Zangu zimeshika kama weave ya Millicent Omanga","Tweet","Mr Njagi","njagi003","4/19/2025, 5:23:02 PM","2","16","0","30","246","0","et","No","Twitter for Android","","https://x.com/njagi003/status/1913599222181507221","","",""
"=""1913639286580117887""","Taxin ni big kama ngotha ya omanga","Tweet","GREATKOFFIE🇰🇪","G_Koffie","4/19/2025, 8:02:14 PM","8","47","1","74","766","0","tl","No","Twitter for Android","","https://x.com/G_Koffie/status/1913639286580117887","","",""
"=""1911291491613290776""","This is the photo that made me get blocked by omanga https://t.co/pa29IvDgjM","Tweet","Yulemrasta","yulemrasta","4/13/2025, 8:32:56 AM","2","0","0","4","946","0","en","No","Twitter for Android","","https://x.com/yulemrasta/status/1911291491613290776","photo","https://pbs.twimg.com/media/GoZFe2VWIAAudhO.jpg",""
