"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1873830520477671545""","@Osama_otero Wewe ...kaa na Orwoba wako https://t.co/ekcCDeRljS","Reply","Greenlight","grinlightmedia","12/30/2024, 11:36:24 PM","0","1","0","0","103","0","pl","No","Twitter Web App","","https://x.com/grinlightmedia/status/1873830520477671545","photo","https://pbs.twimg.com/media/GgEu0sJXsAAlK7t.jpg",""
"=""1873728677785342331""","@LuckyMbabazi Ruto must go!! Manifesting...","Reply","Carlos Orwoba","orwobacarlos","12/30/2024, 4:51:43 PM","0","0","0","0","23","0","en","No","Twitter for Android","","https://x.com/orwobacarlos/status/1873728677785342331","","",""
"=""1873615646384353632""","@JDMahama @WilliamsRuto You visited Gloria Orwoba and passed by to greet the. president","Reply","Dr. Weasel","kayavince1","12/30/2024, 9:22:34 AM","0","0","0","0","26","0","en","No","Twitter for Android","","https://x.com/kayavince1/status/1873615646384353632","","",""
"=""1873580659505238116""","@citizentvkenya Hawa ndio wanakula Senator orwoba","Reply","BRIAN MUTISO","Brianmu16662149","12/30/2024, 7:03:33 AM","0","0","0","0","18","0","in","No","Twitter for Android","","https://x.com/Brianmu16662149/status/1873580659505238116","","",""
"=""1873422141317861873""","@AmakanjiThomas @gladyswanga @OkenyuriEsther @paulinenjoroge @gloria_orwoba @JunetMohamed @KIMANIICHUNGWAH @CecilyMbarire @AnneWaiguru @Hon_FatumaGedi Yours is circumcised that's why you have hypnotised by William Ruto.","Reply","Wilberforce Ondato","WilberforceOnd4","12/29/2024, 8:33:39 PM","0","0","0","0","28","0","en","No","Twitter for Android","","https://x.com/WilberforceOnd4/status/1873422141317861873","","",""
"=""1873409855144460537""","Gloria Orwoba must be salivating for another catch here. You needed to invite her, so that when he retires and hits 90 years+, she will be ready to carry his pregnancy","Tweet","Nabongo","okaki_lawrence","12/29/2024, 7:44:50 PM","0","0","0","0","27","0","en","No","Twitter for Android","","https://x.com/okaki_lawrence/status/1873409855144460537","","",""
"=""1873408904350077051""","Kenya will enhance her relations with Ghana to include more sectors in trade and investment, agriculture, mining, tourism, oil and gas. 

This will broaden opportunities for the people of our two countries and ensure  the shared prosperity of the people of the two nations. https://t.co/HkXbuaTygl","Quoted tweet","William Samoei Ruto, PhD","WilliamsRuto","12/29/2024, 7:41:03 PM","66","23","5","197","18886","5","en","No","Twitter for iPhone","","https://x.com/WilliamsRuto/status/1873408904350077051","photo","https://pbs.twimg.com/media/Gf-tve4WUAAURIK.jpg, https://pbs.twimg.com/media/Gf-tve7WoAA-Xmf.jpg, https://pbs.twimg.com/media/Gf-tve5WgAAft9u.jpg, https://pbs.twimg.com/media/Gf-tve4WgAASalh.jpg",""
"=""1873409377534935230""","@WilliamsRuto Gloria Orwoba is waiting for his retirement. Why didn't you invite her knowing this is her type. But when he attains 90 years+","Reply","Nabongo","okaki_lawrence","12/29/2024, 7:42:56 PM","0","0","0","1","224","0","en","No","Twitter for Android","","https://x.com/okaki_lawrence/status/1873409377534935230","","",""
"=""1873408792433680439""","@WilberforceOnd4 @gladyswanga @OkenyuriEsther @paulinenjoroge @gloria_orwoba @JunetMohamed @KIMANIICHUNGWAH @CecilyMbarire @AnneWaiguru @Hon_FatumaGedi You are not ashamed when someone undress your mother &amp; pin her online like this? Your brain is uncircumcised unfortunately","Reply","Amakanji Thomas","AmakanjiThomas","12/29/2024, 7:40:37 PM","1","0","0","1","41","0","en","No","Twitter for iPhone","","https://x.com/AmakanjiThomas/status/1873408792433680439","","",""
"=""1873408183848546492""","@WilliamsRuto Just say you've found senator Orwoba a future husband after his retirement","Reply","kundu","giddy_wez","12/29/2024, 7:38:11 PM","0","0","0","1","133","0","en","No","Twitter for Android","","https://x.com/giddy_wez/status/1873408183848546492","","",""
"=""1873387815041737176""","@gladyswanga 
@OkenyuriEsther 
@paulinenjoroge 
@gloria_orwoba 
@JunetMohamed 
@KIMANIICHUNGWAH 
@AmakanjiThomas 
@CecilyMbarire 
@AnneWaiguru 
@Hon_FatumaGedi na mtado.","Tweet","Wilberforce Ondato","WilberforceOnd4","12/29/2024, 6:17:15 PM","1","0","0","0","37","0","pt","No","Twitter for Android","","https://x.com/WilberforceOnd4/status/1873387815041737176","","",""
"=""1873302356831731903""","@Bookten8 Gloria orwoba 😎","Reply","fᵒʳᵗᵘⁿᵉ™🌐","FortuneClinton3","12/29/2024, 12:37:40 PM","0","0","0","0","10","0","cy","No","Twitter for Android","","https://x.com/FortuneClinton3/status/1873302356831731903","","",""
"=""1873225783084499105""","Our Christian brothers and sisters as you go to Church today pray for our country. 

Looking at today's Newspaper Headlines a lot is happening in Kenya at the moment from abductions, to Gachagua, to Ruto to Gloria Orwoba giving birth from her relationship with Ghana President. https://t.co/9kCnB76M8F","Tweet","Mr Black⁛","MrBlackOG","12/29/2024, 7:33:24 AM","0","2","0","18","3166","0","en","No","Twitter for Android","","https://x.com/MrBlackOG/status/1873225783084499105","photo","https://pbs.twimg.com/media/Gf8I67BWMAAwFuP.jpg, https://pbs.twimg.com/media/Gf8I65NWoAAzdXd.jpg, https://pbs.twimg.com/media/Gf8I6-TW4AALBbK.jpg, https://pbs.twimg.com/media/Gf8I64fX0AA8Nwi.jpg",""
"=""1873080575139180996""","@gloria_orwoba umeyamaza sana......Uko sawa omwana ominto?","Tweet","Geoffrey Tom","GeoffreyTom7","12/28/2024, 9:56:23 PM","0","0","0","0","5","0","und","No","Twitter for Android","","https://x.com/GeoffreyTom7/status/1873080575139180996","","",""
"=""1873045300287516707""","@britneywayio Mbona ananikalia Gloria orwoba💀😂😂","Reply","Kamau","_mankamaa","12/28/2024, 7:36:13 PM","1","0","0","0","9","0","pl","No","Twitter for Android","","https://x.com/_mankamaa/status/1873045300287516707","","",""
