"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1911458289243599070""","Hahaha Hash Grill Pangani invited this comedian who plays Ruto and came with a low-budget Rachel bwana 😂😂😂 https://t.co/txASnFUCWJ","Tweet","MUHAMMAD ONYANGO","Moha001_Onyango","4/13/2025, 7:35:43 PM","23","246","8","1333","66618","105","en","No","Twitter for iPhone","","https://x.com/Moha001_Onyango/status/1911458289243599070","video","https://video.twimg.com/amplify_video/1911458221845319680/vid/avc1/634x360/oETKU8__YbFxW_ML.mp4?tag=16",""
"=""1910244591736865189""","Rachel Ruto is the best gift that Butere Girls has ever given to this nation.  We salute them https://t.co/t7MSt0VilQ","Tweet","Peter Kariuki","PeterKariukiKE","4/10/2025, 11:12:55 AM","3","0","0","4","350","0","en","No","Twitter for Android","","https://x.com/PeterKariukiKE/status/1910244591736865189","photo","https://pbs.twimg.com/media/GoKNVPlWsAAa91h.jpg",""
"=""1910246998084591791""","Rachel Ruto is an alumni of Butere Girls. https://t.co/V7mVV1ACLZ","Tweet","Brian Mbunde ™","Brianmbunde","4/10/2025, 11:22:29 AM","5","32","1","106","4482","9","en","No","Twitter for iPhone","","https://x.com/Brianmbunde/status/1910246998084591791","video","https://video.twimg.com/amplify_video/1908812367447650304/vid/avc1/576x572/gqLJBd15eArrgNk5.mp4?tag=14",""
"=""1914304374924607936""","The passing of Pope Francis is a great loss to the Catholic and Christian community in Kenya and around the world.

He exemplified humility and compassion, and worked for peace, social justice, and the dignity of all people. His commitment to bridging divides, uplifting the https://t.co/s6K8R8eriB","Tweet","Mama Rachel Ruto, EGH","MamaRachelRuto","4/21/2025, 4:05:03 PM","17","8","0","55","1925","0","en","No","Twitter for iPhone","","https://x.com/MamaRachelRuto/status/1914304374924607936","photo","https://pbs.twimg.com/media/GpD5rXdaEAAqdrf.jpg",""
"=""1910222315855491177""","Haha na mjue Rachel Ruto is an alumni of Butere girls. https://t.co/D0QpU55vhf","Tweet","Dr Strange.","Imonaar","4/10/2025, 9:44:24 AM","4","8","0","13","1013","0","en","No","Twitter for Android","","https://x.com/Imonaar/status/1910222315855491177","photo","https://pbs.twimg.com/media/GoJ5ELDXAAADwdS.jpg",""
"=""1902697333562732754""","Rachel Ruto during Uhuru's regime Vs during Ruto's regime. https://t.co/tSg8VEwqiX","Tweet","Eduhmaks","djeduhmaks","3/20/2025, 3:22:49 PM","6","9","1","51","4701","1","en","No","Twitter for Android","","https://x.com/djeduhmaks/status/1902697333562732754","photo","https://pbs.twimg.com/media/Gme9IwObIAAvS_Y.jpg, https://pbs.twimg.com/media/Gme9I9Ya8AAhGpX.jpg",""
"=""1902637791315386800""","Lemme sympathize with Mama Rachel Ruto today. Kenyans should realize Rachel undergoes a lot of pressure everyday from Kasongo's theatrics. She's a woman who lives with fear, she always appears with a new installed dent on her face every time she's seen in public. I do agree with https://t.co/LbDfuB7kvC","Tweet","George T. Diano","georgediano","3/20/2025, 11:26:13 AM","33","91","1","969","45193","22","en","No","Twitter Web App","","https://x.com/georgediano/status/1902637791315386800","photo","https://pbs.twimg.com/media/GmeFNeTbEAA_M6X.jpg",""
"=""1569616057752768513""","Mama Rachel Ruto to the State House staff when she wakes up for morning devotion at 5am
https://t.co/L200lLPsiI","Tweet","Post Carlone","carltonkitheka1","9/13/2022, 12:16:44 PM","5","179","8","674","","24","en","No","Twitter Web App","","https://x.com/carltonkitheka1/status/1569616057752768513","","","https://x.com/m_escobar007/status/1335381423520362502/video/1"
"=""1902318330712670620""","Like for Mama Margret Kenyatta

Retweet for Mama Rachel Ruto https://t.co/sdjLxeoSiy","Tweet","Mwasrix","Mwasrix","3/19/2025, 2:16:48 PM","0","5","1","64","9898","1","en","No","Twitter for Android","","https://x.com/Mwasrix/status/1902318330712670620","photo","https://pbs.twimg.com/media/GmZkcABa8AYVViR.jpg, https://pbs.twimg.com/media/GmZkcGoaIAAHa1K.jpg",""
"=""1902367562865758450""","Rachel ruto akiona vile mnamcook 😅 https://t.co/VdsczvoWno","Tweet","Nikoteen🎲™️","Nikoteeno","3/19/2025, 5:32:25 PM","1","6","0","18","1250","0","es","No","Twitter for Android","","https://x.com/Nikoteeno/status/1902367562865758450","photo","https://pbs.twimg.com/media/GmaRN3Ta8AIjp8d.jpg",""
"=""1559399300253290499""","Ruto na Rachel walikutana Kanisani kwenye Kwaya tena wakiwa wanafunzi wa Chuo. Ruto akamwambia Rachel kuwa hana Pesa ila atampa Maisha ya furaha na Upendo. Rachel akakubali na akaamini katika Ukubwa wa ndoto ya Ruto.Leo ndoa yao ina miaka 30 na ndoto ya Ruto ya kuwa Rais imetimia https://t.co/RrqbGZZpIa","Tweet","Ayubu Madenge","ayubu_madenge","8/16/2022, 7:39:00 AM","144","182","10","3005","","7","tl","No","Twitter for iPhone","","https://x.com/ayubu_madenge/status/1559399300253290499","photo","https://pbs.twimg.com/media/FaQZZBPWIAECLBy.jpg",""
"=""1910269533132054835""","The most prayeful woman in Kenya,Rachel Ruto is an alumni of Butere girls high school. 
Fear women.

Nakuru echoes of war cleophas Malala Shackles of doom https://t.co/g3KNxGFgDW","Tweet","Nasir","nasirkenya","4/10/2025, 12:52:02 PM","1","14","0","53","13675","5","en","No","Twitter for Android","","https://x.com/nasirkenya/status/1910269533132054835","photo","https://pbs.twimg.com/media/GoKkA8xWAAAj0Cy.jpg, https://pbs.twimg.com/media/GoKkBA8WQAAEkvV.jpg, https://pbs.twimg.com/media/GoKkA6VWwAAKEEm.jpg",""
