"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1914231260211294712""","Pope Francis has rested and we endorse Raila Odinga for Pope. https://t.co/0YdwKyQBRP","Tweet","Yoko","Kibet_bull","4/21/2025, 11:14:31 AM","232","815","53","2886","113546","33","en","No","Twitter for Android","","https://x.com/Kibet_bull/status/1914231260211294712","photo","https://pbs.twimg.com/media/GpC3L7iXQAAMtkF.jpg",""
"=""1914233413902492155""","Now it is the time. I fully support Raila Odinga for the position of Pope. https://t.co/wwVOV5X2SZ","Tweet","Cyprian, Is Nyakundi","C_NyaKundiH","4/21/2025, 11:23:05 AM","412","1297","120","5094","151644","57","en","No","Twitter for iPhone","","https://x.com/C_NyaKundiH/status/1914233413902492155","photo","https://pbs.twimg.com/media/GpC47pGXwAEIRB9.jpg",""
"=""1914234505029702041""","Upon the death of pope Francis,The Republic of kenya is endorsing @RailaOdinga to run for pope candidacy in vatican. #Raila4pope https://t.co/XhRxJThBmS","Tweet","MethoDman","polo_kimanii","4/21/2025, 11:27:25 AM","116","612","11","2618","51158","25","en","No","Twitter for iPhone","#Raila4pope","https://x.com/polo_kimanii/status/1914234505029702041","photo","https://pbs.twimg.com/media/GpC6IsmXwAE4D4F.jpg",""
"=""1913980206517293209""","unpopular opinion:Raila odinga uses luos for the benefit of his family. https://t.co/l3K0rgTorY","Tweet","Boniface","kilundeezy","4/20/2025, 6:36:55 PM","155","510","33","2249","55056","12","en","No","Twitter Web App","","https://x.com/kilundeezy/status/1913980206517293209","photo","https://pbs.twimg.com/media/Go_SjQiW4AAOBbO.png",""
"=""1914233056312906161""","From Nusu mkate to nusu sacrament. Raila Odinga to take over from Pope Francis. https://t.co/6cK2pcW0VU","Tweet","Yoko","Kibet_bull","4/21/2025, 11:21:40 AM","115","571","16","2536","49517","19","en","No","Twitter for Android","","https://x.com/Kibet_bull/status/1914233056312906161","photo","https://pbs.twimg.com/media/GpC40JgWQAApIUW.jpg",""
"=""1914240045386522739""","Kenyans are in full support for Raila Odinga to take over from the late Pope Francis.

I ENDORSE BABA FOR THE VATICAN! https://t.co/V2Iubfz26S","Tweet","EDGAR 🇰🇪","edgarwabwire_","4/21/2025, 11:49:26 AM","42","157","2","536","16318","5","en","No","Twitter Web App","","https://x.com/edgarwabwire_/status/1914240045386522739","photo","https://pbs.twimg.com/media/GpC-7cRWUAAgIoY.jpg",""
"=""1914260593927684571""","Raila Odinga swearing in himself as Pope after refusing to accept the results. https://t.co/YKoeDQ9kuJ","Tweet","Yoko","Kibet_bull","4/21/2025, 1:11:05 PM","9","53","2","195","2638","0","en","No","Twitter for Android","","https://x.com/Kibet_bull/status/1914260593927684571","photo","https://pbs.twimg.com/media/GpDR3aUWIAAzzgm.jpg",""
"=""1914241791768793364""","Raila odinga after pope Francis...

Aura for aura https://t.co/EGENQrSqFS","Tweet","Sholla Ard 🇰🇪","sholard_mancity","4/21/2025, 11:56:22 AM","27","211","1","830","10062","3","und","No","Twitter for Android","","https://x.com/sholard_mancity/status/1914241791768793364","photo","https://pbs.twimg.com/media/GpDAwP6XAAAKi4H.jpg",""
"=""1914251532641390608""","As Kenyans we support Raila Odinga as he eyes for the Pope position in Vatican after the death of Pope Francis https://t.co/AbKYLs2iXx","Tweet","The Government Critic 🇰🇪","magwaz3","4/21/2025, 12:35:05 PM","10","59","0","203","3076","2","en","No","Twitter for Android","","https://x.com/magwaz3/status/1914251532641390608","photo","https://pbs.twimg.com/media/GpDJnrLWQAATFPs.jpg",""
"=""1914242210037383401""","BREAKING NEWS : Raila Odinga to vie for the Pope seat in Vatican after Pope Francis is announced dead https://t.co/0o0r5xuX9N","Tweet","Kijana Ya Atwoli ( parody )","AtwoliiYa","4/21/2025, 11:58:02 AM","24","44","2","204","22265","16","en","No","Twitter for Android","","https://x.com/AtwoliiYa/status/1914242210037383401","video","https://video.twimg.com/ext_tw_video/1914242181205782528/pu/vid/avc1/640x360/L6SzRsr05TV-6cBk.mp4?tag=12",""
"=""1913644211246715105""","Block me, insult me, call me names—I still stand on this: @TheODMparty is the worst disaster to befall Nyanza! CONMAN @RailaOdinga MUST RETIRE 2027. If that pains you, go hug transformer! https://t.co/bbaEWQwDvB","Tweet","Justice Nancy","Nancy_Okil","4/19/2025, 8:21:48 PM","573","1201","58","6319","180500","46","en","No","Twitter for Android","","https://x.com/Nancy_Okil/status/1913644211246715105","photo","https://pbs.twimg.com/media/Go6hPOLW0AAL8oA.jpg",""
"=""1913691552406278352""","This is the property conman @RailaOdinga GRABBED from Mrs. Unsworth in 2023. It’s a shame that crime pays in Kenya! https://t.co/9mmPVbh2f8","Tweet","Dr. Miguna Miguna","MigunaMiguna","4/19/2025, 11:29:55 PM","24","406","5","905","33667","26","en","No","Twitter for iPhone","","https://x.com/MigunaMiguna/status/1913691552406278352","photo","https://pbs.twimg.com/media/Go7MUt2XAAAbLPG.jpg",""
"=""1914244606624976969""","""Kuna mtu anaitwa Raila Odinga and I want him to takeover Pope Francis. Nilimtafutia AU akashindwa na sitaki anisumbue 2027"" https://t.co/1FS0dwR4kO","Tweet","Yoko","Kibet_bull","4/21/2025, 12:07:33 PM","21","141","7","509","8169","5","tl","No","Twitter for Android","","https://x.com/Kibet_bull/status/1914244606624976969","photo","https://pbs.twimg.com/media/GpDDU0jXYAAXQp-.jpg",""
