"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1803460372466155921""","We reject the entire finance bill, not just a part of it. Kenya is bigger than these politicians; we need to stand together. #rejectthefinancebill2024 https://t.co/QcrWCyU8eY","Tweet","WololoTvofficial","WololoTv254","6/19/2024, 7:10:34 PM","51","1521","15","4652","90084","56","en","No","Twitter for Android","#rejectthefinancebill2024","https://x.com/WololoTv254/status/1803460372466155921","video","https://video.twimg.com/ext_tw_video/1803460069234814976/pu/vid/avc1/720x1280/FDLTHw11J4LFpj1a.mp4?tag=12",""
"=""1801301677242519753""","I hope the blue-pilled beta male politicians of Mt. Kenya have heard.

Pick your phone once again and call or text your MP before they sleep tonight.

Remind them  to Reject The Finance Bill.

#RespectMyHustle https://t.co/zSBr7Cky08","Tweet","Eric","amerix","6/13/2024, 8:12:41 PM","135","1166","16","5423","230968","213","en","No","Twitter for Android","#RespectMyHustle","https://x.com/amerix/status/1801301677242519753","video","https://video.twimg.com/ext_tw_video/1801301642983145473/pu/vid/avc1/640x360/iLeq3iCwSZfXJbxV.mp4?tag=12",""
"=""1805563701170172358""","Guys have gotten to Parliament 
#RejectFinanceBill2024 https://t.co/ZYKpmjkikf","Tweet","Gibons Miller 📸🛣️⛺️🌅","ItsMiller_G","6/25/2024, 2:28:26 PM","27","1147","34","2028","130844","85","en","No","Twitter for iPhone","#RejectFinanceBill2024","https://x.com/ItsMiller_G/status/1805563701170172358","video","https://video.twimg.com/amplify_video/1805562793329930240/vid/avc1/1080x1920/EZT-wwG8azMjZldB.mp4?tag=16",""
"=""1803306839217504401""","Wakenya!

The report to amend (EDIT) the Finance Bill will be debated today &amp; voted tomorrow.

Call/Text your MPs to sit in parliament to REJECT the report  &amp; WITHDRAW the entire Finance Bill.

Share their numbers here.

#RespectMyHustle","Tweet","Eric","amerix","6/19/2024, 9:00:28 AM","671","5576","82","15526","387869","109","en","No","Twitter for Android","#RespectMyHustle","https://x.com/amerix/status/1803306839217504401","","",""
"=""1805961217330008191""","BREAKING: 

President RUTO CONCEDES and REJECTS the finance Bill 2024 in TOTALITY!","Tweet","Ja Loka","_fels1","6/26/2024, 4:48:02 PM","109","1093","11","2907","55815","10","en","No","Twitter Web App","","https://x.com/_fels1/status/1805961217330008191","","",""
"=""1805516812601213040""","All Azimio Coalition MPs withdraw amendments to the Finance Bill 2024, say they have consulted and agreed unanimously to reject the Bill https://t.co/DopZRfkIaP","Tweet","Citizen TV Kenya","citizentvkenya","6/25/2024, 11:22:07 AM","130","2802","99","9633","217747","35","en","No","Twitter Web App","","https://x.com/citizentvkenya/status/1805516812601213040","photo","https://pbs.twimg.com/media/GQ579vlWsAAaGhj.jpg",""
"=""1805822760167354842""","What’s so special about that Finance Bill that he is forcing it on us even after the whole country was outside yesterday rejecting it??

Mass killings in Githurai last night, innocent people died OVER WHAT?? A FUCKING BILL??
Is the bill more important to him over human life?

He","Tweet","Eve Maina","evenmaina","6/26/2024, 7:37:51 AM","395","6184","92","10512","363397","93","en","No","Twitter for iPhone","","https://x.com/evenmaina/status/1805822760167354842","","",""
"=""1800908363452293590""","If your income is 50,000,

• 21,000 will be taken away by the state.

• 24,000 will be taken away by Vatable expenses.

• Your discretionaty income is just 5,000.

You are a slave of the state.

Call/text your MP now.

Tell them to reject the finance bill.

#RespectMyHustle https://t.co/CMERBCXwKf","Tweet","Eric","amerix","6/12/2024, 6:09:47 PM","217","2496","70","6858","518209","294","en","No","Twitter for Android","#RespectMyHustle","https://x.com/amerix/status/1800908363452293590","photo","https://pbs.twimg.com/media/GP4cnH9W0AAErLn.jpg",""
"=""1800805277651886286""","60% of your income goes to the taxman.

Whom are you working for?

You are working for the state.

You are a slave.

Refuse to be a slave.

Pick up your phone now, and call your member of parliament.

Tell him to reject The Finance Bill.

Add here their numbers.

#RespectMyHustle","Quoted tweet","Eric","amerix","6/12/2024, 11:20:10 AM","402","3727","110","10880","2509062","283","en","No","Twitter for Android","#RespectMyHustle","https://x.com/amerix/status/1800805277651886286","","",""
"=""1817907573909045434""","Jana Rais akiwa coast alisema hatafanya any developments juu mli reject finance bill.
Leo amesema atafanya Nyali- Kilifi road a dual carriage.

I need God to send his lightning strikes like the good old times.","Tweet","Eve Maina","evenmaina","7/29/2024, 3:58:35 PM","202","2564","23","6549","76574","42","en","No","Twitter for iPhone","","https://x.com/evenmaina/status/1817907573909045434","","",""
