"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1787104575167643862""","Now why did I come across a video of Riggy G when he was younger taking away alcohol during a fight 😭😭😹😹 https://t.co/ZJWJybpjxl","Tweet","callmedinero","notluvzz","5/5/2024, 3:58:28 PM","101","722","78","2052","143587","452","en","No","Twitter for Android","","https://x.com/notluvzz/status/1787104575167643862","video","https://video.twimg.com/ext_tw_video/1787104557371133952/pu/vid/avc1/368x640/fIrLBV7918Mh3Sfp.mp4?tag=12",""
"=""1818191880825237727""","They tried dragging Njeri Maina from dancing with Riggy G 💀😂😂 https://t.co/AFCSEKrZzl","Tweet","Charliesmatic 🇰🇪","iChvrlie","7/30/2024, 10:48:19 AM","45","265","54","992","126455","224","en","No","Twitter for Android","","https://x.com/iChvrlie/status/1818191880825237727","video","https://video.twimg.com/ext_tw_video/1818191697848786944/pu/vid/avc1/576x1024/MnB0164lRNBCK0Jl.mp4?tag=12",""
"=""1818180901655769371""","MID MORNING NEWS🚨
1. Fear has taken over Kitengela as water canons are seeing moving around.
2. The pastors d!k bitten by the crocodile falls off as reported by one of the ushers.
3. Kenyans recreate Riggy G dance passionately.
4. A well known scholar kuria chronicles ready to https://t.co/qyVn7mwEA9","Tweet","💜🌹","Ass_tridah","7/30/2024, 10:04:41 AM","40","43","1","78","12572","4","en","No","Twitter for Android","","https://x.com/Ass_tridah/status/1818180901655769371","video","https://video.twimg.com/ext_tw_video/1818180757841465344/pu/vid/avc1/320x560/UHp-_a3x57tsas9E.mp4?tag=12",""
"=""1755131941131567377""","Riggy G will curtain raise for the Kanye West's show at Nyayo Stadium
https://t.co/rwnXgomenY","Tweet","Eng. Nyasikera","Arap_Nyasikera","2/7/2024, 10:30:38 AM","19","80","11","335","64741","65","en","No","Twitter Web App","","https://x.com/Arap_Nyasikera/status/1755131941131567377","video","https://video.twimg.com/ext_tw_video/1754210520796741632/pu/vid/avc1/480x854/0cwl29Nax6G0toNl.mp4?tag=12",""
"=""1784233504642920639""","Riggy G amesema kuni iongezwe. Dimples has nowhere to hide https://t.co/s2H5uoxjab","Tweet","Cyprian, Is Nyakundi","C_NyaKundiH","4/27/2024, 5:49:51 PM","123","546","23","2098","151438","173","en","No","Twitter for iPhone","","https://x.com/C_NyaKundiH/status/1784233504642920639","video","https://video.twimg.com/amplify_video/1784233419527864320/vid/avc1/720x720/VLM3IzZNaU_aSE4R.mp4?tag=14",""
"=""1818365354286235693""","Blackmailing Gachagua on plotting a Coup but they can't even stammer  what they have done to Cleophas Malala. They set Sabina Chege against Uhuru Kenyatta &amp; now Kimani Ichungwa is used to checkmate Riggy G for impeachment. 
  The Narcist never believe in any relationships. https://t.co/XryWY8vzOl","Tweet","Muguna Mutwiri","mugunamutwiri","7/30/2024, 10:17:38 PM","1","63","1","197","58124","24","en","No","Twitter for Android","","https://x.com/mugunamutwiri/status/1818365354286235693","video","https://video.twimg.com/ext_tw_video/1818365143979315200/pu/vid/avc1/576x576/BDQ5f4Gcv-MiJVMb.mp4?tag=12",""
"=""1780296290623947068""","Riggy G is transforming right before our eyes. https://t.co/gt8lC2nQfd","Tweet","JILL 😊","JILLKUI","4/16/2024, 9:04:46 PM","42","75","59","433","139916","17","en","No","Twitter for iPhone","","https://x.com/JILLKUI/status/1780296290623947068","photo","https://pbs.twimg.com/media/GLTiCF3XUAAud8c.jpg",""
"=""1797333171664527616""","Let me repeat, Riggy G is already a political headache to KK after the high cost of living.  He is not only systematic in his plan to deflate the KK big tent but also systemic in how he handle his boss. We shall be there to witness the  DIVORCE  by design or by default. https://t.co/M4ciwRNN4N","Tweet","Fredrick Okango","fokango","6/2/2024, 9:23:15 PM","98","120","10","536","85990","33","en","No","Twitter for Android","","https://x.com/fokango/status/1797333171664527616","video","https://video.twimg.com/ext_tw_video/1797333038453448704/pu/vid/avc1/720x720/dyAnRDh4ESoilNSq.mp4?tag=12",""
"=""1808866581130158125""","Moses Kuria and Murkomen aside, who did this to our truthful Man Riggy G 😂😂
 https://t.co/7GVwzhezlX","Tweet","Amazing","_kijanayamwingi","7/4/2024, 5:12:54 PM","62","152","4","610","95773","54","en","No","Twitter for Android","","https://x.com/_kijanayamwingi/status/1808866581130158125","video","https://video.twimg.com/ext_tw_video/1800813672777850880/pu/vid/avc1/720x960/4_ZljUzO5Zc1bhE2.mp4?tag=12",""
"=""1800914573022957856""","This statement is unfortunate. Completely wrong. Leave Riggy G alone!

 https://t.co/F4NUtu6O5q","Tweet","Dr. Miguna Miguna","MigunaMiguna","6/12/2024, 6:34:28 PM","174","352","16","2157","210878","165","en","No","Twitter for iPhone","","https://x.com/MigunaMiguna/status/1800914573022957856","video","https://video.twimg.com/ext_tw_video/1800904754568089600/pu/vid/avc1/720x720/RQC8lQwbb810jYY_.mp4?tag=12",""
