"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1806937743974396109""","""Ruto anacheza na hao vijana na ataumia sana"". Stopped by some remote center in Tharaka Nithi county and this cobbler says they were monitoring every progress of the Gen Z protests. 

The  25th June Historical events cut across every part of the Nation. https://t.co/e5wvM6rC5q","Tweet","Chris Sambu","the_sambu","6/29/2024, 9:28:24 AM","8","202","1","532","69319","59","en","No","Twitter for Android","","https://x.com/the_sambu/status/1806937743974396109","video","https://video.twimg.com/ext_tw_video/1806937200178745344/pu/vid/avc1/720x1280/5ExAwc2aT-Oz2JeG.mp4?tag=12",""
"=""1807193294306259262""","Ruto... https://t.co/JW94aY2xc9","Tweet","SokoAnalyst","SokoAnalyst","6/30/2024, 2:23:52 AM","7","169","7","314","16705","23","es","No","Twitter for Android","","https://x.com/SokoAnalyst/status/1807193294306259262","video","https://video.twimg.com/ext_tw_video/1807193245937758208/pu/vid/avc1/576x1024/KlLRWCVIvMhgluBC.mp4?tag=12",""
"=""1806735406701961299""","The brown purpoted Youth negotiator is a Ruto ally. Was a UDA Nairobi senatorial candidate before dropping off .Clowns all of them! https://t.co/fO7p5E5cmr","Tweet","Chris Sambu","the_sambu","6/28/2024, 8:04:23 PM","18","1123","16","1269","26766","13","en","No","Twitter for Android","","https://x.com/the_sambu/status/1806735406701961299","photo","https://pbs.twimg.com/media/GRLQQxsWAAAGeGv.jpg",""
"=""1807183261812289984""","#RutoMustGo
#RutoMustResignNow  
#ruto https://t.co/N8t247EaV4","Tweet","Wambui Kibue","kibuewambui","6/30/2024, 1:44:00 AM","0","0","0","0","29","0","qme","No","Twitter Web App","#RutoMustGo, #RutoMustResignNow, #ruto","https://x.com/kibuewambui/status/1807183261812289984","photo","https://pbs.twimg.com/media/GRRnlq8W8AAFi6C.jpg",""
"=""1807190822296653961""","Sad nigga hours. https://t.co/nyKUHQ062q","Tweet","Certified Ruto hater.","Tonny_gathiaka","6/30/2024, 2:14:02 AM","0","0","0","1","12","0","en","No","Twitter for Android","","https://x.com/Tonny_gathiaka/status/1807190822296653961","video","https://video.twimg.com/ext_tw_video/1807190752339918848/pu/vid/avc1/720x806/-P68ZM4iyjd5FDE0.mp4?tag=12",""
"=""1807198762680598880""","240629 𝗝𝗔𝗞𝗔𝗥𝗧𝗔

この質感の写真好きです📸♡

#하루토 #HARUTO #ハルト
#TREASURE   #트레저　#渡辺温斗
#TREASURE_REBOOT_IN_JAKARTA https://t.co/p3MCV5CiF6","Tweet","𝒽𝒶𝓃𝒶🦋","ruto_m0405","6/30/2024, 2:45:35 AM","0","3","0","8","531","0","ja","No","Twitter for iPhone","#하루토, #HARUTO, #ハルト, #TREASURE, #트레저, #渡辺温斗, #TREASURE_REBOOT_IN_JAKARTA","https://x.com/ruto_m0405/status/1807198762680598880","photo","https://pbs.twimg.com/media/GRR1sj0bIAAmOM8.jpg",""
"=""1807191649715630204""","残り蒐集リスト     
絶オメガ武器　時期未定  
９４装備　済
９６・９８製作装備    
９５・９７・（９９）ID装備    
１００AF    
極武器    
美学トークン装備 https://t.co/iyUZi9XfHF","Tweet","ruto_ff14","ruto74215545","6/30/2024, 2:17:19 AM","0","0","0","0","989","0","ja","No","Twitter Web App","","https://x.com/ruto74215545/status/1807191649715630204","photo","https://pbs.twimg.com/media/GRRvOSBbcAAtptO.jpg",""
"=""1806610841782964670""","😂😂Ruto must go https://t.co/ARZvqXoKRR","Tweet","🇰🇪","BlacKosgei","6/28/2024, 11:49:24 AM","0","0","0","2","52","0","en","No","Twitter for Android","","https://x.com/BlacKosgei/status/1806610841782964670","video","https://video.twimg.com/ext_tw_video/1806610817632120833/pu/vid/avc1/752x464/CSTInBTTgVD11hAW.mp4?tag=12",""
"=""1806587987603402910""","Kwanza gari za MPs zinafaa kukua painted yellow kama school buses ndio tuwajue kwa traffic, hizo si ni gari tumelipia","Quoted tweet","𝐑𝐞𝐚𝐥 𝐌𝐀𝐒𝐇","254_icon","6/28/2024, 10:18:35 AM","195","6815","134","14851","196928","114","in","No","Twitter for Android","","https://x.com/254_icon/status/1806587987603402910","","",""
"=""1805539104383250758""","Were there political detainees during Moi? YES

Were there political detainees during Kibaki? NO

Were there political detainees during Uhuru? YES

Are there detainees during RUTO? YES

Now we all know who has been abducting Kenyans.

KENYA is OURS!

#RejectFinanceBill2024","Tweet","Eric","amerix","6/25/2024, 12:50:42 PM","1186","10912","287","21002","506010","135","en","No","Twitter for Android","#RejectFinanceBill2024","https://x.com/amerix/status/1805539104383250758","","",""
"=""1807183619305181483""","Reconstitute the IEBC that’s all we want and Ruto to resign 
#RutoMustGo
#RecallKenyanMPs 
#OccupyKE https://t.co/HWXYlrrFjf","Tweet","Ras Van 🇰🇪","Brian_Vany","6/30/2024, 1:45:25 AM","0","0","0","1","661","0","en","No","Twitter for iPhone","#RutoMustGo, #RecallKenyanMPs, #OccupyKE","https://x.com/Brian_Vany/status/1807183619305181483","photo","https://pbs.twimg.com/media/GRRn68Tb0AAobIz.jpg",""
"=""1749850819535495332""","I started wearing bespoke Kaunda suits in 2021.

Nowadays I am just ashamed to wear my lovely Kaunda suits.

People think I work in Ruto's office.

I will start wearing Ghana's kente. https://t.co/NIh5OaRyRD","Tweet","Eric","amerix","1/23/2024, 8:45:20 PM","210","602","10","6259","287573","50","en","No","Twitter for Android","","https://x.com/amerix/status/1749850819535495332","photo","https://pbs.twimg.com/media/GEi4CkXXsAALtQr.jpg",""
"=""1807090167653478539""","False. Lies. The reason for your silence even as Ruto murdered our youth, was: you were waiting for Zakayo @WilliamsRuto - the enemy of the people - to submit your candidacy for the AUC chair yesterday, Friday June 28th. 

We know your game. You are in bed with Zakayo. He pays https://t.co/qwgjAaLoQ9","Tweet","Dr. Miguna Miguna","MigunaMiguna","6/29/2024, 7:34:04 PM","937","988","36","6960","536134","118","en","No","Twitter for iPhone","","https://x.com/MigunaMiguna/status/1807090167653478539","photo","https://pbs.twimg.com/media/GRQS7aqW4AAHRuw.jpg",""
"=""1807184920856473829""","Ruto must go. #RutoMustGo https://t.co/Xw2a6Eu8BI","Tweet","Karambu","KarambuMathai","6/30/2024, 1:50:35 AM","0","0","0","0","33","0","en","No","Twitter for Android","#RutoMustGo","https://x.com/KarambuMathai/status/1807184920856473829","photo","https://pbs.twimg.com/media/GRRpG9WbgAAS-Dl.jpg",""
