"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1873261763803922526""","This man Peter Salasya will neutralise Raila Odinga and ODM effect in Mulembe Nation. 
Don't forget that George Natembeya is eloping with Bungoma and Trans-Nzoia.

Tahmeed Monday is Monday #OccupyStateHouse Mutuse https://t.co/0lwvK7byNw","Tweet","Nyabul Ka'Nyabul","Nyabul4","12/29/2024, 9:56:22 AM","5","103","2","281","28767","8","en","No","Twitter for Android","#OccupyStateHouse","https://x.com/Nyabul4/status/1873261763803922526","video","https://video.twimg.com/ext_tw_video/1873261657096364032/pu/vid/avc1/560x1072/xcqsV-4at7Ps_m7e.mp4?tag=12",""
"=""1870692013479243950""","The original Peter Salasya https://t.co/GTHqrYdcPp","Tweet","KOT Sonko™🇰🇪","Mabonga_254","12/22/2024, 7:45:06 AM","19","117","5","567","45863","50","tl","No","Twitter for iPhone","","https://x.com/Mabonga_254/status/1870692013479243950","video","https://video.twimg.com/amplify_video/1870691886299574272/vid/avc1/1024x576/RmSapW_FvY6jLFbM.mp4?tag=16",""
"=""1866434117484843284""","Who budgeted for that 500 Million for Grammys?

-Pk Salasya https://t.co/8P5RSekQez","Tweet","jim Njue","jimNjue_","12/10/2024, 1:45:44 PM","47","439","11","1198","41881","62","en","No","Twitter for iPhone","","https://x.com/jimNjue_/status/1866434117484843284","video","https://video.twimg.com/amplify_video/1866433918754328576/vid/avc1/576x1024/wOZsA3ZcNjlbZcv2.mp4?tag=16",""
"=""1866496409635074395""","DRAMA!!Ruto Gets Angry as MP Salasya Questions where he got 500M to pay for Grammy Awards Hosting! https://t.co/B6J5Sj5SCp","Tweet","Mutembei TV","MutembeiTV","12/10/2024, 5:53:16 PM","22","213","5","790","79241","37","en","No","Twitter Web App","","https://x.com/MutembeiTV/status/1866496409635074395","video","https://video.twimg.com/ext_tw_video/1866485095445508096/pu/vid/avc1/1280x720/bsN5N03MqFzxaszv.mp4?tag=12",""
"=""1748684543274398196""","Men,

If she comes,

Take it easy. 

Don't be excited.

- Kiss her

- Touch her

Look at her right in her eyes with confidence and with a deep, mellow whisper,

Tell her:

""I want to salasya you.""

— and then proceed to do the Lord's work.

#MasculinitySaturday https://t.co/nrswm8BRWb","Tweet","Eric","amerix","1/20/2024, 3:30:58 PM","535","2536","110","12096","506291","290","en","No","Buffer App","#MasculinitySaturday","https://x.com/amerix/status/1748684543274398196","photo","https://pbs.twimg.com/media/GESTUyWWQAA1YDM.jpg",""
"=""1867425812636741904""","Politician with 0 haters 👇😂😂Salasya..... 🏌 https://t.co/MsrGOroqCG","Tweet","Gi✞HÛ✨✞ 🛐","GithuIcon","12/13/2024, 7:26:23 AM","59","46","0","62","2750","10","en","No","Twitter for Android","","https://x.com/GithuIcon/status/1867425812636741904","video","https://video.twimg.com/ext_tw_video/1867425756596326401/pu/vid/avc1/720x1280/1mZkbEpjh2ocBz-C.mp4?tag=12",""
"=""1870427687195467810""","Peter Salasya : President Ruto, even if you appoint Uhuru Kenyatta, Kenyans have already decided https://t.co/Uu7IHOWYlP","Tweet","Goddie","Goddie_Ke","12/21/2024, 2:14:46 PM","81","1092","3","5280","86105","20","en","No","Twitter for Android","","https://x.com/Goddie_Ke/status/1870427687195467810","photo","https://pbs.twimg.com/media/GfUYEbXX0AAgA0E.jpg",""
"=""1867482506133745760""","Peter Salasya meets his University Lecturer! https://t.co/3222OVP8D7","Tweet","The Kenyan Vigilante","KenyanSays","12/13/2024, 11:11:40 AM","39","215","10","1110","55844","52","en","No","Twitter for Android","","https://x.com/KenyanSays/status/1867482506133745760","video","https://video.twimg.com/ext_tw_video/1867482426009583617/pu/vid/avc1/576x1024/x723VbNBgZsHQAix.mp4?tag=12",""
"=""1873359713657815388""",""" Waziri wako wote wanakaa mikebe""- Peter Salasya tells President Ruto! https://t.co/ZchiCRuBES","Tweet","The Kenyan Vigilante","KenyanSays","12/29/2024, 4:25:35 PM","83","1641","43","4615","144799","199","tl","No","Twitter for Android","","https://x.com/KenyanSays/status/1873359713657815388","video","https://video.twimg.com/ext_tw_video/1873359672612184064/pu/vid/avc1/576x1024/DcF2e4XwHS87xdwE.mp4?tag=12",""
"=""1873424940806148572""","NEWS UPDATE 

Mumias East Mp Peter Salasya : Kenyans are not like Ugandans and Rwandans who are oppressed while Quiet, Kenyans Value their Freedom https://t.co/1Sz6BmqSot","Tweet","Goddie","Goddie_Ke","12/29/2024, 8:44:47 PM","37","1231","2","5905","75981","18","en","No","Twitter for Android","","https://x.com/Goddie_Ke/status/1873424940806148572","photo","https://pbs.twimg.com/media/Gf--DR_WMAAtfiR.jpg",""
"=""1868345298055205080""","Peter Salasya, sheep, MPs and why the Legislature is part of the Executive https://t.co/suH71hIckh","Tweet","Stephen Mutoro","smutoro","12/15/2024, 8:20:05 PM","4","102","1","328","27506","13","en","No","Twitter for iPhone","","https://x.com/smutoro/status/1868345298055205080","video","https://video.twimg.com/ext_tw_video/1868345174964760576/pu/vid/avc1/1060x720/NaHubdwlsGnVkOsr.mp4?tag=12",""
"=""1870892221521691003""","Best caption wins a Christmas gift https://t.co/RPQoZBV8Af","Tweet","Hon. Peter Salasya","SalasyaPeter","12/22/2024, 9:00:39 PM","2","0","1","11","9919","1","en","No","Twitter for Android","","https://x.com/SalasyaPeter/status/1870892221521691003","photo","https://pbs.twimg.com/media/Gfa-jQ8WMAAifu7.jpg",""
"=""1869027551797985689""","Someone tell Peter Salasya I want to draft a CORRUPTION BILL of 2025 I want him to table it in parliament then we the citizens shall push it.

The bill to prevent Kenyans from engaging in corrupt deals. Any Kenyan, either a mere citizen or a public servant who’s found engaging","Tweet","KOT Sonko™🇰🇪","Mabonga_254","12/17/2024, 5:31:07 PM","69","470","14","1420","39404","21","en","No","Twitter for iPhone","","https://x.com/Mabonga_254/status/1869027551797985689","","",""
"=""1871229346436043157""","Salasya on IG https://t.co/90mrT5FWfG","Tweet","Eduhmaks","djeduhmaks","12/23/2024, 7:20:16 PM","2","9","0","21","1449","0","tl","No","Twitter for Android","","https://x.com/djeduhmaks/status/1871229346436043157","photo","https://pbs.twimg.com/media/GffxKhQWsAQBl2d.jpg",""
"=""1871216114614899052""","Saa kila Mp ako na target ya kupeana Unga na mafuta ya kupikia mandazi . Kitu funny wanatumia pesa inafaa kudevelop local roads ama kubuild classrooms .","Quoted tweet","Masao","Gesonso1","12/23/2024, 6:27:41 PM","1","13","2","27","2236","0","tl","No","Twitter for Android","","https://x.com/Gesonso1/status/1871216114614899052","","",""
"=""1873343841371337065""","Salasya appears to be the only courageous MP calling out Zakayo and his rogue government. He is the shining star of western Mps and people will still come here and speak badly about Omusala. Let’s legalize that thing.","Tweet","Mbiti Mwondi Maino","mbiti_mwondi","12/29/2024, 3:22:31 PM","41","970","6","4137","56932","20","en","No","Twitter for iPhone","","https://x.com/mbiti_mwondi/status/1873343841371337065","","",""
"=""1871967297604309009""","Peter Salasya amekoroga watu wa Mumias East na unga, mafuta ya kupika na sukari &amp; they'll vote him again. Sad.","Tweet","Oguda 🍉","rigyoguda","12/25/2024, 8:12:37 PM","5","14","0","26","547","0","tl","No","Twitter for Android","","https://x.com/rigyoguda/status/1871967297604309009","","",""
"=""1866077914568990815""","Peter Salasya receives medical attention after being overwhelmed while participating in the 1500M race at the EAC Interparliamentary Games in Mombasa https://t.co/glHJLlxOCy","Tweet","Kenyans.co.ke","Kenyans","12/9/2024, 2:10:19 PM","644","420","124","4943","287947","90","en","No","Twitter Web App","","https://x.com/Kenyans/status/1866077914568990815","photo","https://pbs.twimg.com/media/GeWj9FOXsAArlZq.png",""
"=""1870197152367911124""","Hapa Cavalli tuko waluhya wawili. Mimi na Salasya😂","Tweet","Nanj the DJ✨","NanjieGalgalo","12/20/2024, 10:58:42 PM","18","134","6","1441","30842","17","tl","No","Twitter for iPhone","","https://x.com/NanjieGalgalo/status/1870197152367911124","","",""
"=""1866752880587276787""","We must stop Peter Salasya! https://t.co/6A7AfYjpLK","Tweet","The Kenyan Vigilante","KenyanSays","12/11/2024, 10:52:23 AM","10","25","0","99","18765","23","en","No","Twitter Web App","","https://x.com/KenyanSays/status/1866752880587276787","video","https://video.twimg.com/ext_tw_video/1866752828363980800/pu/vid/avc1/480x864/Dru-w047g6mCLya8.mp4?tag=12",""
"=""1866696163748909535""","No kenyan can afford to hate Gen z politician AKA Peter Salasya 😂😂😂👇full story.... https://t.co/4QqPaZKcJk","Tweet","Gi✞HÛ✨✞ 🛐","GithuIcon","12/11/2024, 7:07:01 AM","62","39","0","61","2150","5","tl","No","Twitter for Android","","https://x.com/GithuIcon/status/1866696163748909535","video","https://video.twimg.com/ext_tw_video/1866696097462136832/pu/vid/avc1/576x720/1hqxGInxTqnSZaF0.mp4?tag=12",""
"=""1872574419312484840""","MP Peter Salasya condemns ongoing abduction. https://t.co/IvFxtJhm16","Tweet","47 NEWS NAIROBI","47newsnairobi","12/27/2024, 12:25:06 PM","0","0","0","0","24","0","en","No","Twitter Web App","","https://x.com/47newsnairobi/status/1872574419312484840","video","https://video.twimg.com/ext_tw_video/1872574285392269312/pu/vid/avc1/638x360/I9Fn8_89jmB892P8.mp4?tag=12",""
"=""1866734392397410348""","Salasya speaks sense. https://t.co/41Mm7535V6","Tweet","Njeri Wa Kirima","NjeriWaKirima","12/11/2024, 9:38:56 AM","0","0","0","1","34","0","tl","No","Twitter for Android","","https://x.com/NjeriWaKirima/status/1866734392397410348","video","https://video.twimg.com/ext_tw_video/1866734084237492224/pu/vid/avc1/480x854/WPrctGnFjAujxOWm.mp4?tag=12",""
"=""1869416160225345706""","Hii siku watu walikula food same na Salasya😅😅 https://t.co/8sYHarTHZi","Reply","MARTO 🇰🇪","marto254_","12/18/2024, 7:15:19 PM","1","13","0","88","11122","10","tl","No","Twitter Web App","","https://x.com/marto254_/status/1869416160225345706","video","https://video.twimg.com/ext_tw_video/1869407154756603904/pu/vid/avc1/1280x720/22o5wGfwnE4vNu75.mp4?tag=12",""
"=""1866014105816940723""","The problem of Luhyas in one photo.

Is Peter Salasya not the only sane leader from the Luhya community at the moment? https://t.co/9SFEqpOOhb","Tweet","Hon. KM Katiwa 𝕏","katiwa_","12/9/2024, 9:56:46 AM","15","43","0","72","2164","1","en","No","Twitter for Android","","https://x.com/katiwa_/status/1866014105816940723","photo","https://pbs.twimg.com/media/GeVp8I-XoAAsmzq.jpg",""
"=""1868165257031778460""","Kama huyu ni salasya basi sina haraka na maisha https://t.co/OFQruFiM5Q","Tweet","Mtu Jugs🍺","Magjujke","12/15/2024, 8:24:40 AM","0","4","0","16","3389","0","tl","No","Twitter for Android","","https://x.com/Magjujke/status/1868165257031778460","photo","https://pbs.twimg.com/media/Ge0OZpgXMAAMmPJ.jpg",""
"=""1871222006886305799""","This Man Salasya🔥🔥🔥 https://t.co/scvdp9G64x","Tweet","Gideon Bosco Chebelyon","bosco_gideon","12/23/2024, 6:51:06 PM","0","5","0","4","427","0","tl","No","Twitter for Android","","https://x.com/bosco_gideon/status/1871222006886305799","video","https://video.twimg.com/ext_tw_video/1871221808596221952/pu/vid/avc1/848x480/lqpPcNhgiIebYEEo.mp4?tag=12",""
"=""1870748192566128734""","Peter Salasya : President Ruto, even if you appoint Uhuru Kenyatta, Kenyans have already decided https://t.co/NjDGpDJaNT","Tweet","Stella","SishStella","12/22/2024, 11:28:20 AM","0","0","0","3","231","0","en","No","Twitter for Android","","https://x.com/SishStella/status/1870748192566128734","photo","https://pbs.twimg.com/media/GfY7kRLWQAARi6Q.jpg",""
"=""1868870389948174648""","MP Peter Salasya making Kienyeji men proud!!😅 https://t.co/ubnsJzAztX","Tweet","Ghafla Kenya","GhaflaKenya","12/17/2024, 7:06:37 AM","1","9","3","43","8876","4","in","No","Twitter for iPhone","","https://x.com/GhaflaKenya/status/1868870389948174648","video","https://video.twimg.com/amplify_video/1868870315100573696/vid/avc1/720x1280/PBlzoDR5nYrbk27b.mp4?tag=16",""
"=""1808813824750842076""","MP peter salasya shared his payslip,some heavy deductions which indicated his end take home was ksh2364. While he sought relevance this payslip on the contrary opens up to expose an MP who's using development funds to facilitate his lifestyle. Rotten to the core ! Details... https://t.co/1bVn04DCd7","Tweet","Chris Sambu","the_sambu","7/4/2024, 1:43:16 PM","6","19","1","57","5526","1","en","No","Twitter Web App","","https://x.com/the_sambu/status/1808813824750842076","photo","https://pbs.twimg.com/media/GRoxbJfW4AAipKH.png",""
"=""1870347045204021449""","Peter Salasya kazi ni kuchekesha wasichana na hizo jokes zake hadi anasahau kuwakatia, ona sasa ako single","Tweet","ᴊɪᴍᴍʏ:)🥭","kajairo0","12/21/2024, 8:54:19 AM","1","4","0","8","302","0","tl","No","Twitter for Android","","https://x.com/kajairo0/status/1870347045204021449","","",""
"=""1810039634858283208""","Peter Salasya is the kind of leaders tunataka huko parliament.
Jamaa anaelewa shida from grass roots na ni msee wa watu.","Tweet","𝙱𝚛𝚒𝚊𝚗 𝙺𝚘𝚛𝚒𝚛","_Briankorir","7/7/2024, 10:54:12 PM","3","4","0","16","200","0","et","No","Twitter for Android","","https://x.com/_Briankorir/status/1810039634858283208","","",""
"=""1870151131105783947""","Peter salasya tunakupenda lakini wale wanaume wote wako na uwezo ya kuoa waoe please sijataja mtu.

Mwangi wa iria, Peter kenneth, mutahi kagwe, kabogo,uhuru, Lee kinyanjui, BREAKING NEWS, Kikuyus,Mercy keino, Cenk, Murima, Shell v power, Nairobi-Nakuru, Mai Mahiu, kitui https://t.co/VwfHFeTIam","Tweet","Ladybug News collection","Goldfield6","12/20/2024, 7:55:50 PM","13","9","2","48","51696","13","in","No","Twitter for Android","","https://x.com/Goldfield6/status/1870151131105783947","video","https://video.twimg.com/ext_tw_video/1870151029322326017/pu/vid/avc1/576x1024/6uwNIYDMvlEAUTNP.mp4?tag=12",""
"=""1869247035251302830""","Mhesĥ Salasya has been snatched by  Waithera masquerading as an Italian in mombasa...Papa Atwoli need to find this guy a wife..Kaptagat Police Station Alejandro Garnacho https://t.co/m2e8kE2IvL","Tweet","Sir Yona","yona_sir","12/18/2024, 8:03:16 AM","0","0","0","1","328","1","en","No","Twitter for Android","","https://x.com/yona_sir/status/1869247035251302830","video","https://video.twimg.com/ext_tw_video/1869246983967285248/pu/vid/avc1/480x848/4YIPdXyxAlVzh7NM.mp4?tag=12",""
"=""1835180708500783449""","The disconnect from the people was very loud. People like Salasya received a very overwhelming applause. Sometimes you've got to have firm stands. You don't disrespect the public and expect respect when it's your turn ! https://t.co/mOkSokbegc","Reply","Chris Sambu","the_sambu","9/15/2024, 7:55:51 AM","2","30","1","311","16460","4","en","No","Twitter for Android","","https://x.com/the_sambu/status/1835180708500783449","photo","https://pbs.twimg.com/media/GXffIF7WMAEqe99.jpg",""
"=""1869055416505909557""","Ladies and Gentlemen, Hon. Peter Salasya https://t.co/K8EzxalPpf","Tweet","Emmanuel Gona","Danny_Gonah","12/17/2024, 7:21:51 PM","1","0","0","1","65","0","en","No","Twitter for Android","","https://x.com/Danny_Gonah/status/1869055416505909557","video","https://video.twimg.com/ext_tw_video/1869055371676876800/pu/vid/avc1/480x848/RZorr2MrSIb9ekod.mp4?tag=12",""
"=""1798915452846174580""","Wapi ile picha muliwekea salasya akiwa na Sudi?😂 https://t.co/wPWBuMvdaz","Tweet","Chris Sambu","the_sambu","6/7/2024, 6:10:40 AM","0","1","0","45","4681","2","in","No","Twitter for Android","","https://x.com/the_sambu/status/1798915452846174580","photo","https://pbs.twimg.com/media/GPcIEeobEAEvNO6.jpg",""
"=""1873377119432269867""","Mumias East MP Peter Salasya is the only politician from Western region calling out Kasongo &amp; his rogue regime. The rest are just lapdogs","Tweet","Alinur Mohamed","AlinurMohamed_","12/29/2024, 5:34:45 PM","37","452","0","2289","34633","6","en","No","Twitter for iPhone","","https://x.com/AlinurMohamed_/status/1873377119432269867","","",""
"=""1866730808448520507""","Is that Peter Salasya or I'm seeing my own things? https://t.co/RUyZ7QYbWY","Tweet","The Kenyan Vigilante","KenyanSays","12/11/2024, 9:24:41 AM","3","2","2","68","53988","15","en","No","Twitter Web App","","https://x.com/KenyanSays/status/1866730808448520507","video","https://video.twimg.com/ext_tw_video/1866730557847035904/pu/vid/avc1/576x1024/vvRVNy2SyyAoOHlL.mp4?tag=12",""
"=""1748155948915404847""","The Supreme Court erred by banning @ahmednasirlaw from the Court. The judiciary must maintain neutrality and impartiality especially in respect of those who criticize or attack it. The Supreme Court must demonstrate that it is better than thugs like Babu Owino and Peter Salasya.","Tweet","Dr. Miguna Miguna","MigunaMiguna","1/19/2024, 4:30:32 AM","164","265","12","1996","258594","24","en","No","Twitter for iPhone","","https://x.com/MigunaMiguna/status/1748155948915404847","","",""
"=""1869007931368435903""","Well said Peter Salasya https://t.co/MadhbK5xqb","Tweet","Albert Kasembeli","akasembeli","12/17/2024, 4:13:09 PM","0","0","0","0","14","0","en","No","Twitter Web App","","https://x.com/akasembeli/status/1869007931368435903","video","https://video.twimg.com/ext_tw_video/1869007836174254080/pu/vid/avc1/530x360/JBuTDUArckS26TfF.mp4?tag=12",""
"=""1866512468429930652""","''Who budgeted for this money?''- Salasya is shocked where Kenya Kwanza is getting the ksh 500 m from! https://t.co/HW2rMcoIIL","Tweet","The Kenyan Vigilante","KenyanSays","12/10/2024, 6:57:05 PM","7","68","1","147","6891","6","en","No","Twitter Web App","","https://x.com/KenyanSays/status/1866512468429930652","video","https://video.twimg.com/ext_tw_video/1866512271196798976/pu/vid/avc1/576x1024/9Bpdxa7_Tiy27_-_.mp4?tag=12",""
