"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1913413844065468491""","Lizzo shows off weight loss https://t.co/ejnNzR6FLT","Tweet","Daily Loud","DailyLoud","4/19/2025, 5:06:24 AM","1055","1081","362","27723","1472824","1247","en","No","Twitter for iPhone","","https://x.com/DailyLoud/status/1913413844065468491","photo","https://pbs.twimg.com/media/Go3PwAIXgAA1_05.jpg",""
"=""1913671268148318665""",""" Kwani unachukua Miaka Kumi kuweka bibilia Chini""- Edwin Sifuna to Ruto! https://t.co/xePoNlpxs0","Tweet","The Kenyan Vigilante","KenyanSays","4/19/2025, 10:09:19 PM","20","805","4","3122","77825","105","tl","No","Twitter for Android","","https://x.com/KenyanSays/status/1913671268148318665","video","https://video.twimg.com/ext_tw_video/1913671228780359680/pu/vid/avc1/576x1024/9gOzNTS4dHUVCk4P.mp4?tag=12",""
"=""1913728111675584734""","Sifuna apewe beer mbili baridi for the first part. Notify me with the bill. https://t.co/2t4YZq45rb","Tweet","Vicky Junior (Jr).","Vickyjr","4/20/2025, 1:55:11 AM","12","241","2","859","50127","58","en","No","Twitter for iPhone","","https://x.com/Vickyjr/status/1913728111675584734","video","https://video.twimg.com/ext_tw_video/1913498133411123200/pu/vid/avc1/576x1024/jbzw6yBBcLpwp-1t.mp4?tag=12",""
"=""1914011060610216218""","Mi siko huko hata, na binge black mirror. Niache kabisa. Happy 420","Tweet","Edwin Sifuna","edwinsifuna","4/20/2025, 8:39:32 PM","134","297","16","2395","141162","56","tl","No","Twitter for iPhone","","https://x.com/edwinsifuna/status/1914011060610216218","","",""
"=""1913969985703026950""","Please forward to Senator @edwinsifuna","Quoted tweet","Njoroge Waweru","NjorogeWaweru","4/20/2025, 5:56:19 PM","1","7","1","56","164295","5","en","No","Twitter for Android","","https://x.com/NjorogeWaweru/status/1913969985703026950","","",""
"=""1914234360309440740""","Edwin Sifuna: I am not someone who is easily swayed. No matter what Raila said, I will never vote for Ruto. Ruto must go. https://t.co/QQHbiVv4LL","Tweet","Cornelius K. Ronoh","itskipronoh","4/21/2025, 11:26:50 AM","13","302","1","1613","36901","63","en","No","Twitter for iPhone","","https://x.com/itskipronoh/status/1914234360309440740","video","https://video.twimg.com/amplify_video/1914227845548683264/vid/avc1/1920x1080/hPFwE9pppzQJIE2g.mp4?tag=16",""
"=""1914243247544623464""","Pope Francis is the one who said it was okay for priests to extend blessings to sinners like me - Edwin Sifuna https://t.co/HcTp2CbuAS","Tweet","Kenyans.co.ke","Kenyans","4/21/2025, 12:02:09 PM","16","45","1","559","13125","3","en","No","Twitter Web App","","https://x.com/Kenyans/status/1914243247544623464","photo","https://pbs.twimg.com/media/GpDCDqBWMAAzAFv.jpg",""
"=""1914189519626129646""",""" ODM yenye najua sifuna haezi kuwa Anaongea hivyo anawachwa""- John Mark Ababu! https://t.co/WJLlXrVg5T","Tweet","The Kenyan Vigilante","KenyanSays","4/21/2025, 8:28:40 AM","7","56","4","206","18455","18","in","No","Twitter for Android","","https://x.com/KenyanSays/status/1914189519626129646","video","https://video.twimg.com/ext_tw_video/1914188836768264192/pu/vid/avc1/576x1024/1EI5oDN32S7zYaTX.mp4?tag=12",""
"=""1913196399782490541""","Kajwang defends Sifuna and Orengo! https://t.co/xpSA87daJI","Tweet","The Kenyan Vigilante","KenyanSays","4/18/2025, 2:42:21 PM","5","264","2","1046","37712","61","in","No","Twitter for Android","","https://x.com/KenyanSays/status/1913196399782490541","video","https://video.twimg.com/ext_tw_video/1913196323311923200/pu/vid/avc1/576x1024/eactSyCZ_EQWE4FT.mp4?tag=12",""
"=""1913590765600584167""","Reading 𝐆𝐞𝐧𝐞𝐫𝐚𝐥 𝐨𝐠𝐨𝐥𝐥𝐚's will shows he wasn’t really a simple man, he was just very mean.

He chose to have his personal things destroyed instead of letting the poor people he grew up with benefit from them.

Why burn clothes that could have been useful, maybe even https://t.co/2NuaBwvDmt","Tweet","Paul Amemba Magufuli","pamembamagufuli","4/19/2025, 4:49:25 PM","460","188","102","1024","176705","130","en","No","Twitter for Android","","https://x.com/pamembamagufuli/status/1913590765600584167","photo","https://pbs.twimg.com/media/Go5wp5mXkAEU_vo.jpg",""
"=""1914023812934348859""","This is a prison cell in Norway...

|Aoko Sifuna  Chelsea Nyayo Stadium Ten Hag| https://t.co/c2fvjVbz2q","Tweet","I_am_Daniel","daniel_ohtienoh","4/20/2025, 9:30:12 PM","0","4","0","27","12703","6","en","No","Twitter for Android","","https://x.com/daniel_ohtienoh/status/1914023812934348859","photo","https://pbs.twimg.com/media/Go_6gLhXIAAoXnk.jpg",""
"=""1913822564905890172""","Edwin Sifuna speaks what they need to hear not what they want to hear 🔥 https://t.co/sSylTJB2tF","Tweet","The Government Critic 🇰🇪","magwaz3","4/20/2025, 8:10:31 AM","9","164","0","394","18175","13","en","No","Twitter for Android","","https://x.com/magwaz3/status/1913822564905890172","video","https://video.twimg.com/ext_tw_video/1913822520093839360/pu/vid/avc1/576x1024/ZZZl2Neo2IWyQH1D.mp4?tag=12",""
"=""1914236381464867225""","Pope Francis is easily my favorite. A proper “sinner’s” Pope .See, according to Catholic doctrine, marriages like mine under Luhyia customary law are considered “unholy” unions. Sometimes they wont even baptize your kids till you “regularize”. This is the Pope who said it was OK","Tweet","Edwin Sifuna","edwinsifuna","4/21/2025, 11:34:52 AM","160","235","17","1764","112640","32","en","No","Twitter for iPhone","","https://x.com/edwinsifuna/status/1914236381464867225","","",""
"=""1913670243873952231""",""" We must stop being sycophants ""- Edwin Sifuna ODM SG lectures ODM experts! https://t.co/OcAIGVo9FM","Tweet","The Kenyan Vigilante","KenyanSays","4/19/2025, 10:05:15 PM","15","281","7","976","35700","41","en","No","Twitter for Android","","https://x.com/KenyanSays/status/1913670243873952231","video","https://video.twimg.com/ext_tw_video/1913670209010884608/pu/vid/avc1/576x1024/l8QSXFV7dLeMeWbf.mp4?tag=12",""
"=""1911040616391196721""","Edwin Sifuna has no time to sugarcoat 😂 https://t.co/SQklZ1Qe2n","Tweet","𝐀𝐥𝐯𝐢ṋ 𝐊𝐚ṋ𝐢ṋ𝐝𝐨","Alvin_Kanindo","4/12/2025, 3:56:03 PM","129","1094","54","4386","319081","491","es","No","Twitter for Android","","https://x.com/Alvin_Kanindo/status/1911040616391196721","video","https://video.twimg.com/ext_tw_video/1911040574766919680/pu/vid/avc1/854x480/9HxzOptpb3Y5SrIZ.mp4?tag=12",""
"=""1913466091734442441""","Raila wachana na Orengo,Babu Owino na Sifuna!!Angry Githurai Man Roars!! https://t.co/P6PMbpbBIb","Tweet","Mutembei TV","MutembeiTV","4/19/2025, 8:34:01 AM","2","76","0","210","14535","10","tl","No","Twitter Web App","","https://x.com/MutembeiTV/status/1913466091734442441","video","https://video.twimg.com/amplify_video/1913462357742788609/vid/avc1/1920x1080/3C9mVuv69xefE-V3.mp4?tag=16",""
"=""1913467387506045121""","There's something between Junet and Ruto who can't let Sifuna lecture him. https://t.co/CaziayyjCH","Tweet","𝗩𝗶𝗴𝗶𝗹𝗮𝗻𝘁𝗲 𝗩𝗮𝗻𝗴𝘂𝗮𝗿𝗱","vinguard254","4/19/2025, 8:39:10 AM","0","4","0","10","1369","3","en","No","Twitter for Android","","https://x.com/vinguard254/status/1913467387506045121","video","https://video.twimg.com/ext_tw_video/1913466703691894784/pu/vid/avc1/1024x576/0mpP3OlEwTiaUzz8.mp4?tag=12",""
"=""1914297828081348624""","Baba – Opportunist

Morara – Delusional

Ruto – Corrupt

Sudi – Illiterate

Kuria – Drunkard

Matiang’i – Baggage handler

Maraga – Entitled

Omtatah – Broke

Sifuna – Coward

Kindiki – Yes-man

Uhuru – Retired but toxic

Orengo – Expired relevance

Add whoever you wish, but https://t.co/BULMcsMZFA","Tweet","The Mayor","thelenyantrbn","4/21/2025, 3:39:02 PM","3","5","0","10","1059","0","en","No","Twitter for Android","","https://x.com/thelenyantrbn/status/1914297828081348624","photo","https://pbs.twimg.com/media/GpDzpkMWcAAZPSx.jpg",""
