"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1914042273186431263""","CS Soipan Tuya - Tukubaliane tutatue the chronic land problem in Narok https://t.co/L6xJWQvcKl","Tweet","Eng John Macharia","EngJohnMachari1","4/20/2025, 10:43:33 PM","1","0","0","6","172","0","tl","No","Twitter for Android","","https://x.com/EngJohnMachari1/status/1914042273186431263","video","https://video.twimg.com/ext_tw_video/1914042162410295296/pu/vid/avc1/960x540/Pqj98G9JJtJ6xT4B.mp4?tag=12",""
"=""1815753270297792890""","soipan tuya confusing bandits #RutoMustGo https://t.co/UojJuWGko3","Tweet","Verified","njiiru","7/23/2024, 5:18:09 PM","7","187","8","338","22468","45","es","No","Twitter for Android","#RutoMustGo","https://x.com/njiiru/status/1815753270297792890","video","https://video.twimg.com/ext_tw_video/1815753240102715392/pu/vid/avc1/640x334/cF-3gDit621I-N-M.mp4?tag=12",""
"=""1903330657540977122""","Soipan Tuya, the most mannerless female CS is calling Gen Zs mannerless.

Have some shame!

Remove Gen Zs from your mouth of omena.

We are going to fix this country brick by brick.

#DrainTheSwamp #RailaRutoMustGo https://t.co/rEwRagGvBi","Tweet","I am Chege","_James041","3/22/2025, 9:19:25 AM","52","649","7","2078","43754","19","en","No","Twitter for Android","#DrainTheSwamp, #RailaRutoMustGo","https://x.com/_James041/status/1903330657540977122","photo","https://pbs.twimg.com/media/Gmn9JUjbkAApQSW.jpg, https://pbs.twimg.com/media/Gmn9JW2XUAALb2_.jpg",""
"=""1913901337525317892""","Listen To Defence Cabinet Secretary Soipan Tuya's Remarks Infront of President Ruto in Narok https://t.co/VUQBJDKIKW","Tweet","Uzalendo News","UzalendoNews_KE","4/20/2025, 1:23:32 PM","0","1","0","3","68","0","en","No","Twitter Web App","","https://x.com/UzalendoNews_KE/status/1913901337525317892","video","https://video.twimg.com/amplify_video/1913899579763781632/vid/avc1/1920x1080/QEjfLcvPLRdw_8Vq.mp4?tag=16",""
"=""1910594093429801224""","Ksh 6.7 billion to be spent on Kasarani Stadium upgrade

Defense Cabinet Secretary Soipan Tuya has revealed that Ksh 3.6 billion has been allocated for the first phase of renovations at Moi International Sports Centre, Kasarani, ahead of the CHAN tournament scheduled for August. https://t.co/xRt6kupTSx","Tweet","Ole Teya","TeyaKevin","4/11/2025, 10:21:43 AM","146","135","43","1182","73931","26","en","No","Twitter for Android","","https://x.com/TeyaKevin/status/1910594093429801224","photo","https://pbs.twimg.com/media/GoPLM09XQAAOWCI.jpg, https://pbs.twimg.com/media/GoPLM7zWQAAWKTv.jpg",""
"=""1909619249410105516""","https://t.co/yJVxfS6wEJ","Tweet","Hon. Soipan Tuya, E.G.H","HonTuya","4/8/2025, 5:48:02 PM","45","47","10","300","29623","4","zxx","No","Twitter for iPhone","","https://x.com/HonTuya/status/1909619249410105516","photo","https://pbs.twimg.com/media/GoBUlNSWUAEwHqJ.jpg",""
"=""1910767885925900638""","CS Defence Hon. Soipan Tuya today presented the report on the Kenya Air Force Bell UH-1H-II (Huey) Helicopter KAF 1501 that crashed at Sindar Village, Kaben in Tot, Elgeyo Marakwet County on 18th April 2024. 
See more;https://t.co/S4v8gHprgv https://t.co/wLFqB1Xgnq","Tweet","Kenya Defence Forces","kdfinfo","4/11/2025, 9:52:19 PM","7","13","0","99","6438","2","en","No","Twitter for Android","","https://x.com/kdfinfo/status/1910767885925900638","photo","https://pbs.twimg.com/media/GoRpQR3XgAA6n5g.jpg, https://pbs.twimg.com/media/GoRpQTQXsAAo2-J.jpg, https://pbs.twimg.com/media/GoRpQTmWUAA3hRv.jpg, https://pbs.twimg.com/media/GoRpQawXgAA8QTy.jpg","https://shorturl.at/DNn7d"
"=""1822946142918676511""","Exchange of Powers:
CS Aden Duale hands over Ministry of Defence to CS Soipan Tuya. Duale officially takes over as Environment CS. The two CS have had a very close working relationship while they served in both Defence and Environment Ministries respectively!

 The relationship https://t.co/3Nv3iOrRS7","Tweet","Chris Sambu","the_sambu","8/12/2024, 1:40:03 PM","4","4","0","29","6332","0","en","No","Twitter for Android","","https://x.com/the_sambu/status/1822946142918676511","photo","https://pbs.twimg.com/media/GUxn2BxWsAAYIqI.jpg, https://pbs.twimg.com/media/GUxn2E-WAAE932C.jpg",""
"=""1913943368033317184""","""Praise be to the God and Father of our Lord Jesus Christ! In His great mercy He has given us new birth into a living hope through the resurrection of Jesus Christ from the dead."",
1 Peter 1:3.

Joined H.E President Dr @WilliamsRuto and the leadership of Narok &amp; Kajiado Counties https://t.co/B1wq8Ibxot","Tweet","Hon. Soipan Tuya, E.G.H","HonTuya","4/20/2025, 4:10:32 PM","15","21","2","173","6943","3","en","No","Twitter for iPhone","","https://x.com/HonTuya/status/1913943368033317184","photo","https://pbs.twimg.com/media/Go-xU4WXcAAyT2t.jpg, https://pbs.twimg.com/media/Go-xU4ZXgAEe61w.jpg, https://pbs.twimg.com/media/Go-xU4XXkAA3QkK.jpg, https://pbs.twimg.com/media/Go-xU4TW8AAizld.jpg",""
"=""1910286703576691152""","Hosted Hon. Soipan Tuya, Cabinet Secretary for Defence, in my office as she waited to join a committee session.
As a woman leader ,It’s always inspiring to engage with other strong women leaders who continue to break barriers and serve this country with distinction. https://t.co/6xBXVqulGb","Tweet","Edo Udgoon Siyad.","UdgoonSiyad","4/10/2025, 2:00:16 PM","16","9","2","122","11132","1","en","No","Twitter for iPhone","","https://x.com/UdgoonSiyad/status/1910286703576691152","photo","https://pbs.twimg.com/media/GoKzm6cXsAAtau5.jpg, https://pbs.twimg.com/media/GoKzm6-XsAA5UBr.jpg",""
