"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1911136845305438477""","A rare picture of Susan Kihika's twins 😂💀 https://t.co/GyO2cGIDdQ","Tweet","🍁ᴮᵒⁱⁿᵃᵐ🍁","djboinam_254","4/12/2025, 10:18:25 PM","169","1788","74","9249","201497","117","tl","No","Twitter for Android","","https://x.com/djboinam_254/status/1911136845305438477","photo","https://pbs.twimg.com/media/GoW41MeW8AAafZe.jpg",""
"=""1910792214365479282""","Beautiful fraternal twins, Congratulations to governor Susan Kihika... for those doubting fraternal twins don't have to look alike or be the same age. https://t.co/VU6dX14VzB","Tweet","Lema","LemayianLeiyan","4/11/2025, 11:28:59 PM","103","51","25","222","46606","6","en","No","Twitter for Android","","https://x.com/LemayianLeiyan/status/1910792214365479282","photo","https://pbs.twimg.com/media/GoR_YbqWkAAhJ_R.jpg",""
"=""1912025197483295129""","Drones send from Nakuru shows that Susan Kihika is enjoying life in this apartment. With a rent of 1M per month https://t.co/utsz4vKBcV","Tweet","Yoko","Kibet_bull","4/15/2025, 9:08:25 AM","6","39","1","92","4723","0","en","No","Twitter for Android","","https://x.com/Kibet_bull/status/1912025197483295129","photo","https://pbs.twimg.com/media/Gojgw95XEAAS9Tn.jpg, https://pbs.twimg.com/media/GojgxMEXQAASZF9.jpg, https://pbs.twimg.com/media/GojgyDVXUAAyEbn.jpg",""
"=""1911050908026233189""","Congratulations to Susan Kihika on the birth of her twins: https://t.co/HrBsmiZrN6","Tweet","Kitui’s Daughter","goaldigger_ke","4/12/2025, 4:36:56 PM","35","676","8","4301","94843","31","en","No","Twitter for iPhone","","https://x.com/goaldigger_ke/status/1911050908026233189","photo","https://pbs.twimg.com/media/GoVqq0hXAAAAwjf.jpg",""
"=""1914280832795095483""","Lakini Nakuru we fumbled big time. Susan Kihika brought down War Memorial hospital alafu akaenda US to seek medical service. A patient died recently due to poor service in our county","Tweet","Yoko","Kibet_bull","4/21/2025, 2:31:30 PM","4","18","0","58","841","0","en","No","Twitter for Android","","https://x.com/Kibet_bull/status/1914280832795095483","","",""
"=""1469624077052792834""","Photo of 19-year-old Susan Kihika when she joined the University of Reading, UK in 1993. A hustler indeed, she clearly started from nothing. https://t.co/9gRpcibvCP","Tweet","Substone Osoro","osorojunior_","12/11/2021, 2:04:18 PM","303","465","61","3513","","29","en","No","Twitter for Android","","https://x.com/osorojunior_/status/1469624077052792834","photo","https://pbs.twimg.com/media/FGUnTzKXwAI3cvY.jpg",""
"=""1910790845944766961""","I congratulate my brother Sam Mburu and gov Susan Kihika  for the twins. https://t.co/5u2a2GMuD4","Tweet","Cyprian, Is Nyakundi","C_NyaKundiH","4/11/2025, 11:23:33 PM","952","568","174","6845","805862","185","en","No","Twitter for iPhone","","https://x.com/C_NyaKundiH/status/1910790845944766961","photo","https://pbs.twimg.com/media/GoR-JNRWcAAM81b.jpg",""
"=""1913623629478101161""","You know you’re a woman in power when maternity leave becomes a full-blown investigation

let's be honest, kama Susan Kihika angeenda Pumwani, strory ingekuwa aje?

#WomenInPolitics https://t.co/jkf34XTo2U","Tweet","The Tribe of Wakanda","TheEniggma","4/19/2025, 7:00:01 PM","0","4","0","5","118","0","en","No","Twitter Web App","#WomenInPolitics","https://x.com/TheEniggma/status/1913623629478101161","photo","https://pbs.twimg.com/media/Go4iS4_XwAA76Ot.jpg",""
"=""1914270606679212436""","I extend my deepest condolences to all Catholics and people of goodwill in Nakuru County and around the world following the passing of Pope Francis. He was a spiritual giant whose compassion, humility, and unwavering commitment to justice, peace, and the dignity of all people https://t.co/B1PMmVYozr","Tweet","Susan Kihika","susankihika","4/21/2025, 1:50:52 PM","15","2","1","20","1820","0","en","No","Twitter for Android","","https://x.com/susankihika/status/1914270606679212436","photo","https://pbs.twimg.com/media/GpDa-NrWkAASt1N.jpg",""
"=""1910274939711582295""","Susan Kihika akiona Nakuru inatrend tena. https://t.co/b7r6BlAfQu","Tweet","Brian Mbunde ™","Brianmbunde","4/10/2025, 1:13:31 PM","4","58","1","152","11070","13","in","No","Twitter for iPhone","","https://x.com/Brianmbunde/status/1910274939711582295","video","https://video.twimg.com/ext_tw_video/1884703799677173760/pu/vid/avc1/888x484/PNMi3DhmxvPmoNtK.mp4?tag=12",""
