"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1371360803199328261""","Remember uhuru kenyatta campaigning in the rain? Look at the fuel prices behind him... https://t.co/sMoLry63mV","Tweet","Lumumba 🇰🇪","e_lumumba","3/15/2021, 10:21:08 AM","76","1343","66","3101","","15","en","No","Twitter for Android","","https://x.com/e_lumumba/status/1371360803199328261","photo","https://pbs.twimg.com/media/EwgNYD_WgAQUW_x.jpg",""
"=""1476432750911623170""","Leo ndo ile siku our Elit Music artists courtesy of @EliteboothENT watatuburudisha Pale Paradise Garden, Kiamba Rd! Manze usikoze hii itakua lit sana.
Early Birds: ksh 1000 
Gate: ksh. 1500
Til: 9271309
#NikujaribuTu
Azimio Kenyan Mps Tangatanga mps Uhuru kenyatta mpigs Duale https://t.co/8E1zpndSd5","Tweet","ORINA_LvG","Orina_Augustine","12/30/2021, 8:59:33 AM","3","25","0","35","","0","tl","No","Twitter for Android","#NikujaribuTu","https://x.com/Orina_Augustine/status/1476432750911623170","video","https://video.twimg.com/ext_tw_video/1476432622893031429/pu/vid/640x512/hhg-DtXTg_OCYrne.mp4?tag=12",""
"=""1475888620104003593""","Kibaki was a wise man. He let Kenyans to decide for themselves the  leaders they wanted. President Uhuru Kenyatta should stop forcing on Kenyans Raila Odinga. https://t.co/CIh1Mkbtmv","Tweet","Mc Shynne_Ke🇰🇪🇨🇭🌍","McShynne_Ke","12/28/2021, 8:57:22 PM","3","3","0","15","","1","en","No","Twitter for Android","","https://x.com/McShynne_Ke/status/1475888620104003593","video","https://video.twimg.com/ext_tw_video/1475888126908198914/pu/vid/576x1024/OEpuRhmAf-GEl9QR.mp4?tag=12",""
"=""1452938377897168902""","Happy Birthday to H.E President Uhuru Muigai Kenyatta. https://t.co/s4sHRrnuyw","Tweet","Hassan Ali Joho, EGH.","HassanAliJoho","10/26/2021, 1:01:18 PM","31","45","2","922","","1","in","No","Twitter for iPhone","","https://x.com/HassanAliJoho/status/1452938377897168902","photo","https://pbs.twimg.com/media/FCnfwBUXoAEC8vn.jpg",""
"=""1386678271073562625""","Tonight from 8:08pm I’ll be addressing the nation on my IG live.
Agenda: 
1) Meeting H.E Uhuru Kenyatta 2015
2) Meeting H.E @RailaOdinga in 2015
3) Covid 19 impact on Art &amp; Small Business owners
4) Wasani Mambleina 
5) Walami 😂
6) Jungle@Fever &amp; my Sound
7) Rada Chafu
8) AOB 🐐 https://t.co/Y516LWSnVS","Tweet","OCTOPIZZO","OCTOPIZZO","4/26/2021, 4:47:17 PM","83","134","13","737","","1","en","No","Twitter for iPhone","","https://x.com/OCTOPIZZO/status/1386678271073562625","photo","https://pbs.twimg.com/media/Ez54howWEAEz35r.jpg, https://pbs.twimg.com/media/Ez54houXsAAZ85u.jpg, https://pbs.twimg.com/media/Ez54houWUAM5tI0.jpg, https://pbs.twimg.com/media/Ez54ho1XEAMOlMb.jpg",""
"=""1476274936348037123""","""I don't want Uhuru Kenyatta's ENDORSEMENT. I want his VOTE. If the President offers me his vote I will be grateful. I'm not his project and I don't want to be his project.""- Raila Odinga https://t.co/1FYlqXTJZs","Tweet","Substone Osoro","osorojunior_","12/29/2021, 10:32:27 PM","0","1","0","7","","0","en","No","Twitter for Android","","https://x.com/osorojunior_/status/1476274936348037123","photo","https://pbs.twimg.com/media/FHzIOt6VEAAKA-Y.jpg",""
"=""1376764501425582080""","Lakini sasa ni relationship ama ni crime scene? Dem ananisorora socials ni kama anatafutia uhuru Kenyatta &amp; @DCI_Kenya evidence 🚶🏼‍♂️😒 https://t.co/fCYbfY5NJf","Tweet","iamxxvi 🐊","silver_xxvi","3/30/2021, 8:13:30 AM","0","0","0","2","","0","tl","No","Twitter for Android","","https://x.com/silver_xxvi/status/1376764501425582080","photo","https://pbs.twimg.com/media/ExtAAzgXEAEa5Jm.jpg",""
"=""1461017646078513155""","Uhuru Kenyatta is tribal. I don't understand why it was easier to fire 
Wycliffe Ogalo and command his arrest and completely difficult to fire Kembi Gitura https://t.co/kGmW1ysuK0","Tweet","Muturi wa Karanja","mp_muturi","11/17/2021, 8:05:25 PM","15","41","2","228","","0","en","No","Twitter Web App","","https://x.com/mp_muturi/status/1461017646078513155","photo","https://pbs.twimg.com/media/FEaTxziXEAQqeQ_.jpg, https://pbs.twimg.com/media/FEaTywyXwAUjqRx.jpg",""
"=""1453021617748074496""","Uhuru Kenyatta set to join UDA before end of Nov. Mark this tweet","Tweet","Wambo","BoboWamboiKuria","10/26/2021, 6:32:04 PM","54","44","6","482","","0","en","No","Twitter for Android","","https://x.com/BoboWamboiKuria/status/1453021617748074496","","",""
"=""1392377529533669376""","The President of Kenya H.E Uhuru Kenyatta has arrived in the country to attend the swearing-in ceremony of H.E @KagutaMuseveni. 

#UBCUpdates #M7SwearsIn2021 https://t.co/zke8cxEDUq","Tweet","UBC UGANDA","ubctvuganda","5/12/2021, 10:14:06 AM","26","82","9","539","","0","en","No","Twitter for iPhone","#UBCUpdates, #M7SwearsIn2021","https://x.com/ubctvuganda/status/1392377529533669376","photo","https://pbs.twimg.com/media/E1K39qpWYAYeZ3y.jpg",""
