"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1914269284018028945""","""Five characters around the cross that Kenyans should be wary of"" - a thought-provoking piece by mine truly, @kamothowaiganjo. https://t.co/3URTHzN3vj","Tweet","Anne Waiguru EGH, OGW","AnneWaiguru","4/21/2025, 1:45:37 PM","42","36","0","56","2691","3","en","No","Twitter Web App","","https://x.com/AnneWaiguru/status/1914269284018028945","photo","https://pbs.twimg.com/media/GpDZrCEXgAEKLYu.jpg",""
"=""1912492105944924665""","Lately,  people I respected so much as a kid are proving me wrong. 
People I looked up have lost their own respect. The things they do, the  words they say are proving otherwise.
Anne Waiguru Morara  mediheal https://t.co/6Q7AAtPv80","Tweet","Mama Ahadi","matheka_brianna","4/16/2025, 4:03:45 PM","2","4","0","30","12706","8","en","No","Twitter for Android","","https://x.com/matheka_brianna/status/1912492105944924665","video","https://video.twimg.com/ext_tw_video/1912492076777771008/pu/vid/avc1/480x640/BPc2wOdSQxKmf047.mp4?tag=12",""
"=""1912466735594119471""","Sorry, the only place I interact with water freely is in the bathroom 
Ann Waiguru Mediheal Eastleigh Haram https://t.co/P9gYI9Rplx","Tweet","Mhe Litundunya.","litundunya","4/16/2025, 2:22:56 PM","0","2","0","4","998","4","en","No","Twitter for Android","","https://x.com/litundunya/status/1912466735594119471","video","https://video.twimg.com/ext_tw_video/1912466509600890880/pu/vid/avc1/360x640/yCkH2cb7JNK2SmAx.mp4?tag=12",""
"=""1912550100833882225""","I just realized this photographer is the guy who survived the plane crash, which was carrying CDF Ogolla
Deborah Barasa Arsenal can't win John Mbadi Anne Waiguru Mediheal https://t.co/cMXXBfAh8d","Tweet","MALONE","Malone1k","4/16/2025, 7:54:12 PM","7","30","1","98","24065","11","en","No","Twitter for Android","","https://x.com/Malone1k/status/1912550100833882225","photo","https://pbs.twimg.com/media/Goq-Kw2WcAA37A2.jpg",""
"=""1907807578630889599""","Goovernor Anne Waiguru coaching Boda boda guys how to welcome President Ruto in Kirinyaga. https://t.co/EH4faHMgyY","Tweet","47 NEWS NAIROBI","47newsnairobi","4/3/2025, 5:49:06 PM","0","6","0","11","2937","1","en","No","Twitter Web App","","https://x.com/47newsnairobi/status/1907807578630889599","video","https://video.twimg.com/ext_tw_video/1907807534276038656/pu/vid/avc1/432x240/WoFFQJX_YTOeYp6S.mp4?tag=12",""
"=""1910224802868056521""","Where are those Women leaders led by Ann Waiguru and Gladys Wanga? Sijaskia wakitetea Butere Girs!!!! https://t.co/ObvrtVqcK4","Tweet","Dan Nyagah","dan_nyagah","4/10/2025, 9:54:17 AM","224","497","24","1607","21889","4","en","No","Twitter for Android","","https://x.com/dan_nyagah/status/1910224802868056521","photo","https://pbs.twimg.com/media/GoJ7UmLXAAALdzb.jpg, https://pbs.twimg.com/media/GoJ7UkQXoAAOSyi.jpg",""
"=""1907798575083344098""","This is the hard truth on President Wlliam Ruto

Kimani Ichungw'ah
Justin Muturi
Anne Waiguru
Rebecca Miano
JKIA
Ol Kalou https://t.co/JVCqs5F7J6","Tweet","candidmwendwa","candidmwendwa","4/3/2025, 5:13:20 PM","2","18","0","45","18833","9","en","No","Twitter for Android","","https://x.com/candidmwendwa/status/1907798575083344098","photo","https://pbs.twimg.com/media/GnncqkcWYAEq0v1.jpg",""
"=""1912479594126418368""","Doctors on my tl, is this even possible 
It's the first time am hearing of such in my 56 years in this world 

(Uhuru Kenyatta Side Chic Anthem Anne Waiguru Mediheal Ndindi Nyoro) https://t.co/Z842fXz2R6","Tweet","Mbevi Muoki","mbevi_muoki","4/16/2025, 3:14:02 PM","3","2","0","15","8441","10","en","No","Twitter Web App","","https://x.com/mbevi_muoki/status/1912479594126418368","video","https://video.twimg.com/amplify_video/1912479478749487104/vid/avc1/576x1056/JhHuR2U9qyuh-igF.mp4?tag=14",""
"=""1912857005238243733""","Thanks to Governor Waiguru, Kirinyaga coffee farmers are smiling! Subsidized fertilizer delivered to 28 depots means better harvests and reduced expenses.
#WiraWarie #KirinyagaRising https://t.co/DXYVEhWLkR","Tweet","🅿🆁🅴🅰🅲🅷🅴🆁🅺🅸🅳 🇰🇪🇬🇧","Gregy_Ke","4/17/2025, 4:13:43 PM","0","0","0","1","378","0","en","No","Twitter for Android","#WiraWarie, #KirinyagaRising","https://x.com/Gregy_Ke/status/1912857005238243733","photo","https://pbs.twimg.com/media/GovVTvoXAAA4Yvx.jpg, https://pbs.twimg.com/media/GovVTsLXkAAclaC.jpg",""
"=""1912484406637326550""","JOWI! JOWI! JOWI! There is not a single thing that Ruto has done that does not stink of graft/ corruption. Nothing.
The entire KICC building plus the KICC land will be fradulently sold to Kasongo ltd.

Mediheal Ann Waiguru Morara Deborah Barasa
https://t.co/0UGnHe5y1p","Tweet","Kabansora 🗨","KabansoraKe","4/16/2025, 3:33:09 PM","2","9","0","21","6359","2","en","No","Twitter for Android","","https://x.com/KabansoraKe/status/1912484406637326550","video","https://video.twimg.com/amplify_video/1912190775967834112/vid/avc1/1280x720/QVtfBgbN2dvLf9V9.mp4?tag=16",""
"=""1912493258170642900""","J 9 now in stock 
38(((45
For 4300/-
0721207052

Orengo Atandi Morara Anne Waiguru Grape Mediheal https://t.co/quPFvos8sj","Tweet","Bet Elder","betelder","4/16/2025, 4:08:19 PM","0","9","0","11","3530","0","tl","No","Twitter for Android","","https://x.com/betelder/status/1912493258170642900","photo","https://pbs.twimg.com/media/GoqKeCjWMAAGElK.jpg, https://pbs.twimg.com/media/GoqKeGyWsAA6UVi.jpg, https://pbs.twimg.com/media/GoqKeV6W8AAW-XM.jpg, https://pbs.twimg.com/media/GoqKeWXXgAE8KFD.jpg",""
"=""1907722840100557017""","This is Kisumu-Kakamega Road in  1962

All the brown shirts and shorts were once white, like the one for the privileged boss boy pocketing there
It's true tumetoka mbali sana.
Ann Waiguru RIP George karauri Mt Kenya https://t.co/75GPOt8xb3","Tweet","Mhe Litundunya.","litundunya","4/3/2025, 12:12:23 PM","0","4","0","26","7896","3","en","No","Twitter for Android","","https://x.com/litundunya/status/1907722840100557017","photo","https://pbs.twimg.com/media/GnmXzzyXYAAZWgX.jpg",""
"=""1913565919642558782""","Paid my respects to the late Mzee Francoh Githae Gatongu, father-in-law to our CECM Finance &amp; Economic Planning, Jackline Njogu. His life of service, faith, and devotion to family left a legacy that will continue to guide and inspire many. May his memory be a blessing, and may https://t.co/H2TXiypzq8","Tweet","Anne Waiguru EGH, OGW","AnneWaiguru","4/19/2025, 3:10:42 PM","55","60","2","201","16234","2","en","No","Twitter Web App","","https://x.com/AnneWaiguru/status/1913565919642558782","photo","https://pbs.twimg.com/media/Go5aBrTWYAAtTLF.jpg, https://pbs.twimg.com/media/Go5aBrTXgAAB314.jpg, https://pbs.twimg.com/media/Go5aBrbXQAAgYeY.jpg, https://pbs.twimg.com/media/Go5aBrUXkAAKs6R.jpg",""
"=""1911671798120280565""","Kudos to Governor Anne Waiguru for boldly championing organic farming in Kirinyaga! 

More governors must follow suit—our nation’s future depends on it! 

#Theorganicguy https://t.co/2BaRFZAeri","Tweet","The Organic Guy","The_Organic_Guy","4/14/2025, 9:44:08 AM","0","1","1","6","149","0","en","No","Twitter for Android","#Theorganicguy","https://x.com/The_Organic_Guy/status/1911671798120280565","photo","https://pbs.twimg.com/media/GoefXmwXUAAJghQ.jpg",""
"=""988794453052698626""","@MaryDeBoss7 @C_NyaKundiH @DCI_Kenya @AnneWaiguru That's why Waiguru should sue ,its a civil case not criminal ama bado hujaelewa ? https://t.co/46CSiyV0D0","Reply","HⓐҜＵⓝⓐ Ma'Ť'AŤA (™)💙","GonaWaMwaksha","4/24/2018, 5:59:03 PM","1","2","0","7","","0","en","No","Twitter for Android","","https://x.com/GonaWaMwaksha/status/988794453052698626","photo","https://pbs.twimg.com/media/DbjnT3UUQAAbzmo.jpg",""
