"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1910731875196305665""","Today I met Caleb Sunguti our Roots Party candidate for Malava Constituency by election. https://t.co/kSvSDTSdjA","Tweet","G L Wajackoyah","glwajackoyah","4/11/2025, 7:29:13 PM","3","0","0","13","588","0","en","No","Twitter Web App","","https://x.com/glwajackoyah/status/1910731875196305665","photo","https://pbs.twimg.com/media/GoRIVSZXgAUQSk1.jpg, https://pbs.twimg.com/media/GoRIYFaXgAIUoZr.jpg, https://pbs.twimg.com/media/GoRIfG0XgAYStph.jpg",""
"=""1910986481751011510""","My son speaking at Bishop JJ Gitahi’s Church https://t.co/2N0WmjMRdM","Tweet","G L Wajackoyah","glwajackoyah","4/12/2025, 12:20:56 PM","18","90","2","1943","38170","8","en","No","Twitter Web App","","https://x.com/glwajackoyah/status/1910986481751011510","photo","https://pbs.twimg.com/media/GoUwET5XsAAhL86.jpg",""
"=""1910445183356858437""","The truth https://t.co/pikdUZFzE7","Tweet","G L Wajackoyah","glwajackoyah","4/11/2025, 12:30:00 AM","7","68","4","298","17709","18","en","No","Twitter Web App","","https://x.com/glwajackoyah/status/1910445183356858437","video","https://video.twimg.com/amplify_video/1910442237550329856/vid/avc1/480x480/PSGx7nRhPAJm2i7b.mp4?tag=14",""
"=""1558173885413167106""","County ~ KILIFI
Sub county ~Magarini
Polling Station ~ Bomani Pri School (2)

Reg voters = 613
- Raila—991
- Ruto—081
- Wahika—000
- Wajackoyah—005

They stole like mongoose but still failed. https://t.co/LnFCDbo3nK","Tweet","Dr. Miguna Miguna","MigunaMiguna","8/12/2022, 10:29:38 PM","425","593","49","2700","","11","en","No","Twitter Web App","","https://x.com/MigunaMiguna/status/1558173885413167106","photo","https://pbs.twimg.com/media/FZ--4YiX0AA5fyM.jpg",""
"=""1887226212843503793""","George Wajackoyah: How would you say five chiefs are allegedly abducted by Al Shabaab and the president promises to bring them back, kids are abducted, some of them killed, and you don't care? You are liable for the children who have disappeared. https://t.co/IVLjFMzGt4","Tweet","The Standard Digital","StandardKenya","2/5/2025, 10:46:06 PM","41","2018","15","5500","66720","42","en","No","Hootsuite Inc.","","https://x.com/StandardKenya/status/1887226212843503793","photo","https://pbs.twimg.com/media/GjDGPWLXwAAwBav.jpg",""
"=""1885963488272519577""","George Wajackoyah interacts with traders at Kilifi Mkoroshoni Open Air Market https://t.co/ZZTMmv8mzK","Tweet","Kenyans.co.ke","Kenyans","2/2/2025, 11:08:29 AM","29","126","3","1928","50148","5","en","No","Twitter Web App","","https://x.com/Kenyans/status/1885963488272519577","photo","https://pbs.twimg.com/media/GixJyNJXMAAwYRB.jpg",""
"=""1913643808580907418""","I joined Hon. Wamalwa (DAP K Party leader) and Governor Otuoma (Busia County) at Hon. Wanjala’s son’s traditional wedding in Budalangi constituency. https://t.co/vZNu4YxU6S","Tweet","G L Wajackoyah","glwajackoyah","4/19/2025, 8:20:12 PM","1","5","0","47","1231","0","en","No","Twitter Web App","","https://x.com/glwajackoyah/status/1913643808580907418","photo","https://pbs.twimg.com/media/Go6g3jdXsAARYbB.jpg",""
"=""1913145320394944734""","My mother-in-law, Doreen Cheatham, has gone to be with the Lord. She was my best friend https://t.co/vxShpCGON1","Tweet","G L Wajackoyah","glwajackoyah","4/18/2025, 11:19:23 AM","19","15","0","243","5193","1","en","No","Twitter Web App","","https://x.com/glwajackoyah/status/1913145320394944734","photo","https://pbs.twimg.com/media/Gozbhb9XIAEni5c.jpg",""
"=""1911066346663694469""","Sifuna and Wajackoyah lectures William Ruto like a kid concerning the Butere Girls saga
Sifuna/Raila Odinga/William Ruto/Siaya /Homabay/Twins https://t.co/HETNNodJy4","Tweet","Ochieng Chrispine","ChrisleyJayden8","4/12/2025, 5:38:17 PM","2","0","0","34","970","1","en","No","Twitter for Android","","https://x.com/ChrisleyJayden8/status/1911066346663694469","photo","https://pbs.twimg.com/media/GoV4turX0AADG9Q.jpg",""
"=""1900113108036653063""","Collins Leitich, the localman behind a Fake police station in Uasin Gishu, hires Wajackoyah as his lawyer https://t.co/c4Mc3y4dBn","Tweet","Goddie","Goddie_Ke","3/13/2025, 12:14:02 PM","56","477","9","4556","75240","30","en","No","Twitter for Android","","https://x.com/Goddie_Ke/status/1900113108036653063","photo","https://pbs.twimg.com/media/Gl6Oy9RXwAATnrP.jpg",""
"=""1887897081865437622""","Wajackoyah had a point 😂. https://t.co/AuiS2kO26f","Tweet","Bill™","PJ36_","2/7/2025, 7:11:54 PM","1","11","0","29","2488","0","en","No","Twitter for Android","","https://x.com/PJ36_/status/1887897081865437622","photo","https://pbs.twimg.com/media/GjMoY_LWwAADnHG.jpg",""
"=""1879019167833309680""","If someone would have abducted President Ruto's child, what would Rachel Ruto feel? The President's close confidants are the ones misleading him - George Wajackoyah https://t.co/wCWRGPmA7V","Tweet","Kenyans.co.ke","Kenyans","1/14/2025, 7:14:14 AM","50","497","19","2259","43502","10","en","No","Twitter Web App","","https://x.com/Kenyans/status/1879019167833309680","photo","https://pbs.twimg.com/media/GhOdvGxW0AAh0rI.jpg",""
"=""1909528225459351796""","Kenyan Tycoon Prof George Wajackoyah becomes the first African to own a Tesla Cyber truck https://t.co/O7xdKOyXxt","Tweet","PETER MUTETI","Petermuteti21","4/8/2025, 11:46:20 AM","19","53","1","335","5847","0","en","No","Twitter for iPhone","","https://x.com/Petermuteti21/status/1909528225459351796","photo","https://pbs.twimg.com/media/GoAByVxW0AA5U2I.jpg",""
"=""1913844021950116324""","Nani ako na Ile video ya Wajackoyah akishout Bangi Bangi.","Tweet","outis","CNairobian1_","4/20/2025, 9:35:46 AM","5","8","0","59","1116","0","tl","No","Twitter for Android","","https://x.com/CNairobian1_/status/1913844021950116324","","",""
"=""1912920868683932012""","Orengo is a great Kenyan https://t.co/BKeMOydVzL","Tweet","G L Wajackoyah","glwajackoyah","4/17/2025, 8:27:30 PM","3","16","1","116","3218","2","in","No","Twitter Web App","","https://x.com/glwajackoyah/status/1912920868683932012","photo","https://pbs.twimg.com/media/GowPYTJWwAA4vVi.jpg",""
