"Tweet ID","Tweet Text","Type","Author Name","Author Username","Creation Time","Reply Count","Retweet Count","Quote Count","Like Count","View Count","Bookmark Count","Language","Possibly Sensitive","Source","Hashtags","Tweet URL","Media Type","Media URLs","External URLs"
"=""1914233486946320770""","With deep sorrow and a profound sense of loss, I join millions across the world in mourning the passing of His Holiness, Pope Francis.

A beacon of humility, compassion, and social justice, Pope Francis dedicated his life to serving God and humanity. His unwavering advocacy for https://t.co/T716WA2yND","Tweet","Rt.Hon.Dr.Moses Wetang'ula","HonWetangula","4/21/2025, 11:23:22 AM","176","65","33","669","39967","5","en","No","Twitter for iPhone","","https://x.com/HonWetangula/status/1914233486946320770","photo","https://pbs.twimg.com/media/GpC5M7BWoAA8yww.jpg",""
"=""1914213029358510500""","Ever since Raila entered the government, Musalia and Wetangula have been in a constant state of panic. They don't know when they will be disposed of - Natembeya https://t.co/57tvGOd3tf","Tweet","RTC News","RTCNews_Ke","4/21/2025, 10:02:05 AM","0","0","0","0","26","0","en","No","Twitter Web App","","https://x.com/RTCNews_Ke/status/1914213029358510500","video","https://video.twimg.com/amplify_video/1914212740991680512/vid/avc1/720x720/NHtepwvosEG8hz0w.mp4?tag=14",""
"=""1913478107308163468""","Beatrice Elachi was spotted in high spirits at Moses Wetangula's daughter's wedding weeks after burying her son, and her outfit left netizens awed. Photo in comments.

Photos: Beatrice Elachi, William Ruto/UGC. https://t.co/dTBdj8gHI7","Tweet","Simon Mogire Official","simonmogir6691","4/19/2025, 9:21:46 AM","0","0","0","3","126","0","en","No","Twitter for Android","","https://x.com/simonmogir6691/status/1913478107308163468","photo","https://pbs.twimg.com/media/Go4KK7lXMAAV6zf.jpg",""
"=""1911510140852842655""","Wetangula has to look over his shoulders from time to time https://t.co/TbPWuxhwNG","Tweet","Eng. Nyasikera","Arap_Nyasikera","4/13/2025, 11:01:46 PM","1","3","1","8","3444","1","en","No","Twitter Web App","","https://x.com/Arap_Nyasikera/status/1911510140852842655","photo","https://pbs.twimg.com/media/GocL_lfW4AEJP3-.jpg",""
"=""1913507876779237533""","[PHOTOS]  President Ruto Attends Wetangula’s Daughter’s Lavish Wedding

President William Ruto made a surprise appearance on Friday, April 19, at the wedding of Tamara Wetang’ula, daughter of National Assembly Speaker Moses Wetang’ula.

The elegant ceremony, held in Namuyemba, https://t.co/u1hMioHMPA","Tweet","City Mirror","citymirrorKE","4/19/2025, 11:20:03 AM","0","2","0","2","120","0","en","No","Twitter Web App","","https://x.com/citymirrorKE/status/1913507876779237533","photo","https://pbs.twimg.com/media/Go4krIOXcAAVjYd.png, https://pbs.twimg.com/media/Go4ks4iXUAAPCUp.png, https://pbs.twimg.com/media/Go4kvcQWUAApqEi.png, https://pbs.twimg.com/media/Go4ky0OXkAAHibI.png",""
"=""1913237636468134246""","President Ruto graces the wedding of Speaker Moses Wetangula's daughter, Tamara, and Anthony Njoroge https://t.co/Ok4cyI4aqs","Tweet","Citizen TV Kenya","citizentvkenya","4/18/2025, 5:26:13 PM","59","61","28","523","116975","17","en","No","Twitter Web App","","https://x.com/citizentvkenya/status/1913237636468134246","photo","https://pbs.twimg.com/media/Go0vbFJXoAEEDlg.jpg, https://pbs.twimg.com/media/Go0vbwpXUAA6HFI.jpg, https://pbs.twimg.com/media/Go0vcuFXEAActKT.jpg, https://pbs.twimg.com/media/Go0vdzQWkAEWbKT.jpg",""
"=""1913228831395106903""","Today I had the honour of joining the speaker of the National Assembly, Hon. Moses Wetangu'la and the family in witnessing the wedding ceremony of his daughter Tamara Wetangula to Antony Njoroge .

""Therefore what God has joined together, let no one separate."" ( Mark 10:9). https://t.co/J7Y8BPxeZC","Tweet","Dr Deborah Mlongo Barasa","DeboraBarasa","4/18/2025, 4:51:14 PM","8","6","0","72","5653","1","en","No","Twitter for iPhone","","https://x.com/DeboraBarasa/status/1913228831395106903","photo","https://pbs.twimg.com/media/Go0nekWWMAABGfn.jpg, https://pbs.twimg.com/media/Go0nekcWsAAZhC0.jpg, https://pbs.twimg.com/media/Go0nekVWYAAJ-WD.jpg, https://pbs.twimg.com/media/Go0nekWXwAARVsf.jpg",""
"=""1909181395198501121""","What has Wetangula done for this country to have a road named after him? https://t.co/TfOiBKLXvp","Tweet","The Government Critic 🇰🇪","magwaz3","4/7/2025, 12:48:10 PM","21","42","2","112","6005","3","en","No","Twitter for Android","","https://x.com/magwaz3/status/1909181395198501121","video","https://video.twimg.com/ext_tw_video/1909181308510904320/pu/vid/avc1/360x640/l7ruaaOuidNlIJtC.mp4?tag=12",""
"=""1911797667341930759""","Moses Wetangula: The girls who have been killed in Airbnbs are in universities, they are educated

Hannah Wendot Cheptumo (Gender CS nominee): They are educated, but those ones are looking for money
#ViralVideos https://t.co/giu4ufZCTF","Tweet","Viral Tea Ke","ViralTeaKe","4/14/2025, 6:04:18 PM","11","9","13","29","20017","4","en","No","Twitter Web App","#ViralVideos","https://x.com/ViralTeaKe/status/1911797667341930759","video","https://video.twimg.com/amplify_video/1911797371417042946/vid/avc1/720x720/RQikFjIvfuYWaiD4.mp4?tag=14",""
"=""1911787455608475714""","Hannah Wendot Cheptumo: Femicide is brought about by dependency. If girls were able to have economic power, they would not depend on either gender. If a woman is educated, chances are that they will avoid some of these challenges in society

Moses Wetangula: The girls who have https://t.co/lH8G1CTWR0","Tweet","Citizen TV Kenya","citizentvkenya","4/14/2025, 5:23:43 PM","284","134","538","497","453579","198","en","No","Twitter Web App","","https://x.com/citizentvkenya/status/1911787455608475714","video","https://video.twimg.com/amplify_video/1911787338620907520/vid/avc1/1280x720/Du8QguZnBDIMpQfj.mp4?tag=14",""
"=""1068028627395186689""","@Wetangulam Wetangula and extrapolated bullshit https://t.co/Edcg5nVjDP","Reply","HⓐҜＵⓝⓐ Ma'Ť'AŤA (™)💙","GonaWaMwaksha","11/29/2018, 9:27:22 AM","0","0","0","0","","0","en","No","Twitter for Android","","https://x.com/GonaWaMwaksha/status/1068028627395186689","photo","https://pbs.twimg.com/media/DtJmX74XQAAMO-L.jpg",""
"=""1912109752382877746""","This was Moses Wetangula using two minutes he was given during Jacob Juma's requiem mass to narrate how Jacob Juma met his death.

If you ask Moses Wetangula what changed, he will tell you that everything he does, he does for his stomach.

#RutoMustGoNow #DrainTheSwamp https://t.co/u93EXi8rjl","Tweet","I am Chege","_James041","4/15/2025, 2:44:24 PM","6","399","7","879","31174","85","en","No","Twitter for Android","#RutoMustGoNow, #DrainTheSwamp","https://x.com/_James041/status/1912109752382877746","video","https://video.twimg.com/ext_tw_video/1912109535256330240/pu/vid/avc1/640x360/Uj_CjIxBOoKi_8P5.mp4?tag=12",""
"=""1913254046049116318""","The foundation of our nation and society is family.

This Easter remains a memorable one for my family, as we witness our daughter take the next step of commitment to love.

Today, we witness not just the union of two families, but a further strengthening of the social fabric and https://t.co/68rNJNVjG0","Tweet","Rt.Hon.Dr.Moses Wetang'ula","HonWetangula","4/18/2025, 6:31:25 PM","43","37","4","322","24486","5","en","No","Twitter for iPhone","","https://x.com/HonWetangula/status/1913254046049116318","photo","https://pbs.twimg.com/media/Go0-ZrTWgAAyj0R.jpg, https://pbs.twimg.com/media/Go0-ZrTXMAAoP6C.jpg, https://pbs.twimg.com/media/Go0-ZrVWEAAXwQu.jpg, https://pbs.twimg.com/media/Go0-ZrWXUAA_U4T.jpg",""
"=""1910555319391981831""","Moses Wetangula alikuwa anadinya mali fresh from Campus pale bungoma KMTC buana akituachia takataka smh

Check thread 🧵 https://t.co/4BB2DwakC7","Tweet","TOMMY™𓃵","Sontommy254","4/11/2025, 7:47:39 AM","42","39","0","46","709","1","in","No","Twitter for Android","","https://x.com/Sontommy254/status/1910555319391981831","photo","https://pbs.twimg.com/media/GoOn7F5XgAEi573.jpg, https://pbs.twimg.com/media/GoOn7HhW4AAI7Gw.jpg, https://pbs.twimg.com/media/GoOn7JZW4AAHxeF.jpg",""
"=""413579264923942912""","""RT @Loise_Wangui: Moses Wetangula casts his vote.#Bungoma by-election# http://t.co/03JbUlOztH"" cc @dmelld","Tweet","Melv","melvohsync","12/19/2013, 10:59:15 AM","0","0","0","0","","0","en","No","TweetDeck","#Bungoma","https://x.com/melvohsync/status/413579264923942912","photo","https://pbs.twimg.com/media/Bb1Jy0eIMAAH5vl.jpg",""
"=""1897203637044306005""","Huyo dem wa Wetangula mambo yake ishaenda mzuri.
Atamaliza Nursing course yake apate wera in a big govt hospital afanye mamiaka kadhaa. Atakuwa akizungushwa kwa expensive hotels akiambiwa ""you know I can make you a Health CS..""","Tweet","𝙱𝚛𝚒𝚊𝚗 𝙺𝚘𝚛𝚒𝚛","_Briankorir","3/5/2025, 11:32:50 AM","3","21","2","36","1027","0","tl","No","Twitter for Android","","https://x.com/_Briankorir/status/1897203637044306005","","",""
"=""1910353557146022203""","Wetangula has a very bad taste in women.
Jamaa alikuwa anakula mnyama buana.","Tweet","𝙱𝚛𝚒𝚊𝚗 𝙺𝚘𝚛𝚒𝚛","_Briankorir","4/10/2025, 6:25:55 PM","7","25","0","101","2427","2","in","No","Twitter for Android","","https://x.com/_Briankorir/status/1910353557146022203","","",""
"=""976120608466571265""","@WiperMovement @TheODMparty Can you guys get in the bus mnachelewa @Wetangulam na @skmusyoka #wetangula https://t.co/oqM1EaX9Eu","Reply","HⓐҜＵⓝⓐ Ma'Ť'AŤA (™)💙","GonaWaMwaksha","3/20/2018, 6:37:43 PM","0","0","1","10","","0","en","No","Twitter for Android","#wetangula","https://x.com/GonaWaMwaksha/status/976120608466571265","photo","https://pbs.twimg.com/media/DYvgc-CWkAAuYkl.jpg",""
"=""1792842717480841415""","Send this Photo of DRC Coup attempt leader killed by Congolese army Christian Malanga and Moses Wetangula speaker of the National assembly, Kenya https://t.co/R8OelBi8MG","Tweet","Chris Sambu","the_sambu","5/21/2024, 11:59:47 AM","22","148","14","440","35641","24","en","No","Twitter Web App","","https://x.com/the_sambu/status/1792842717480841415","photo","https://pbs.twimg.com/media/GOF0ZF2W8AAYU4d.jpg",""
"=""1792995538570199415""","22/8/2023: At uknown location,Nairobi is when Christian Malanga met with Speaker Moses Wetangula &amp; Prof PLO Lumumba. 

Malanga led a double life. Used both Pan Africanism to reach different social strata.He was smart with networking while planning coup for over 10 years. https://t.co/mSFQvqVzgv","Tweet","Chris Sambu","the_sambu","5/21/2024, 10:07:03 PM","3","2","0","10","2152","4","en","No","Twitter Web App","","https://x.com/the_sambu/status/1792995538570199415","video","https://video.twimg.com/ext_tw_video/1792991966310830080/pu/vid/avc1/1280x720/b_o7G0e66cu0gHix.mp4?tag=12",""
